Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,0,0,0,0,1,0,0,1,0,0,0,0,30,0,0,
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,12.5,2,0,0,7,4,0,4,19,13,0,0,1,108,16,11,59.3
3,Leah Williamson,DF,Arsenal,23,1997,18.6,2,0,0,15,12,1,10,34,20,0,0,0,163,14,13,51.9
4,Lydia Williams,GK,Arsenal,32,1988,9,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,100
5,Lia Wälti,"MF,DF",Arsenal,27,1993,17.4,2,0,0,12,26,0,2,34,37,0,0,0,127,15,13,53.6
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,5.1,0,0,0,0,4,1,3,6,3,0,0,0,25,2,0,100
7,Jill Roord,"MF,FW",Arsenal,23,1997,14.6,1,0,0,6,14,3,7,10,10,0,0,0,70,6,6,50
8,Anna Patten,DF,Arsenal,21,1999,2.3,0,0,0,2,1,0,5,1,1,0,0,0,9,0,1,0
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,11.6,1,0,0,5,3,4,34,4,9,0,0,0,58,1,3,25
10,Vivianne Miedema,FW,Arsenal,24,1996,20.7,1,0,0,14,12,10,30,4,5,0,0,0,46,19,22,46.3
11,Beth Mead,FW,Arsenal,25,1995,18.4,2,1,1,19,39,8,87,17,22,1,0,0,75,11,16,40.7
12,Katie McCabe,DF,Arsenal,24,1995,19.3,3,0,0,9,27,3,126,28,25,1,1,0,104,8,13,38.1
13,Noelle Maritz,DF,Arsenal,24,1995,9.4,1,0,0,9,8,0,19,7,12,0,0,0,37,6,5,54.5
14,Leonie Maier,DF,Arsenal,27,1992,5.6,2,0,0,7,6,0,8,15,5,0,0,0,28,6,1,85.7
15,Ruby Mace,"FW,MF",Arsenal,16,2003,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
16,Kim Little,MF,Arsenal,30,1990,14.1,0,0,0,3,8,1,19,16,16,0,0,0,101,8,8,50
17,Malin Gut,MF,Arsenal,19,2000,7.5,0,0,0,3,3,0,2,7,9,0,0,0,47,3,5,37.5
18,Caitlin Foord,FW,Arsenal,25,1994,14.6,2,0,0,18,15,12,23,4,10,0,0,0,52,7,17,29.2
19,Lisa Evans,"DF,FW",Arsenal,28,1992,5.2,0,0,0,1,1,1,19,9,4,0,0,0,25,0,4,0
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,14,1,0,0,9,14,0,13,9,17,0,0,0,68,13,18,41.9
21,Anouk Denton,FW,Arsenal,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Steph Catley,DF,Arsenal,26,1994,2.1,0,0,0,0,2,0,3,3,0,0,0,0,12,2,0,100
23,Jennifer Beattie,DF,Arsenal,29,1991,6.5,1,0,0,1,0,0,0,8,7,0,0,0,46,14,3,82.4
24,Amy West,MF,Aston Villa,23,1997,2.4,0,0,0,0,2,0,0,3,3,0,0,0,13,2,1,66.7
25,Lisa Weiß,GK,Aston Villa,32,1987,21,2,0,0,2,4,0,0,1,2,0,2,0,29,3,0,100
26,Emily Syme,MF,Aston Villa,20,2000,3,0,0,0,0,3,1,4,5,4,0,0,0,15,1,1,50
