Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,17,12,"1,123",12.5,2,0,2,2,0,0,2,0,1.6,1.6,0.1,1.7,11,69,10,0.16,0,0.16,0.16,0.16,0.12,0.01,0.14,0.12,0.14
3,Leah Williamson,DF,Arsenal,23,1997,20,18,"1,674",18.6,1,2,3,1,0,0,2,0,1.2,1.2,1.3,2.4,30,156,10,0.05,0.11,0.16,0.05,0.16,0.06,0.07,0.13,0.06,0.13
4,Lydia Williams,GK,Arsenal,32,1988,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Lia Wälti,"MF,DF",Arsenal,27,1993,20,18,"1,567",17.4,0,1,1,0,0,0,2,0,0,0,1.1,1.1,10,107,11,0,0.06,0.06,0,0.06,0,0.06,0.06,0,0.06
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,6,5,459,5.1,0,0,0,0,0,0,0,0,0,0,0,0,5,16,10,0,0,0,0,0,0,0.01,0.01,0,0.01
7,Jill Roord,"MF,FW",Arsenal,23,1997,19,15,"1,312",14.6,7,3,10,7,0,0,1,0,5.5,5.5,2.3,7.8,16,64,70,0.48,0.21,0.69,0.48,0.69,0.38,0.16,0.54,0.38,0.54
8,Anna Patten,DF,Arsenal,21,1999,7,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,12,12,0,0,0,0,0,0,0.11,0.11,0,0.11
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,16,12,"1,048",11.6,5,4,9,5,0,0,1,0,4.6,4.6,4.2,8.8,28,66,126,0.43,0.34,0.77,0.43,0.77,0.39,0.36,0.75,0.39,0.75
10,Vivianne Miedema,FW,Arsenal,24,1996,22,21,"1,862",20.7,18,5,23,18,0,0,1,0,15.1,15.1,4.5,19.6,50,77,168,0.87,0.24,1.11,0.87,1.11,0.73,0.22,0.95,0.73,0.95
11,Beth Mead,FW,Arsenal,25,1995,21,19,"1,652",18.4,4,8,12,4,0,0,2,1,3.4,3.4,8.6,11.9,60,77,211,0.22,0.44,0.65,0.22,0.65,0.18,0.47,0.65,0.18,0.65
12,Katie McCabe,DF,Arsenal,24,1995,21,19,"1,735",19.3,4,11,15,4,0,0,3,0,2.5,2.5,5.7,8.2,41,109,120,0.21,0.57,0.78,0.21,0.78,0.13,0.3,0.43,0.13,0.43
13,Noelle Maritz,DF,Arsenal,24,1995,12,10,842,9.4,0,4,4,0,0,0,1,0,0.3,0.3,1.1,1.4,20,54,59,0,0.43,0.43,0,0.43,0.04,0.12,0.15,0.04,0.15
14,Leonie Maier,DF,Arsenal,27,1992,12,6,501,5.6,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,6,41,25,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08
15,Ruby Mace,"FW,MF",Arsenal,16,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
16,Kim Little,MF,Arsenal,30,1990,16,14,"1,268",14.1,5,2,7,3,2,3,0,0,4.2,1.9,1.5,3.4,16,65,59,0.35,0.14,0.5,0.21,0.35,0.3,0.11,0.41,0.13,0.24
17,Malin Gut,MF,Arsenal,19,2000,16,7,671,7.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,7,46,11,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08
18,Caitlin Foord,FW,Arsenal,25,1994,21,15,"1,317",14.6,10,5,15,10,0,0,2,0,7.3,7.3,2.6,9.9,24,44,122,0.68,0.34,1.03,0.68,1.03,0.5,0.18,0.67,0.5,0.67
19,Lisa Evans,"DF,FW",Arsenal,28,1992,11,4,471,5.2,2,1,3,2,0,0,0,0,0.5,0.5,1.4,1.9,10,28,42,0.38,0.19,0.57,0.38,0.57,0.1,0.27,0.37,0.1,0.37
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,21,14,"1,259",14,2,2,4,2,0,0,1,0,1.8,1.8,2.5,4.3,18,68,72,0.14,0.14,0.29,0.14,0.29,0.13,0.18,0.31,0.13,0.31
21,Anouk Denton,FW,Arsenal,17,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Steph Catley,DF,Arsenal,26,1994,6,2,189,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,14,5,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
