Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,3,0.23,2,1,0,0,0,0,2,0.15,2,0,0,0,0,0
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,12.5,7,0.56,6,0,0,0,1,0,1,0.08,1,0,0,0,0,0
3,Leah Williamson,DF,Arsenal,23,1997,18.6,32,1.72,24,1,3,2,0,2,7,0.38,7,0,0,0,0,0
4,Lydia Williams,GK,Arsenal,32,1988,9,1,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lia Wälti,"MF,DF",Arsenal,27,1993,17.4,34,1.95,31,0,1,0,0,2,6,0.34,6,0,0,0,0,0
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,5.1,8,1.57,6,0,1,0,1,0,2,0.39,1,0,0,0,1,0
7,Jill Roord,"MF,FW",Arsenal,23,1997,14.6,51,3.5,40,0,3,4,4,0,11,0.75,9,0,0,2,0,0
8,Anna Patten,DF,Arsenal,21,1999,2.3,7,3.1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,11.6,63,5.41,46,5,0,12,0,0,11,0.94,8,0,0,3,0,0
10,Vivianne Miedema,FW,Arsenal,24,1996,20.7,76,3.67,46,1,12,15,1,1,14,0.68,9,0,4,1,0,0
11,Beth Mead,FW,Arsenal,25,1995,18.4,88,4.79,57,11,7,4,5,4,12,0.65,11,0,0,0,1,0
12,Katie McCabe,DF,Arsenal,24,1995,19.3,92,4.81,44,40,1,2,4,1,12,0.63,4,6,1,0,1,0
13,Noelle Maritz,DF,Arsenal,24,1995,9.4,21,2.22,14,3,1,3,0,0,5,0.53,4,1,0,0,0,0
14,Leonie Maier,DF,Arsenal,27,1992,5.6,11,1.98,10,0,0,0,1,0,2,0.36,2,0,0,0,0,0
15,Ruby Mace,"FW,MF",Arsenal,16,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kim Little,MF,Arsenal,30,1990,14.1,35,2.48,24,4,4,0,1,2,7,0.5,5,0,1,0,0,1
17,Malin Gut,MF,Arsenal,19,2000,7.5,20,2.68,19,0,1,0,0,0,4,0.54,4,0,0,0,0,0
18,Caitlin Foord,FW,Arsenal,25,1994,14.6,38,2.6,31,0,1,5,1,0,9,0.62,7,0,1,1,0,0
19,Lisa Evans,"DF,FW",Arsenal,28,1992,5.2,17,3.25,12,2,2,0,0,1,1,0.19,1,0,0,0,0,0
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,14,45,3.22,39,0,0,3,2,1,5,0.36,5,0,0,0,0,0
21,Anouk Denton,FW,Arsenal,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Steph Catley,DF,Arsenal,26,1994,2.1,5,2.37,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Jennifer Beattie,DF,Arsenal,29,1991,6.5,7,1.07,6,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Amy West,MF,Aston Villa,23,1997,2.4,1,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lisa Weiß,GK,Aston Villa,32,1987,21,2,0.1,2,0,0,0,0,0,1,0.05,1,0,0,0,0,0
26,Emily Syme,MF,Aston Villa,20,2000,3,5,1.65,3,0,0,0,1,1,1,0.33,0,0,0,0,1,0
27,Diana Silva,FW,Aston Villa,25,1995,5.8,11,1.89,8,0,1,1,1,0,0,0,0,0,0,0,0,0
28,Caroline Siems,DF,Aston Villa,21,1999,10.5,12,1.14,6,1,0,1,2,2,2,0.19,0,1,0,0,1,0
29,Sian Rogers,GK,Aston Villa,22,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ramona Petzelberger,"MF,FW",Aston Villa,27,1992,8.8,15,1.71,15,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Elisha N'Dow,DF,Aston Villa,23,1996,17.5,8,0.46,8,0,0,0,0,0,1,0.06,1,0,0,0,0,0
32,Olivia McLoughlin,"MF,DF",Aston Villa,15,2004,6.8,6,0.89,5,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Stine Larsen,FW,Aston Villa,24,1996,16.1,14,0.87,8,0,3,2,1,0,1,0.06,0,0,1,0,0,0
34,Mana Iwabuchi,"MF,FW",Aston Villa,27,1993,10.9,23,2.11,17,2,1,1,1,1,1,0.09,1,0,0,0,0,0
35,Jodie Hutton,"DF,FW",Aston Villa,19,2001,11.7,12,1.02,3,6,1,0,1,1,0,0,0,0,0,0,0,0
36,Sophie Haywood,"MF,DF",Aston Villa,24,1996,3.6,1,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Shania Hayles,"FW,MF",Aston Villa,20,1999,10.6,22,2.08,18,0,1,2,0,1,4,0.38,3,0,1,0,0,0
38,Nadine Hanssen,"MF,FW",Aston Villa,26,1993,9.3,15,1.62,11,0,2,1,0,1,0,0,0,0,0,0,0,0
39,Natalie Haigh,DF,Aston Villa,20,1999,17.4,4,0.23,3,1,0,0,0,0,1,0.06,0,1,0,0,0,0
40,Freya Gregory,"MF,DF",Aston Villa,17,2003,4.2,4,0.94,2,1,0,1,0,0,1,0.24,0,0,0,1,0,0
41,Ella Franklin-Fraiture,DF,Aston Villa,23,1997,9.4,15,1.59,8,3,1,1,2,0,0,0,0,0,0,0,0,0
42,Emma Follis,"FW,MF",Aston Villa,28,1992,8.1,21,2.58,13,2,2,2,0,2,4,0.49,3,0,0,0,0,1
43,Marisa Ewers,"MF,DF",Aston Villa,31,1989,14.5,7,0.48,5,0,1,0,1,0,2,0.14,1,0,0,0,1,0
44,Anita Asante,"DF,MF",Aston Villa,35,1985,18.4,13,0.71,11,0,0,1,0,1,1,0.05,1,0,0,0,0,0
45,Chloe Arthur,MF,Aston Villa,25,1995,14.7,17,1.15,10,1,2,1,1,2,0,0,0,0,0,0,0,0
46,Asmita Ale,DF,Aston Villa,18,2001,16.2,21,1.3,18,2,0,1,0,0,1,0.06,0,1,0,0,0,0
47,Lucy Whipp,MF,Birmingham City,24,1995,13.9,7,0.5,6,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Claudia Walker,FW,Birmingham City,24,1996,20.3,27,1.33,18,0,1,3,5,0,3,0.15,0,0,0,2,1,0
49,Destiney Toussaint,"MF,FW",Birmingham City,,,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Harriet Scott,DF,Birmingham City,27,1993,19.5,17,0.87,9,3,2,0,3,0,0,0,0,0,0,0,0,0
51,Connie Scofield,MF,Birmingham City,21,1999,6.3,6,0.95,6,0,0,0,0,0,2,0.32,2,0,0,0,0,0
52,Veatriki Sarri,"MF,FW",Birmingham City,22,1998,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Emma Rose Kelly,"MF,DF",Birmingham City,23,1997,8.8,6,0.68,5,1,0,0,0,0,0,0,0,0,0,0,0,0
54,Jamie-Lee Napier,"MF,FW",Birmingham City,20,2000,16,8,0.5,6,0,2,0,0,0,1,0.06,1,0,0,0,0,0
55,Christie Murray,MF,Birmingham City,30,1990,15.5,21,1.35,16,1,1,1,1,1,2,0.13,1,0,0,0,1,0
56,Emily Murphy,FW,Birmingham City,17,2003,7.6,6,0.79,3,0,1,1,0,1,0,0,0,0,0,0,0,0
57,Chloe McCarron,MF,Birmingham City,22,1997,3.3,4,1.22,2,0,1,0,0,1,0,0,0,0,0,0,0,0
58,Sarah Mayling,"MF,DF",Birmingham City,23,1997,17.4,30,1.73,17,12,0,1,0,0,6,0.35,3,3,0,0,0,0
59,Ruby Mace,"DF,MF",Birmingham City,16,2003,10.9,6,0.55,4,0,1,0,0,1,0,0,0,0,0,0,0,0
60,Ruesha Littlejohn,MF,Birmingham City,30,1990,9.9,5,0.51,3,0,0,1,1,0,0,0,0,0,0,0,0,0
61,Gemma Lawley,DF,Birmingham City,19,2001,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Rebecca Holloway,DF,Birmingham City,24,1995,20.1,8,0.4,5,2,1,0,0,0,0,0,0,0,0,0,0,0
63,Hannah Hampton,GK,Birmingham City,19,2000,21,4,0.19,3,1,0,0,0,0,2,0.1,1,1,0,0,0,0
64,Mollie Green,MF,Birmingham City,22,1997,10.6,7,0.66,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0
65,Abbi Grant,MF,Birmingham City,24,1995,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Rachel Corsie,DF,Birmingham City,30,1989,7,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
