Rk,Player,Pos,"Squad
▲",Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
34,Mana Iwabuchi,"MF,FW",Aston Villa,27,1993,10.9,182,305,59.7,2830,937,103,139,74.1,56,97,57.7,15,31,48.4,1,0.9,1.2,0.1,13,21,11,1,36
35,Jodie Hutton,"DF,FW",Aston Villa,19,2001,11.7,156,374,41.7,3205,1722,61,97,62.9,66,114,57.9,27,140,19.3,0,0.2,0.4,-0.2,4,12,4,1,16
36,Sophie Haywood,"MF,DF",Aston Villa,24,1996,3.6,66,113,58.4,953,302,41,53,77.4,21,39,53.8,3,11,27.3,0,0,0,0,0,2,0,0,3
37,Shania Hayles,"FW,MF",Aston Villa,20,1999,10.6,106,165,64.2,1632,366,54,79,68.4,43,61,70.5,4,8,50,1,1.4,1.3,-0.4,8,9,6,0,21
38,Nadine Hanssen,"MF,FW",Aston Villa,26,1993,9.3,156,247,63.2,2556,646,76,105,72.4,58,91,63.7,14,29,48.3,0,0.5,0.6,-0.5,6,9,8,3,20
39,Natalie Haigh,DF,Aston Villa,20,1999,17.4,357,525,68,7469,4056,101,139,72.7,200,259,77.2,52,116,44.8,1,0.5,0.5,0.5,2,21,2,1,20
40,Freya Gregory,"MF,DF",Aston Villa,17,2003,4.2,44,108,40.7,839,400,20,35,57.1,13,33,39.4,10,29,34.5,0,0.1,0.1,-0.1,1,5,0,0,8
41,Ella Franklin-Fraiture,DF,Aston Villa,23,1997,9.4,282,407,69.3,4900,2445,132,159,83,118,168,70.2,27,57,47.4,0,0.1,0.3,-0.1,3,20,7,2,25
42,Emma Follis,"FW,MF",Aston Villa,28,1992,8.1,144,231,62.3,2588,892,58,89,65.2,60,82,73.2,19,40,47.5,3,1.1,0.8,1.9,10,18,8,2,26
43,Marisa Ewers,"MF,DF",Aston Villa,31,1989,14.5,308,457,67.4,6067,2023,114,147,77.6,142,179,79.3,48,103,46.6,0,0.1,0.4,-0.1,1,33,4,1,36
44,Anita Asante,"DF,MF",Aston Villa,35,1985,18.4,392,528,74.2,7204,2988,155,188,82.4,190,250,76,41,73,56.2,0,0.2,0.2,-0.2,4,29,2,2,34
45,Chloe Arthur,MF,Aston Villa,25,1995,14.7,267,425,62.8,4954,1739,123,167,73.7,100,139,71.9,40,95,42.1,0,0.6,0.4,-0.6,8,37,6,2,48
46,Asmita Ale,DF,Aston Villa,18,2001,16.2,504,793,63.6,8997,4465,211,275,76.7,236,342,69,50,136,36.8,1,0.6,0.8,0.4,9,39,6,4,47
47,Lucy Whipp,MF,Birmingham City,24,1995,13.9,242,384,63,3991,1061,125,164,76.2,94,135,69.6,19,53,35.8,0,0.2,0.4,-0.2,4,19,3,0,28
48,Claudia Walker,FW,Birmingham City,24,1996,20.3,200,335,59.7,2793,517,108,156,69.2,80,117,68.4,4,20,20,0,0.7,0.8,-0.7,7,16,3,1,21
49,Destiney Toussaint,"MF,FW",Birmingham City,,,0.8,6,15,40,78,15,2,8,25,3,6,50,0,0,,0,0,0,0,0,0,0,0,2
50,Harriet Scott,DF,Birmingham City,27,1993,19.5,410,661,62,7713,4034,171,215,79.5,188,279,67.4,47,137,34.3,0,0.2,0.3,-0.2,3,25,4,1,25
51,Connie Scofield,MF,Birmingham City,21,1999,6.3,114,166,68.7,1707,457,57,80,71.3,45,65,69.2,5,10,50,2,0.7,0.4,1.3,7,6,1,0,12
52,Veatriki Sarri,"MF,FW",Birmingham City,22,1998,0.4,3,8,37.5,67,44,1,2,50,1,1,100,1,3,33.3,0,0,0,0,0,1,0,0,1
53,Emma Rose Kelly,"MF,DF",Birmingham City,23,1997,8.8,112,193,58,1811,820,58,88,65.9,45,70,64.3,8,29,27.6,0,0.2,0.2,-0.2,2,12,0,0,15
54,Jamie-Lee Napier,"MF,FW",Birmingham City,20,2000,16,145,242,59.9,2053,608,87,113,77,40,77,51.9,7,18,38.9,0,0.1,0.2,-0.1,2,13,2,1,21
55,Christie Murray,MF,Birmingham City,30,1990,15.5,286,506,56.5,5131,2192,129,200,64.5,119,178,66.9,30,96,31.3,0,0.6,0.4,-0.6,8,46,8,0,48
56,Emily Murphy,FW,Birmingham City,17,2003,7.6,51,132,38.6,776,264,26,54,48.1,21,40,52.5,2,19,10.5,0,0.1,0.2,-0.1,1,8,3,1,8
57,Chloe McCarron,MF,Birmingham City,22,1997,3.3,42,67,62.7,602,195,23,27,85.2,17,29,58.6,1,7,14.3,0,0.1,0.1,-0.1,1,1,1,1,7
58,Sarah Mayling,"MF,DF",Birmingham City,23,1997,17.4,385,666,57.8,6604,3500,210,272,77.2,125,233,53.6,46,125,36.8,4,2.4,2.4,1.6,21,24,17,9,38
59,Ruby Mace,"DF,MF",Birmingham City,16,2003,10.9,197,298,66.1,4049,1687,55,68,80.9,117,150,78,22,74,29.7,0,0,0.1,0,0,9,0,0,11
60,Ruesha Littlejohn,MF,Birmingham City,30,1990,9.9,113,208,54.3,1720,472,63,87,72.4,38,60,63.3,7,33,21.2,0,0.1,0.1,-0.1,2,14,1,0,17
61,Gemma Lawley,DF,Birmingham City,19,2001,2.2,28,40,70,554,224,7,11,63.6,16,19,84.2,4,7,57.1,0,0,0,0,0,1,1,1,0
62,Rebecca Holloway,DF,Birmingham City,24,1995,20.1,395,740,53.4,6893,4368,188,263,71.5,168,295,56.9,34,145,23.4,0,0.2,0.3,-0.2,2,24,4,3,31
63,Hannah Hampton,GK,Birmingham City,19,2000,21,453,856,52.9,13015,10231,110,113,97.3,185,190,97.4,155,547,28.3,0,0,0.1,0,0,15,2,0,0
64,Mollie Green,MF,Birmingham City,22,1997,10.6,177,244,72.5,2756,907,98,117,83.8,64,83,77.1,10,32,31.3,1,0.2,0.2,0.8,3,11,3,0,19
65,Abbi Grant,MF,Birmingham City,24,1995,0.4,6,11,54.5,81,0,4,6,66.7,2,5,40,0,0,,0,0,0,0,0,0,0,0,0
66,Rachel Corsie,DF,Birmingham City,30,1989,7,226,285,79.3,4569,2033,65,74,87.8,136,153,88.9,24,53,45.3,0,0,0,0,0,10,0,0,11
67,Georgia Brougham,DF,Birmingham City,24,1996,19,446,629,70.9,8973,4050,147,180,81.7,232,296,78.4,62,134,46.3,0,0.2,0.2,-0.2,4,20,4,1,21
68,Victoria Williams,DF,Brighton,30,1990,15,386,569,67.8,8581,3793,106,149,71.1,206,263,78.3,74,144,51.4,0,0.2,0.3,-0.2,3,32,3,0,28
69,Aileen Whelan,"FW,MF",Brighton,28,1991,21.8,371,615,60.3,6283,2138,178,256,69.5,148,243,60.9,33,73,45.2,0,1.2,1.4,-1.2,11,46,9,1,59
70,Megan Walsh,GK,Brighton,25,1994,15,370,588,62.9,10456,7448,36,37,97.3,188,199,94.5,140,344,40.7,0,0,0,0,0,5,0,0,0
71,Maisie Symonds,"MF,FW",Brighton,17,2003,0.3,1,2,50,19,17,0,1,0,1,1,100,0,0,,0,0.1,0,-0.1,1,0,1,0,1
72,Rebekah Stott,DF,Brighton,27,1993,4.7,164,214,76.6,3559,1819,43,50,86,97,117,82.9,24,45,53.3,0,0.1,0.1,-0.1,2,27,0,0,24
73,Emily Simpkins,"MF,FW",Brighton,30,1990,5.9,116,182,63.7,2005,484,45,59,76.3,63,92,68.5,6,23,26.1,0,0,0.1,0,0,11,2,0,17
74,Bethan Roe,DF,Brighton,20,1999,2.4,76,122,62.3,1287,798,32,46,69.6,37,58,63.8,5,10,50,0,0.1,0.1,-0.1,2,9,2,2,11
75,Katie Robinson,FW,Brighton,17,2002,0.7,9,17,52.9,171,58,4,9,44.4,4,7,57.1,1,1,100,0,0,0,0,0,1,2,0,3
76,Denise O'Sullivan,"MF,FW",Brighton,26,1994,8.5,202,278,72.7,3517,1014,100,120,83.3,86,112,76.8,15,29,51.7,0,0.5,0.5,-0.5,11,24,8,3,36
77,Maya Le Tissier,DF,Brighton,18,2002,22,674,1067,63.2,14661,8272,195,264,73.9,355,503,70.6,120,268,44.8,0,0.4,0.8,-0.4,8,66,17,7,77
78,Emma Koivisto,"DF,MF",Brighton,25,1994,8.5,308,416,74,4925,2515,162,204,79.4,126,164,76.8,17,37,45.9,0,0.7,0.5,-0.7,6,20,8,2,34
79,Danique Kerkdijk,DF,Brighton,24,1996,16.8,440,591,74.5,10089,4995,91,116,78.4,266,301,88.4,81,167,48.5,0,0,0.5,0,1,38,5,0,37
80,Inessa Kaagman,"MF,FW",Brighton,24,1996,21.1,414,714,58,7137,2351,192,262,73.3,175,259,67.6,35,145,24.1,1,1.7,1.6,-0.7,26,46,10,2,62
81,Rianna Jarrett,FW,Brighton,21,1999,8.2,125,178,70.2,2057,453,68,93,73.1,51,64,79.7,6,12,50,0,0.6,0.3,-0.6,11,6,6,0,15
82,Nora Heroum,"FW,MF",Brighton,26,1994,5,93,129,72.1,1624,510,41,53,77.4,43,52,82.7,8,18,44.4,0,0.1,0.3,-0.1,1,5,3,1,8
83,Kayleigh Green,"FW,MF",Brighton,32,1988,13,227,386,58.8,3990,1363,95,149,63.8,111,163,68.1,19,48,39.6,1,0.5,0.7,0.5,9,17,12,3,32
84,Felicity Gibbons,DF,Brighton,26,1994,12.1,366,545,67.2,6823,3283,156,208,75,164,222,73.9,42,91,46.2,2,0.7,0.6,1.3,6,26,6,5,33
85,Lee Geum-min,FW,Brighton,26,1994,11.5,251,326,77,3982,729,139,165,84.2,94,121,77.7,14,22,63.6,0,0.6,1.2,-0.6,12,18,9,3,27
86,Cecilie Fiskerstrand,GK,Brighton,24,1996,7,197,298,66.1,5319,3538,24,24,100,103,113,91.2,69,159,43.4,0,0,0,0,0,1,0,0,0
87,Megan Connolly,"MF,DF",Brighton,23,1997,13.7,278,440,63.2,5074,2027,123,167,73.7,117,173,67.6,34,83,41,2,1.5,0.8,0.5,9,30,8,4,40
88,Danielle Buet,"MF,DF",Brighton,31,1988,11.5,284,408,69.6,5879,1891,80,108,74.1,164,201,81.6,39,88,44.3,0,0.8,0.8,-0.8,5,26,2,0,33
89,Ellie Brazil,"FW,MF",Brighton,21,1999,13.6,223,358,62.3,3463,937,121,167,72.5,82,124,66.1,14,39,35.9,1,0.8,0.8,0.2,10,19,7,4,33
90,Kirsty Barton,DF,Brighton,28,1992,0.9,16,30,53.3,334,140,5,9,55.6,8,12,66.7,3,7,42.9,0,0,0,0,0,0,0,0,0
91,Libby Bance,"MF,FW",Brighton,17,2003,2.6,29,44,65.9,500,156,13,19,68.4,14,17,82.4,2,5,40,0,0,0.1,0,0,3,1,0,4
92,Jessica Wooley,FW,Bristol City,19,2001,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
93,Georgia Wilson,MF,Bristol City,18,2002,0.2,1,2,50,14,9,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
94,Charlie Wellings,"MF,FW",Bristol City,22,1998,16.2,218,337,64.7,3723,917,121,158,76.6,68,95,71.6,24,53,45.3,1,1.3,0.5,-0.3,12,23,7,1,22
95,Kiera Skeels,"DF,MF",Bristol City,19,2001,9.1,162,259,62.5,3713,1954,36,55,65.5,89,116,76.7,36,83,43.4,0,0,0.1,0,1,17,1,1,18
96,Meaghan Sargeant,DF,Bristol City,26,1994,2.8,42,70,60,923,441,8,12,66.7,28,39,71.8,6,19,31.6,0,0,0,0,0,2,0,0,4
97,Ebony Salmon,"FW,MF",Bristol City,19,2001,16.8,140,244,57.4,2409,469,60,92,65.2,65,101,64.4,11,26,42.3,1,0.9,0.9,0.1,7,11,5,1,15
98,Laura Rafferty,"DF,MF",Bristol City,24,1996,6.5,108,166,65.1,2303,1161,26,34,76.5,60,78,76.9,19,46,41.3,1,0,0,1,1,7,1,0,9
99,Jemma Purfield,DF,Bristol City,23,1997,21,478,926,51.6,9277,5576,177,286,61.9,231,402,57.5,64,194,33,1,1.4,1,-0.4,14,44,10,6,52
100,Molly Pike,MF,Bristol City,19,2001,11,126,263,47.9,2314,1125,50,90,55.6,55,97,56.7,16,58,27.6,0,0.5,0.3,-0.5,12,20,5,2,28
101,Aimee Palmer,"MF,DF",Bristol City,20,2000,9.6,166,279,59.5,3132,1297,60,90,66.7,84,114,73.7,19,55,34.5,0,0.1,0.1,-0.1,2,20,1,0,24
102,Jasmine Matthews,"DF,MF",Bristol City,27,1993,8.9,195,287,67.9,4036,1634,60,80,75,99,125,79.2,34,73,46.6,1,0.4,0,0.6,2,16,0,0,15
103,Ella Mastrantonio,MF,Bristol City,28,1992,10.2,255,344,74.1,5259,1811,78,95,82.1,128,157,81.5,45,75,60,2,0.4,0.7,1.6,8,30,1,0,32
104,Chloe Logarzo,"MF,FW",Bristol City,25,1994,6.5,83,126,65.9,1535,500,35,49,71.4,37,45,82.2,8,21,38.1,0,0.4,0.3,-0.4,6,5,1,1,7
105,Naomi Layzell,DF,Bristol City,16,2004,4.2,49,71,69,1069,468,9,13,69.2,32,42,76.2,8,13,61.5,0,0,0,0,0,4,0,0,3
106,Ellen Jones,MF,Bristol City,17,2002,1,7,15,46.7,175,44,1,3,33.3,2,7,28.6,4,4,100,0,0,0,0,0,2,0,0,2
107,Carla Humphrey,MF,Bristol City,23,1996,18.2,286,412,69.4,5094,1613,133,165,80.6,111,160,69.4,33,60,55,0,0.5,0.3,-0.5,9,30,6,1,46
108,Abigail Harrison,"FW,MF",Bristol City,22,1997,9.7,134,217,61.8,2381,477,66,92,71.7,47,72,65.3,18,36,50,2,0.6,0.4,1.4,9,7,6,3,12
109,Benedicte Håland,GK,Bristol City,22,1998,1,29,37,78.4,692,329,4,4,100,19,19,100,6,14,42.9,0,0,0,0,0,0,0,0,0
110,Gemma Evans,DF,Bristol City,23,1996,20,353,566,62.4,7527,2979,86,119,72.3,205,283,72.4,56,142,39.4,1,0.3,0.1,0.7,5,18,2,0,22
111,Yana Daniels,"MF,FW",Bristol City,28,1992,19,269,492,54.7,5066,2046,120,197,60.9,108,171,63.2,36,91,39.6,1,1.2,0.9,-0.2,10,30,6,1,41
112,Faye Bryson,DF,Bristol City,23,1997,8,182,349,52.1,3098,1695,94,122,77,65,123,52.8,20,83,24.1,0,0.6,0.2,-0.6,2,16,2,1,19
113,Emma Bissell,"MF,FW",Bristol City,18,2001,8.8,65,114,57,1264,405,30,43,69.8,23,35,65.7,10,26,38.5,0,0.2,0.1,-0.2,5,11,1,1,5
114,Sophie Baggaley,GK,Bristol City,23,1996,21,408,824,49.5,14232,10998,25,27,92.6,156,165,94.5,227,628,36.1,0,0,0,0,0,19,0,0,0
115,Flo Allen,DF,Bristol City,20,1999,12.1,217,370,58.6,4119,2578,88,130,67.7,103,160,64.4,25,70,35.7,0,0.3,0.1,-0.3,7,23,4,0,23
116,Maria Thorisdottir,DF,Chelsea,27,1993,0.9,43,57,75.4,899,230,17,20,85,19,25,76,7,11,63.6,0,0,0,0,1,6,1,0,7
117,Carly Telford,GK,Chelsea,33,1987,3,80,87,92,1843,1079,8,8,100,57,57,100,15,22,68.2,0,0,0,0,0,0,0,0,0
118,Drew Spence,MF,Chelsea,27,1992,2.8,131,161,81.4,2353,674,56,67,83.6,59,72,81.9,15,19,78.9,0,0.1,0.3,-0.1,2,28,2,0,19
119,Ji So-yun,MF,Chelsea,29,1991,14.5,820,989,82.9,14924,4209,326,393,83,390,430,90.7,82,117,70.1,1,2.8,3.9,-1.8,24,99,33,3,138
120,Guro Reiten,"FW,MF",Chelsea,26,1994,9.9,244,383,63.7,4354,1587,114,150,76,92,131,70.2,32,70,45.7,3,3.4,2.7,-0.4,34,22,23,4,49
121,Zećira Mušović,GK,Chelsea,24,1996,2,33,56,58.9,905,705,7,7,100,14,14,100,12,35,34.3,0,0,0,0,0,0,0,0,0
122,Maren Mjelde,DF,Chelsea,30,1989,13.5,812,985,82.4,14509,4434,351,391,89.8,383,438,87.4,71,126,56.3,1,1.8,1.5,-0.8,13,52,8,2,72
123,Melanie Leupolz,MF,Chelsea,26,1994,15.9,660,809,81.6,11958,3005,273,316,86.4,301,360,83.6,68,93,73.1,1,0.6,0.8,0.4,11,82,9,1,79
124,Fran Kirby,"FW,MF",Chelsea,27,1993,15.3,478,620,77.1,7253,1920,263,314,83.8,169,210,80.5,28,48,58.3,11,7.2,6,3.8,47,29,41,0,71
125,Sam Kerr,FW,Chelsea,26,1993,16.9,337,510,66.1,4824,1083,205,266,77.1,103,158,65.2,15,39,38.5,8,6.4,4.9,1.6,37,21,16,4,52
126,Sophie Ingle,"MF,DF",Chelsea,28,1991,13.6,610,746,81.8,12552,5026,207,238,87,300,351,85.5,96,136,70.6,1,0.6,1.4,0.4,9,111,14,2,103
127,Pernille Harder,"MF,FW",Chelsea,27,1992,14.3,353,497,71,5746,1820,174,227,76.7,148,187,79.1,22,42,52.4,3,2.8,3.2,0.2,22,47,31,7,81
128,Jorja Fox,DF,Chelsea,16,2003,0.1,8,8,100,138,13,3,3,100,4,4,100,1,1,100,0,0,0,0,0,1,0,0,0
129,Jessie Fleming,"MF,FW",Chelsea,22,1998,4.9,225,279,80.6,3786,845,109,125,87.2,91,107,85,21,30,70,0,0.5,0.8,-0.5,4,26,8,2,22
130,Magdalena Eriksson,DF,Chelsea,26,1993,19.1,1279,1507,84.9,29085,10190,267,306,87.3,772,831,92.9,236,351,67.2,0,0.7,1,-0.7,8,154,8,3,142
131,Bethany England,FW,Chelsea,26,1994,11,225,318,70.8,3260,635,144,175,82.3,69,94,73.4,8,21,38.1,9,4.7,2.6,4.3,25,11,15,2,32
132,Erin Cuthbert,"MF,FW",Chelsea,22,1998,13.6,403,566,71.2,7994,2524,156,193,80.8,166,215,77.2,72,127,56.7,7,3.4,3.1,3.6,30,52,18,5,75
133,Niamh Charles,"DF,FW",Chelsea,21,1999,7.2,342,440,77.7,6106,1946,159,192,82.8,153,187,81.8,29,46,63,1,1.3,1.2,-0.3,11,31,14,4,38
134,Jess Carter,DF,Chelsea,22,1997,3.6,151,217,69.6,3096,841,41,49,83.7,88,115,76.5,21,44,47.7,1,0,0.1,1,1,10,1,0,10
135,Millie Bright,DF,Chelsea,26,1993,20.2,1303,1579,82.5,30698,11994,233,265,87.9,812,889,91.3,257,401,64.1,1,0.4,0.5,0.6,8,130,7,1,111
136,Hannah Blundell,DF,Chelsea,26,1994,5.2,351,413,85,6414,2027,134,154,87,181,211,85.8,33,41,80.5,0,0.2,0.6,-0.2,3,23,6,1,33
137,Ann-Katrin Berger,GK,Chelsea,29,1990,17,514,629,81.7,13689,9140,76,76,100,277,290,95.5,160,261,61.3,1,0.4,0.3,0.6,1,4,0,0,0
138,Agnes Beever-Jones,FW,Chelsea,17,2003,0.3,7,7,100,102,26,3,3,100,4,4,100,0,0,,0,0,0,0,0,0,0,0,0
139,Jonna Andersson,DF,Chelsea,27,1993,17.4,776,1059,73.3,13492,4973,356,429,83,339,438,77.4,70,141,49.6,0,1.5,2,-1.5,25,62,19,13,66
140,Danielle Turner,DF,Everton,29,1991,12.5,547,730,74.9,9460,4589,257,304,84.5,244,304,80.3,42,96,43.8,0,0.2,0.3,-0.2,4,47,7,2,63
141,Nicoline Sørensen,FW,Everton,22,1997,14.6,316,503,62.8,4824,1168,184,237,77.6,108,169,63.9,19,49,38.8,3,4.1,3.1,-1.1,22,14,26,16,36
142,Abbey-Leigh Stringer,"MF,DF",Everton,25,1995,7.7,284,350,81.1,5535,1351,124,143,86.7,103,112,92,50,75,66.7,1,0.1,0.3,0.9,2,28,3,0,23
143,Rikke Sevecke,DF,Everton,24,1996,18.5,1012,1241,81.5,21643,8376,220,268,82.1,631,701,90,152,240,63.3,1,0.4,0.3,0.6,5,52,3,3,58
144,Jill Scott,MF,Everton,33,1987,10.8,380,517,73.5,6016,1542,187,230,81.3,149,200,74.5,26,47,55.3,0,0.3,0.3,-0.3,7,35,4,0,44
145,Hayley Raso,"FW,DF",Everton,25,1994,15.9,317,504,62.9,4833,1533,173,232,74.6,110,168,65.5,19,51,37.3,2,1.5,1.3,0.5,15,26,10,4,49
146,Molly Pike,"FW,DF",Everton,19,2001,0.7,19,30,63.3,264,140,12,20,60,5,6,83.3,2,3,66.7,0,0,0,0,0,0,0,0,3
147,Poppy Pattinson,"DF,MF",Everton,20,2000,8.3,322,438,73.5,5012,1922,167,198,84.3,132,172,76.7,16,41,39,0,0.1,0.2,-0.1,2,11,4,0,27
148,Ingrid Moe Wold,DF,Everton,30,1990,19.1,836,1139,73.4,14208,6015,390,470,83,380,507,75,60,113,53.1,1,1.1,1.4,-0.1,14,54,8,6,78
149,Simone Magill,"FW,MF",Everton,25,1994,7.6,116,175,66.3,1516,277,66,89,74.2,34,44,77.3,5,12,41.7,1,0.5,0.5,0.5,6,7,5,1,15
150,Sandy MacIver,GK,Everton,22,1998,17.2,640,818,78.2,14122,8379,151,153,98.7,368,380,96.8,113,277,40.8,0,0,0,0,0,4,0,0,0
151,Alisha Lehmann,FW,Everton,21,1999,3.9,73,116,62.9,958,225,47,59,79.7,17,31,54.8,3,9,33.3,1,0.6,0.4,0.4,4,5,2,2,11
152,Tinja-Riikka Korpela,GK,Everton,34,1986,4.8,217,236,91.9,4215,1759,56,56,100,135,137,98.5,23,40,57.5,0,0,0,0,0,0,0,0,0
153,Lucy Graham,"MF,FW",Everton,23,1996,13.9,303,446,67.9,4643,1343,167,222,75.2,99,137,72.3,22,42,52.4,3,0.6,0.8,2.4,7,36,9,2,44
