Rk,Player,Pos,"Squad
▲",Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,572,659,86.8,12581,6815,121,123,98.4,357,364,98.1,92,169,54.4,0,0,0,0,0,1,0,0,0
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,12.5,860,1031,83.4,17446,6681,262,299,87.6,469,530,88.5,125,175,71.4,0,0.1,0.7,-0.1,2,83,4,0,69
3,Leah Williamson,DF,Arsenal,23,1997,18.6,1391,1700,81.8,33177,12544,273,317,86.1,786,876,89.7,324,476,68.1,2,1.3,1.9,0.7,9,183,19,0,156
4,Lydia Williams,GK,Arsenal,32,1988,9,342,369,92.7,7094,4334,89,89,100,202,210,96.2,45,64,70.3,0,0,0,0,0,2,0,0,0
5,Lia Wälti,"MF,DF",Arsenal,27,1993,17.4,1058,1238,85.5,20197,7132,367,419,87.6,559,614,91,121,173,69.9,1,1.1,1.2,-0.1,13,119,11,0,107
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,5.1,304,353,86.1,5688,2137,116,127,91.3,159,169,94.1,27,45,60,0,0,0.1,0,1,14,2,0,16
7,Jill Roord,"MF,FW",Arsenal,23,1997,14.6,501,595,84.2,8626,1566,230,263,87.5,204,231,88.3,51,67,76.1,3,2.3,2.1,0.7,21,39,17,1,64
8,Anna Patten,DF,Arsenal,21,1999,2.3,106,142,74.6,1825,524,51,62,82.3,48,62,77.4,7,16,43.8,0,0.3,0.3,-0.3,4,5,6,2,12
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,11.6,551,649,84.9,9234,1923,272,299,91,217,252,86.1,45,67,67.2,4,4.2,2.6,-0.2,28,41,27,4,66
10,Vivianne Miedema,FW,Arsenal,24,1996,20.7,462,608,76,7978,1666,202,247,81.8,180,230,78.3,50,68,73.5,5,4.5,4.2,0.5,30,39,27,4,77
11,Beth Mead,FW,Arsenal,25,1995,18.4,539,758,71.1,9394,2322,261,330,79.1,204,268,76.1,60,110,54.5,8,8.6,6.9,-0.6,43,29,38,8,77
12,Katie McCabe,DF,Arsenal,24,1995,19.3,1091,1475,74,21106,7962,397,473,83.9,526,667,78.9,152,284,53.5,11,5.7,4.4,5.3,49,81,36,12,109
13,Noelle Maritz,DF,Arsenal,24,1995,9.4,528,639,82.6,8204,2839,280,315,88.9,222,256,86.7,19,42,45.2,4,1.1,1,2.9,9,39,12,4,54
14,Leonie Maier,DF,Arsenal,27,1992,5.6,276,366,75.4,4457,1825,134,162,82.7,123,155,79.4,14,29,48.3,0,0.2,0.4,-0.2,4,22,5,1,41
15,Ruby Mace,"FW,MF",Arsenal,16,2003,0.3,23,28,82.1,423,57,10,12,83.3,10,12,83.3,3,4,75,0,0,0,0,0,3,0,0,3
16,Kim Little,MF,Arsenal,30,1990,14.1,580,676,85.8,10017,2219,248,274,90.5,281,312,90.1,43,69,62.3,2,1.5,2.3,0.5,15,44,17,2,65
17,Malin Gut,MF,Arsenal,19,2000,7.5,364,433,84.1,6704,1740,147,178,82.6,176,197,89.3,33,41,80.5,0,0.3,0.6,-0.3,6,39,2,0,46
18,Caitlin Foord,FW,Arsenal,25,1994,14.6,280,383,73.1,4192,1160,165,203,81.3,88,117,75.2,14,26,53.8,5,2.6,2.6,2.4,18,25,13,2,44
19,Lisa Evans,"DF,FW",Arsenal,28,1992,5.2,216,292,74,3522,1496,113,136,83.1,82,108,75.9,15,31,48.4,1,1.4,1.5,-0.4,8,18,9,3,28
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,14,446,583,76.5,7194,1902,205,256,80.1,191,242,78.9,32,53,60.4,2,2.5,2.6,-0.5,22,46,20,2,68
21,Anouk Denton,FW,Arsenal,17,2003,0,1,1,100,11,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
22,Steph Catley,DF,Arsenal,26,1994,2.1,117,150,78,1944,898,56,62,90.3,50,65,76.9,8,13,61.5,0,0.1,0.2,-0.1,2,16,4,0,14
23,Jennifer Beattie,DF,Arsenal,29,1991,6.5,497,552,90,10786,4558,121,129,93.8,285,299,95.3,86,116,74.1,0,0.1,0.1,-0.1,1,28,0,0,41
24,Amy West,MF,Aston Villa,23,1997,2.4,39,66,59.1,681,286,15,23,65.2,20,32,62.5,3,8,37.5,0,0,0,0,0,7,0,0,6
25,Lisa Weiß,GK,Aston Villa,32,1987,21,390,712,54.8,11344,8601,50,53,94.3,185,205,90.2,153,452,33.8,1,0.1,0.1,0.9,1,4,1,0,0
26,Emily Syme,MF,Aston Villa,20,2000,3,59,90,65.6,910,395,29,40,72.5,25,31,80.6,2,12,16.7,0,0.2,0.2,-0.2,3,9,2,0,10
27,Diana Silva,FW,Aston Villa,25,1995,5.8,89,154,57.8,1391,297,46,66,69.7,34,57,59.6,4,13,30.8,0,0.3,0.2,-0.3,5,9,2,0,7
28,Caroline Siems,DF,Aston Villa,21,1999,10.5,348,497,70,5790,2507,174,228,76.3,141,192,73.4,30,65,46.2,0,0.6,0.2,-0.6,5,23,5,2,31
29,Sian Rogers,GK,Aston Villa,22,1998,1,31,48,64.6,861,616,9,9,100,8,12,66.7,14,25,56,0,0,0,0,0,0,0,0,0
30,Ramona Petzelberger,"MF,FW",Aston Villa,27,1992,8.8,205,267,76.8,3177,784,102,121,84.3,79,97,81.4,12,25,48,0,0.6,0.7,-0.6,11,18,5,2,29
31,Elisha N'Dow,DF,Aston Villa,23,1996,17.5,351,520,67.5,7475,3961,105,134,78.4,191,225,84.9,54,144,37.5,1,0.2,0.6,0.8,3,23,7,3,22
32,Olivia McLoughlin,"MF,DF",Aston Villa,15,2004,6.8,111,172,64.5,1979,844,45,62,72.6,50,73,68.5,13,27,48.1,0,0.2,0.4,-0.2,4,6,4,1,12
33,Stine Larsen,FW,Aston Villa,24,1996,16.1,201,323,62.2,2781,587,121,170,71.2,66,106,62.3,7,14,50,0,0.8,0.8,-0.8,4,16,2,0,19
