Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
19,Lisa Evans,"DF,FW",Arsenal,28,1992,5.2,292,239,53,5,1,2,19,48,0,0,0,0,216,0,10
20,Daniëlle van de Donk,"MF,FW",Arsenal,28,1991,14,583,566,16,5,2,0,13,6,2,0,0,0,446,1,9
21,Anouk Denton,FW,Arsenal,17,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Steph Catley,DF,Arsenal,26,1994,2.1,150,129,19,4,0,0,3,15,0,0,0,0,117,2,2
23,Jennifer Beattie,DF,Arsenal,29,1991,6.5,552,538,13,12,0,5,0,1,0,0,0,0,497,1,1
24,Amy West,MF,Aston Villa,23,1997,2.4,66,63,3,0,0,0,0,2,0,0,0,0,39,0,2
25,Lisa Weiß,GK,Aston Villa,32,1987,21,712,434,278,49,0,0,0,0,0,0,0,0,390,0,0
26,Emily Syme,MF,Aston Villa,20,2000,3,90,83,7,1,0,0,4,2,4,2,2,0,59,0,3
27,Diana Silva,FW,Aston Villa,25,1995,5.8,154,145,9,1,0,1,16,5,1,0,0,0,89,0,10
28,Caroline Siems,DF,Aston Villa,21,1999,10.5,497,382,114,6,1,2,9,108,0,0,0,0,348,1,8
29,Sian Rogers,GK,Aston Villa,22,1998,1,48,31,17,3,0,0,0,0,0,0,0,0,31,0,1
30,Ramona Petzelberger,"MF,FW",Aston Villa,27,1992,8.8,267,259,7,2,1,0,7,1,1,1,0,0,205,1,5
31,Elisha N'Dow,DF,Aston Villa,23,1996,17.5,520,451,66,60,0,3,10,5,0,0,0,0,351,3,15
32,Olivia McLoughlin,"MF,DF",Aston Villa,15,2004,6.8,172,148,23,3,0,1,4,14,2,2,0,0,111,1,6
33,Stine Larsen,FW,Aston Villa,24,1996,16.1,323,287,33,1,0,0,9,12,0,0,0,0,201,3,14
34,Mana Iwabuchi,"MF,FW",Aston Villa,27,1993,10.9,305,283,19,3,1,2,11,4,7,4,0,0,182,3,12
35,Jodie Hutton,"DF,FW",Aston Villa,19,2001,11.7,374,281,92,28,0,1,32,51,13,8,2,1,156,1,14
36,Sophie Haywood,"MF,DF",Aston Villa,24,1996,3.6,113,102,11,1,0,0,4,8,0,0,0,0,66,0,7
37,Shania Hayles,"FW,MF",Aston Villa,20,1999,10.6,165,157,7,0,0,0,2,1,1,0,0,0,106,1,8
38,Nadine Hanssen,"MF,FW",Aston Villa,26,1993,9.3,247,235,11,0,0,2,8,2,1,1,0,0,156,1,7
39,Natalie Haigh,DF,Aston Villa,20,1999,17.4,525,481,44,36,0,0,3,7,0,0,0,0,357,0,7
40,Freya Gregory,"MF,DF",Aston Villa,17,2003,4.2,108,79,28,3,0,1,15,17,4,3,0,1,44,1,7
41,Ella Franklin-Fraiture,DF,Aston Villa,23,1997,9.4,407,271,135,10,0,3,12,124,0,0,0,0,282,1,15
42,Emma Follis,"FW,MF",Aston Villa,28,1992,8.1,231,204,27,7,1,0,21,11,7,1,3,1,144,0,7
43,Marisa Ewers,"MF,DF",Aston Villa,31,1989,14.5,457,446,9,0,0,4,5,5,2,1,1,0,308,2,10
44,Anita Asante,"DF,MF",Aston Villa,35,1985,18.4,528,505,22,12,0,5,3,10,0,0,0,0,392,1,6
45,Chloe Arthur,MF,Aston Villa,25,1995,14.7,425,398,24,5,0,2,20,0,12,3,3,1,267,3,12
46,Asmita Ale,DF,Aston Villa,18,2001,16.2,793,587,204,17,0,1,21,185,2,1,1,0,504,2,30
47,Lucy Whipp,MF,Birmingham City,24,1995,13.9,384,369,13,0,0,2,4,1,0,0,0,0,242,2,20
48,Claudia Walker,FW,Birmingham City,24,1996,20.3,335,310,22,1,3,0,20,0,0,0,0,0,200,3,27
49,Destiney Toussaint,"MF,FW",Birmingham City,,,0.8,15,15,0,0,0,0,2,0,0,0,0,0,6,0,0
50,Harriet Scott,DF,Birmingham City,27,1993,19.5,661,462,192,7,0,0,16,184,1,0,0,0,410,7,17
51,Connie Scofield,MF,Birmingham City,21,1999,6.3,166,163,3,0,0,0,2,1,0,0,0,0,114,0,4
52,Veatriki Sarri,"MF,FW",Birmingham City,22,1998,0.4,8,7,1,0,0,0,3,0,1,1,0,0,3,0,1
53,Emma Rose Kelly,"MF,DF",Birmingham City,23,1997,8.8,193,174,19,1,0,0,5,17,1,1,0,0,112,0,7
54,Jamie-Lee Napier,"MF,FW",Birmingham City,20,2000,16,242,234,8,1,0,0,11,5,0,0,0,0,145,0,19
55,Christie Murray,MF,Birmingham City,30,1990,15.5,506,486,17,3,0,2,9,2,5,3,1,0,286,3,12
56,Emily Murphy,FW,Birmingham City,17,2003,7.6,132,124,8,0,1,0,11,0,0,0,0,0,51,0,14
57,Chloe McCarron,MF,Birmingham City,22,1997,3.3,67,66,0,0,0,0,1,0,0,0,0,0,42,1,3
58,Sarah Mayling,"MF,DF",Birmingham City,23,1997,17.4,666,481,182,27,0,1,68,123,30,19,4,3,385,3,29
59,Ruby Mace,"DF,MF",Birmingham City,16,2003,10.9,298,253,45,24,0,1,4,21,0,0,0,0,197,0,3
60,Ruesha Littlejohn,MF,Birmingham City,30,1990,9.9,208,199,8,2,0,0,7,0,0,0,0,0,113,1,18
61,Gemma Lawley,DF,Birmingham City,19,2001,2.2,40,35,5,2,0,0,2,3,0,0,0,0,28,0,1
62,Rebecca Holloway,DF,Birmingham City,24,1995,20.1,740,483,248,8,0,0,48,226,13,10,2,0,395,9,16
63,Hannah Hampton,GK,Birmingham City,19,2000,21,856,503,350,90,0,4,0,0,0,0,0,0,453,3,0
64,Mollie Green,MF,Birmingham City,22,1997,10.6,244,236,6,1,0,0,2,0,1,1,0,0,177,2,3
65,Abbi Grant,MF,Birmingham City,24,1995,0.4,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0
66,Rachel Corsie,DF,Birmingham City,30,1989,7,285,271,12,12,0,2,0,0,0,0,0,0,226,2,2
67,Georgia Brougham,DF,Birmingham City,24,1996,19,629,571,55,27,0,2,4,28,0,0,0,0,446,3,11
68,Victoria Williams,DF,Brighton,30,1990,15,569,518,51,35,0,10,3,16,0,0,0,0,386,0,14
69,Aileen Whelan,"FW,MF",Brighton,28,1991,21.8,615,590,22,2,0,1,31,14,0,0,0,0,371,3,25
70,Megan Walsh,GK,Brighton,25,1994,15,588,397,191,46,0,1,0,0,0,0,0,0,370,0,1
71,Maisie Symonds,"MF,FW",Brighton,17,2003,0.3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
72,Rebekah Stott,DF,Brighton,27,1993,4.7,214,205,8,3,0,1,1,5,0,0,0,0,164,1,2
73,Emily Simpkins,"MF,FW",Brighton,30,1990,5.9,182,177,3,2,0,0,1,1,0,0,0,0,116,2,3
74,Bethan Roe,DF,Brighton,20,1999,2.4,122,91,31,0,0,0,5,31,0,0,0,0,76,0,4
75,Katie Robinson,FW,Brighton,17,2002,0.7,17,16,1,0,0,1,1,1,0,0,0,0,9,0,1
76,Denise O'Sullivan,"MF,FW",Brighton,26,1994,8.5,278,271,6,1,0,1,10,2,1,0,1,0,202,1,11
77,Maya Le Tissier,DF,Brighton,18,2002,22,1067,811,251,26,0,7,33,224,1,0,1,0,674,5,22
78,Emma Koivisto,"DF,MF",Brighton,25,1994,8.5,416,282,134,3,0,0,11,130,1,1,0,0,308,0,10
79,Danique Kerkdijk,DF,Brighton,24,1996,16.8,591,557,34,27,0,6,0,5,0,0,0,0,440,0,8
80,Inessa Kaagman,"MF,FW",Brighton,24,1996,21.1,714,622,86,42,0,3,83,10,32,14,2,11,414,6,33
81,Rianna Jarrett,FW,Brighton,21,1999,8.2,178,154,24,0,0,1,4,0,0,0,0,0,125,0,8
82,Nora Heroum,"FW,MF",Brighton,26,1994,5,129,122,7,4,0,0,7,3,0,0,0,0,93,0,4
83,Kayleigh Green,"FW,MF",Brighton,32,1988,13,386,367,16,0,2,3,15,12,3,2,0,0,227,3,16
84,Felicity Gibbons,DF,Brighton,26,1994,12.1,545,407,135,7,0,0,22,128,0,0,0,0,366,3,11
85,Lee Geum-min,FW,Brighton,26,1994,11.5,326,303,21,0,0,3,14,1,0,0,0,0,251,2,8
86,Cecilie Fiskerstrand,GK,Brighton,24,1996,7,298,207,90,18,0,0,0,2,0,0,0,0,197,1,0
87,Megan Connolly,"MF,DF",Brighton,23,1997,13.7,440,386,54,18,0,4,32,23,12,10,0,2,278,0,10
88,Danielle Buet,"MF,DF",Brighton,31,1988,11.5,408,379,26,14,0,0,12,4,8,4,3,0,284,3,5
89,Ellie Brazil,"FW,MF",Brighton,21,1999,13.6,358,345,12,0,0,1,32,5,0,0,0,0,223,1,22
90,Kirsty Barton,DF,Brighton,28,1992,0.9,30,19,11,0,0,0,1,11,0,0,0,0,16,0,1
91,Libby Bance,"MF,FW",Brighton,17,2003,2.6,44,44,0,0,0,0,0,0,0,0,0,0,29,0,3
92,Jessica Wooley,FW,Bristol City,19,2001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Georgia Wilson,MF,Bristol City,18,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
94,Charlie Wellings,"MF,FW",Bristol City,22,1998,16.2,337,320,13,1,2,1,18,5,1,0,1,0,218,4,18
95,Kiera Skeels,"DF,MF",Bristol City,19,2001,9.1,259,231,28,12,0,2,2,16,0,0,0,0,162,0,4
96,Meaghan Sargeant,DF,Bristol City,26,1994,2.8,70,64,6,3,0,0,0,3,0,0,0,0,42,0,0
97,Ebony Salmon,"FW,MF",Bristol City,19,2001,16.8,244,190,51,0,1,4,22,1,1,0,0,0,140,3,11
98,Laura Rafferty,"DF,MF",Bristol City,24,1996,6.5,166,161,4,3,0,0,0,1,0,0,0,0,108,1,2
99,Jemma Purfield,DF,Bristol City,23,1997,21,926,602,321,35,1,1,72,252,34,24,3,1,478,3,34
100,Molly Pike,MF,Bristol City,19,2001,11,263,230,30,13,0,0,24,6,11,9,0,0,126,3,9
101,Aimee Palmer,"MF,DF",Bristol City,20,2000,9.6,279,254,24,6,0,1,4,15,2,1,0,0,166,1,7
102,Jasmine Matthews,"DF,MF",Bristol City,27,1993,8.9,287,278,9,8,0,2,2,1,0,0,0,0,195,0,7
103,Ella Mastrantonio,MF,Bristol City,28,1992,10.2,344,312,31,19,2,2,13,0,12,7,0,1,255,1,7
104,Chloe Logarzo,"MF,FW",Bristol City,25,1994,6.5,126,102,21,6,0,0,5,3,4,0,0,1,83,3,6
105,Naomi Layzell,DF,Bristol City,16,2004,4.2,71,69,2,0,0,0,0,2,0,0,0,0,49,0,2
106,Ellen Jones,MF,Bristol City,17,2002,1,15,15,0,0,0,0,0,0,0,0,0,0,7,0,0
107,Carla Humphrey,MF,Bristol City,23,1996,18.2,412,404,6,3,0,4,10,2,0,0,0,0,286,2,14
108,Abigail Harrison,"FW,MF",Bristol City,22,1997,9.7,217,185,28,0,0,1,11,2,1,1,0,0,134,4,6
109,Benedicte Håland,GK,Bristol City,22,1998,1,37,26,11,1,0,0,0,0,0,0,0,0,29,0,0
110,Gemma Evans,DF,Bristol City,23,1996,20,566,525,40,24,0,2,0,15,0,0,0,0,353,1,9
111,Yana Daniels,"MF,FW",Bristol City,28,1992,19,492,432,59,6,0,5,15,48,4,3,0,0,269,1,19
112,Faye Bryson,DF,Bristol City,23,1997,8,349,239,110,3,0,0,18,107,0,0,0,0,182,0,18
113,Emma Bissell,"MF,FW",Bristol City,18,2001,8.8,114,110,4,0,0,1,6,2,1,1,0,0,65,0,5
114,Sophie Baggaley,GK,Bristol City,23,1996,21,824,465,355,100,0,0,0,0,0,0,0,0,408,4,0
115,Flo Allen,DF,Bristol City,20,1999,12.1,370,274,94,3,0,0,11,91,0,0,0,0,217,2,9
116,Maria Thorisdottir,DF,Chelsea,27,1993,0.9,57,46,11,0,0,0,8,9,2,0,2,0,43,0,1
117,Carly Telford,GK,Chelsea,33,1987,3,87,69,18,7,0,0,0,0,0,0,0,0,80,0,0
118,Drew Spence,MF,Chelsea,27,1992,2.8,161,161,0,0,0,2,2,0,0,0,0,0,131,0,2
119,Ji So-yun,MF,Chelsea,29,1991,14.5,989,960,28,9,2,7,17,7,1,0,0,0,820,1,16
120,Guro Reiten,"FW,MF",Chelsea,26,1994,9.9,383,324,52,12,1,2,58,3,36,16,13,3,244,7,15
121,Zećira Mušović,GK,Chelsea,24,1996,2,56,41,15,2,0,0,0,0,0,0,0,0,33,0,0
122,Maren Mjelde,DF,Chelsea,30,1989,13.5,985,790,193,9,0,1,42,161,23,14,6,1,812,2,11
123,Melanie Leupolz,MF,Chelsea,26,1994,15.9,809,798,9,4,0,9,4,4,0,0,0,0,660,2,12
124,Fran Kirby,"FW,MF",Chelsea,27,1993,15.3,620,596,21,3,1,4,36,11,2,0,1,0,478,3,19
125,Sam Kerr,FW,Chelsea,26,1993,16.9,510,501,9,0,1,1,32,5,0,0,0,0,337,0,19
126,Sophie Ingle,"MF,DF",Chelsea,28,1991,13.6,746,727,16,11,2,1,5,3,0,0,0,0,610,3,3
127,Pernille Harder,"MF,FW",Chelsea,27,1992,14.3,497,490,3,1,1,2,27,2,0,0,0,0,353,4,22
128,Jorja Fox,DF,Chelsea,16,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
129,Jessie Fleming,"MF,FW",Chelsea,22,1998,4.9,279,266,11,0,0,2,11,1,9,3,2,0,225,2,5
130,Magdalena Eriksson,DF,Chelsea,26,1993,19.1,1507,1471,34,27,0,24,15,4,3,1,2,0,1279,2,11
131,Bethany England,FW,Chelsea,26,1994,11,318,307,9,0,1,0,18,5,0,0,0,0,225,2,11
132,Erin Cuthbert,"MF,FW",Chelsea,22,1998,13.6,566,494,71,13,1,5,71,13,42,20,19,0,403,1,15
133,Niamh Charles,"DF,FW",Chelsea,21,1999,7.2,440,377,60,3,0,1,22,56,1,1,0,0,342,3,4
134,Jess Carter,DF,Chelsea,22,1997,3.6,217,177,40,0,0,0,18,37,3,2,0,1,151,0,4
135,Millie Bright,DF,Chelsea,26,1993,20.2,1579,1540,36,32,0,21,4,4,0,0,0,0,1303,3,12
136,Hannah Blundell,DF,Chelsea,26,1994,5.2,413,345,67,3,0,1,11,62,2,0,0,0,351,1,5
137,Ann-Katrin Berger,GK,Chelsea,29,1990,17,629,513,116,21,1,1,0,0,0,0,0,0,514,0,1
138,Agnes Beever-Jones,FW,Chelsea,17,2003,0.3,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0
139,Jonna Andersson,DF,Chelsea,27,1993,17.4,1059,824,232,16,0,1,84,197,19,7,11,1,776,3,33
140,Danielle Turner,DF,Everton,29,1991,12.5,730,563,165,14,0,2,20,151,0,0,0,0,547,2,21
141,Nicoline Sørensen,FW,Everton,22,1997,14.6,503,466,35,2,0,0,87,12,10,4,0,6,316,2,37
142,Abbey-Leigh Stringer,"MF,DF",Everton,25,1995,7.7,350,335,11,11,0,6,0,0,0,0,0,0,284,4,3
143,Rikke Sevecke,DF,Everton,24,1996,18.5,1241,1188,50,28,0,4,5,20,0,0,0,0,1012,3,17
144,Jill Scott,MF,Everton,33,1987,10.8,517,510,7,2,0,3,12,3,0,0,0,0,380,0,14
145,Hayley Raso,"FW,DF",Everton,25,1994,15.9,504,480,23,3,1,3,49,16,1,1,0,0,317,1,32
146,Molly Pike,"FW,DF",Everton,19,2001,0.7,30,24,6,0,0,0,2,6,0,0,0,0,19,0,3
147,Poppy Pattinson,"DF,MF",Everton,20,2000,8.3,438,348,89,1,0,1,10,88,0,0,0,0,322,1,15
148,Ingrid Moe Wold,DF,Everton,30,1990,19.1,1139,830,305,12,0,2,39,293,0,0,0,0,836,4,30
149,Simone Magill,"FW,MF",Everton,25,1994,7.6,175,167,7,1,0,1,9,0,0,0,0,0,116,1,10
150,Sandy MacIver,GK,Everton,22,1998,17.2,818,624,194,49,0,0,0,1,0,0,0,0,640,0,1
151,Alisha Lehmann,FW,Everton,21,1999,3.9,116,111,5,1,0,0,16,2,0,0,0,0,73,0,8
152,Tinja-Riikka Korpela,GK,Everton,34,1986,4.8,236,203,33,6,0,0,0,0,0,0,0,0,217,0,0
153,Lucy Graham,"MF,FW",Everton,23,1996,13.9,446,435,10,3,1,6,13,5,1,0,0,1,303,1,16
154,Gabrielle George,DF,Everton,23,1997,4.5,268,226,42,6,0,0,0,36,0,0,0,0,205,0,6
155,Valérie Gauvin,FW,Everton,24,1996,9,149,134,14,0,1,1,4,1,0,0,0,0,93,1,6
156,Megan Finnigan,DF,Everton,22,1998,21.5,1280,1237,38,29,1,9,3,8,0,0,0,0,1043,5,6
157,Claire Emslie,FW,Everton,26,1994,14.3,398,350,47,4,0,1,78,6,34,25,0,6,255,1,25
158,Damaris Egurrola,"MF,DF",Everton,20,1999,5.8,243,239,2,1,0,3,0,1,0,0,0,0,194,2,1
159,Grace Clinton,"MF,FW",Everton,17,2003,2.2,71,68,3,0,0,1,4,0,0,0,0,0,50,0,4
160,Maéva Clemaron,MF,Everton,27,1992,6,262,262,0,0,0,0,1,0,0,0,0,0,206,0,7
161,Izzy Christiansen,MF,Everton,28,1991,21.3,1217,1084,131,41,0,3,105,7,79,28,28,12,887,2,21
162,Chantelle Boye-Hlorkah,"FW,MF",Everton,24,1995,1.9,39,37,2,0,0,0,5,1,0,0,0,0,27,0,0
163,Alicia Window,FW,Manchester City,,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
164,Ellen White,FW,Manchester City,31,1989,17,368,333,33,2,0,1,2,2,1,0,0,0,288,2,5
165,Caroline Weir,MF,Manchester City,25,1995,16,786,740,40,13,0,1,47,6,21,13,3,4,659,6,13
166,Keira Walsh,MF,Manchester City,23,1997,19.7,1360,1332,24,21,1,6,7,3,0,0,0,0,1165,4,14
167,Demi Stokes,DF,Manchester City,28,1991,8.1,562,453,108,8,0,0,5,100,0,0,0,0,469,1,18
168,Georgia Stanway,"FW,MF",Manchester City,21,1999,16.5,807,758,47,3,0,4,16,38,1,0,0,1,671,2,17
169,Jill Scott,MF,Manchester City,33,1987,3,140,139,1,0,0,0,4,1,0,0,0,0,117,0,2
170,Ellie Roebuck,GK,Manchester City,20,1999,20,801,685,116,12,0,1,0,0,0,0,0,0,744,0,0
171,Jessica Park,FW,Manchester City,18,2001,2,58,57,1,0,0,0,4,0,0,0,0,0,44,0,1
172,Esme Morgan,DF,Manchester City,19,2000,10.4,920,808,110,10,1,6,7,99,1,0,0,0,814,2,6
173,Sam Mewis,MF,Manchester City,27,1992,12.7,510,504,3,0,1,2,18,1,2,1,0,0,364,3,16
174,Aoife Mannion,"DF,FW",Manchester City,24,1995,1.4,147,138,8,0,0,3,1,8,0,0,0,0,126,1,0
175,Rose Lavelle,"FW,MF",Manchester City,25,1995,5.2,273,268,2,0,0,1,8,1,0,0,0,0,216,3,6
176,Chloe Kelly,FW,Manchester City,22,1998,18.9,685,633,50,3,0,0,130,8,39,14,9,6,467,2,41
177,Steph Houghton,DF,Manchester City,32,1988,15.7,1310,1288,20,19,2,12,3,1,0,0,0,0,1150,2,7
178,Lauren Hemp,FW,Manchester City,19,2000,11.7,444,431,11,3,0,1,38,8,0,0,0,0,314,2,19
179,Alex Greenwood,DF,Manchester City,26,1993,17.3,1715,1469,240,47,1,17,125,102,91,49,23,10,1396,6,16
180,Millie Davies,"FW,DF",Manchester City,17,2003,0.5,40,38,2,0,0,0,1,2,0,0,0,0,31,0,1
181,Abby Dahlkemper,DF,Manchester City,27,1993,7.2,599,586,13,12,0,3,0,1,0,0,0,0,531,0,6
182,Laura Coombs,MF,Manchester City,29,1991,7,434,431,1,0,2,1,5,0,1,1,0,0,383,2,5
183,Lucy Bronze,DF,Manchester City,28,1991,16.9,1449,1200,246,28,0,11,40,218,0,0,0,0,1136,3,22
184,Gemma Bonner,DF,Manchester City,29,1991,5.5,432,420,10,10,0,1,0,0,0,0,0,0,372,2,0
185,Karima Benameur,GK,Manchester City,31,1989,1,30,27,3,0,0,0,0,0,0,0,0,0,28,0,0
186,Janine Beckie,"FW,DF",Manchester City,25,1994,7,362,323,39,1,0,0,46,21,17,8,3,1,267,0,11
187,Karen Bardsley,GK,Manchester City,35,1984,1,26,23,3,0,0,0,0,0,0,0,0,0,26,0,0
188,Katie Zelem,MF,Manchester Utd,24,1996,14.1,934,859,69,23,2,6,54,1,43,24,13,2,682,6,13
189,Millie Turner,DF,Manchester Utd,24,1996,22,1267,1240,26,24,0,4,1,2,0,0,0,0,1088,1,6
190,Amy Turner,DF,Manchester Utd,29,1991,19.4,914,848,61,20,1,6,4,41,0,0,0,0,724,5,8
191,Ella Toone,"MF,FW",Manchester Utd,20,1999,19.7,777,733,30,10,1,4,42,3,15,7,2,5,546,14,34
192,Maria Thorisdottir,DF,Manchester Utd,27,1993,4.2,271,220,48,3,0,1,7,45,0,0,0,0,202,3,4
193,Lucy Staniforth,"MF,FW",Manchester Utd,27,1992,7.4,359,307,47,23,1,4,32,2,18,8,7,3,255,5,10
194,Kirsty Smith,DF,Manchester Utd,26,1994,11.7,604,439,161,6,0,1,12,154,0,0,0,0,443,4,15
195,Jessica Sigsworth,"FW,MF",Manchester Utd,25,1994,6.4,145,140,3,1,0,0,7,1,0,0,0,0,98,2,3
196,Alessia Russo,FW,Manchester Utd,21,1999,3.1,63,54,9,1,0,0,9,1,5,0,1,1,35,0,2
197,Jane Ross,"FW,MF",Manchester Utd,30,1989,3.9,90,83,6,0,0,0,6,0,1,0,0,1,58,1,3
198,Christen Press,FW,Manchester Utd,31,1988,10.6,228,207,19,1,0,1,9,3,0,0,0,0,150,2,6
199,Lotta Ökvist,DF,Manchester Utd,23,1997,1.3,57,32,25,0,0,0,0,25,0,0,0,0,33,0,2
200,Abbie McManus,DF,Manchester Utd,27,1993,4.5,264,259,4,4,0,2,0,0,0,0,0,0,202,1,1
201,Hayley Ladd,MF,Manchester Utd,26,1993,12.3,478,455,18,13,0,1,11,2,2,1,0,1,358,5,5
202,Carrie Jones,"DF,FW",Manchester Utd,16,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
203,Lauren James,FW,Manchester Utd,18,2001,4.8,125,122,2,0,0,1,12,0,0,0,0,0,87,1,5
204,Tobin Heath,FW,Manchester Utd,32,1988,6.4,232,187,44,9,0,0,44,3,32,21,1,5,165,1,6
205,Martha Harris,DF,Manchester Utd,25,1994,3.9,246,180,64,0,0,0,9,64,0,0,0,0,189,2,3
206,Kirsty Hanson,FW,Manchester Utd,22,1998,12,348,341,6,0,2,1,50,2,1,1,0,0,198,1,26
207,Jackie Groenen,MF,Manchester Utd,25,1994,18.1,703,683,18,8,4,5,13,5,0,0,0,0,528,2,19
208,Leah Galton,"FW,DF",Manchester Utd,26,1994,14.7,494,448,45,3,1,4,70,26,16,12,0,2,294,1,17
209,Ivana Fuso,"FW,MF",Manchester Utd,19,2001,1.1,26,24,2,0,0,0,0,1,0,0,0,0,21,0,1
210,Mary Earps,GK,Manchester Utd,27,1993,22,777,600,172,33,0,3,0,1,0,0,0,0,605,5,1
211,Ona Batlle,DF,Manchester Utd,21,1999,18.1,1193,926,259,12,0,4,18,244,2,0,0,0,921,8,29
212,Lily Woodham,DF,Reading,19,2000,10,470,351,117,5,0,0,26,111,1,1,0,0,292,2,12
213,Fara Williams,"MF,FW",Reading,36,1984,12.1,542,465,73,30,1,4,42,6,30,20,0,4,379,4,4
214,Rachel Rowe,MF,Reading,27,1992,13.7,537,466,67,19,0,2,37,22,26,10,1,5,339,4,17
215,Beth Roberts,DF,Reading,17,2003,3.6,166,137,28,0,0,1,4,27,1,0,1,0,128,1,1
216,Grace Moloney,GK,Reading,27,1993,22,908,635,272,75,0,1,0,1,0,0,0,0,692,1,0
217,Emma Mitchell,DF,Reading,27,1992,13.4,777,576,199,24,0,3,52,158,17,11,1,1,529,2,20
218,Kristine Leine,DF,Reading,24,1996,13.1,639,504,133,3,0,5,17,130,0,0,0,0,454,2,11
219,Angharad James,MF,Reading,26,1994,22,940,924,9,7,0,7,11,2,0,0,0,0,675,7,19
220,Emma Harries,FW,Reading,18,2002,7.5,96,83,11,0,0,1,7,3,0,0,0,0,55,2,5
221,Natasha Harding,"FW,DF",Reading,31,1989,21.3,624,484,138,6,0,2,40,121,3,2,1,0,397,2,17
222,Jeon Ga-eul,"MF,FW",Reading,31,1988,1,33,33,0,0,0,1,2,0,0,0,0,0,25,0,0
223,Jess Fishlock,MF,Reading,33,1987,17.8,723,682,36,17,3,1,11,7,9,6,0,1,504,5,23
224,Amalie Eikeland,"MF,FW",Reading,24,1995,17.5,381,364,14,2,0,0,32,1,1,1,0,0,247,3,18
225,Deanna Cooper,DF,Reading,27,1993,19.3,933,907,26,24,0,10,1,2,0,0,0,0,710,0,7
226,Brooke Chaplen,"MF,FW",Reading,31,1989,5.3,124,112,12,2,0,0,8,2,1,1,0,0,88,0,4
227,Danielle Carter,FW,Reading,27,1993,14.5,362,344,16,1,1,0,8,1,0,0,0,0,228,2,16
228,Lauren Bruton,"FW,MF",Reading,27,1992,8,182,172,9,2,0,0,6,2,0,0,0,0,109,1,17
229,Molly Bartrip,DF,Reading,24,1996,20.2,1015,974,39,26,0,11,8,6,7,5,1,0,790,2,16
230,Shelina Zadorsky,DF,Tottenham,27,1992,20,975,935,36,32,0,8,2,3,1,0,0,0,759,4,12
231,Siri Worm,DF,Tottenham,28,1992,11.4,640,432,202,29,0,3,68,140,32,18,5,9,401,6,19
