Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Manuela Zinsberger,GK,Arsenal,24,1995,13,659,554,104,17,0,0,0,0,0,0,0,0,572,1,0
2,Lotte Wubben-Moy,DF,Arsenal,21,1999,12.5,1031,966,63,17,0,8,4,46,0,0,0,0,860,2,12
3,Leah Williamson,DF,Arsenal,23,1997,18.6,1700,1649,47,36,1,28,10,10,0,0,0,0,1391,4,21
4,Lydia Williams,GK,Arsenal,32,1988,9,369,305,64,10,0,1,0,0,0,0,0,0,342,0,0
5,Lia Wälti,"MF,DF",Arsenal,27,1993,17.4,1238,1190,43,39,0,3,2,4,0,0,0,0,1058,5,16
6,Viktoria Schnaderbeck,DF,Arsenal,29,1991,5.1,353,323,30,4,1,1,3,25,1,0,0,0,304,0,6
7,Jill Roord,"MF,FW",Arsenal,23,1997,14.6,595,579,13,4,2,4,7,1,0,0,0,0,501,3,13
8,Anna Patten,DF,Arsenal,21,1999,2.3,142,103,39,3,0,1,5,36,0,0,0,0,106,0,3
9,Jordan Nobbs,"FW,MF",Arsenal,27,1992,11.6,649,633,13,0,0,3,34,6,7,3,0,0,551,3,11
10,Vivianne Miedema,FW,Arsenal,24,1996,20.7,608,571,34,2,1,6,30,4,4,0,0,0,462,3,26
11,Beth Mead,FW,Arsenal,25,1995,18.4,758,679,76,19,2,6,87,9,47,13,14,3,539,3,33
12,Katie McCabe,DF,Arsenal,24,1995,19.3,1475,1146,323,43,0,15,126,208,72,27,23,3,1091,6,28
13,Noelle Maritz,DF,Arsenal,24,1995,9.4,639,499,140,6,0,0,19,132,1,1,0,0,528,0,18
14,Leonie Maier,DF,Arsenal,27,1992,5.6,366,285,76,2,0,0,8,74,0,0,0,0,276,5,7
15,Ruby Mace,"FW,MF",Arsenal,16,2003,0.3,28,28,0,0,0,0,0,0,0,0,0,0,23,0,1
16,Kim Little,MF,Arsenal,30,1990,14.1,676,653,22,4,0,0,19,0,18,4,2,0,580,1,8
17,Malin Gut,MF,Arsenal,19,2000,7.5,433,429,3,2,0,1,2,0,0,0,0,0,364,1,5
18,Caitlin Foord,FW,Arsenal,25,1994,14.6,383,371,9,2,0,1,23,3,3,1,0,0,280,3,16
