Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
26,Stina Blackstenius,FW,Arsenal,25,1996,7,176,0,3,63,115,37,176,6,3,50,3,50,101,553,133,8,2,3,11,9,148,48
27,Jennifer Beattie,"DF,MF",Arsenal,30,1991,6.5,459,52,238,208,13,6,459,1,1,100,0,0,171,791,450,1,0,0,0,3,340,0
28,Jill Scott,MF,Aston Villa,34,1987,5.7,342,12,60,179,106,16,342,7,2,28.6,5,71.4,154,844,322,9,8,1,9,7,213,18
29,Meaghan Sargeant,DF,Aston Villa,27,1994,9.1,340,53,197,126,20,8,340,1,1,100,0,0,99,417,257,1,0,0,2,3,157,1
30,Sian Rogers,GK,Aston Villa,23,1998,2.3,102,94,102,0,0,0,102,0,0,,0,,33,219,145,0,0,0,0,0,22,0
31,Ramona Petzelberger,"FW,MF",Aston Villa,28,1992,18.4,684,16,119,308,262,36,684,19,6,31.6,13,68.4,372,1681,577,13,11,2,38,28,460,71
32,Anna Patten,DF,Aston Villa,22,1999,7,339,50,209,119,15,8,339,1,1,100,0,0,166,912,515,4,2,1,2,3,196,2
33,Mayumi Pacheco,DF,Aston Villa,22,1998,22,1407,58,487,588,356,17,1407,36,14,38.9,22,61.1,508,2973,1523,26,24,4,32,23,627,55
34,Elisha N'Dow,DF,Aston Villa,24,1996,5.5,150,35,93,56,1,0,150,0,0,,0,,34,218,59,0,0,0,0,2,46,0
35,Olivia McLoughlin,"MF,DF",Aston Villa,16,2004,5,154,15,71,61,23,0,154,2,0,0,2,100,61,258,70,1,1,0,4,8,68,5
36,Sarah Mayling,DF,Aston Villa,24,1997,20.8,1451,67,429,635,399,8,1451,21,10,47.6,11,52.4,504,2585,1367,26,21,2,16,16,614,49
37,Ruesha Littlejohn,MF,Aston Villa,31,1990,11.1,469,13,139,275,57,2,469,3,2,66.7,1,33.3,234,988,348,5,0,0,14,13,264,5
38,Alisha Lehmann,FW,Aston Villa,22,1999,18.9,617,10,87,225,318,45,616,46,10,21.7,36,78.3,415,2868,1320,52,25,20,59,55,447,130
39,Jodie Hutton,"FW,MF",Aston Villa,20,2001,1.1,32,1,9,15,8,1,32,1,0,0,1,100,17,76,13,1,0,0,3,6,24,7
40,Shania Hayles,FW,Aston Villa,21,1999,4.7,116,1,9,51,57,13,116,7,2,28.6,5,71.4,70,410,163,5,6,1,21,11,88,19
41,Hannah Hampton,GK,Aston Villa,20,2000,19.7,884,643,867,18,0,0,884,3,3,100,0,0,481,3294,2185,0,1,1,0,0,397,1
42,Natalie Haigh,MF,Aston Villa,21,1999,0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
43,Freya Gregory,FW,Aston Villa,18,2003,1.2,32,1,5,9,18,1,32,1,0,0,1,100,14,188,40,4,0,1,2,2,20,10
44,Emily Gielnik,FW,Aston Villa,29,1992,12,308,2,19,132,160,31,308,2,0,0,2,100,155,636,212,7,3,4,26,12,250,52
45,Marisa Ewers,MF,Aston Villa,32,1989,2.4,83,1,28,43,12,0,83,0,0,,0,,22,53,16,0,1,0,2,1,34,2
46,Gemma Davison,"FW,MF",Aston Villa,34,1987,0.7,28,0,3,13,13,2,28,1,0,0,1,100,22,150,54,0,1,0,0,0,23,4
47,Rachel Corsie,"DF,MF",Aston Villa,31,1989,5.3,301,50,184,105,13,6,301,0,0,,0,,170,760,426,5,0,0,1,4,201,2
48,Chantelle Boye-Hlorkah,"FW,MF",Aston Villa,25,1995,11.1,382,10,40,148,199,20,382,14,5,35.7,9,64.3,200,1413,513,23,18,3,28,37,262,75
49,Laura Blindkilde,MF,Aston Villa,17,2003,7.4,282,6,58,141,88,8,282,7,4,57.1,3,42.9,148,699,279,9,9,0,13,9,181,31
50,Anita Asante,DF,Aston Villa,36,1985,21,879,123,520,349,17,6,879,8,5,62.5,3,37.5,399,2192,1202,8,1,0,13,8,457,1
51,Chloe Arthur,"MF,FW",Aston Villa,26,1995,10.8,388,17,97,218,76,5,388,7,6,85.7,1,14.3,146,740,288,6,3,0,15,19,200,18
52,Remi Allen,MF,Aston Villa,30,1990,18.8,680,35,166,357,159,27,680,3,2,66.7,1,33.3,226,740,240,0,4,1,17,14,359,29
53,Louanne Worsley,"FW,MF",Birmingham City,,,0.3,8,0,1,1,6,0,8,0,0,,0,,4,25,0,0,1,0,1,1,4,1
54,Lucy Whipp,"MF,FW",Birmingham City,25,1995,5.9,151,10,50,76,25,4,151,0,0,,0,,35,243,53,2,2,1,7,8,48,5
55,Emily Whelan,"FW,MF",Birmingham City,18,2002,5.5,148,6,42,58,50,8,148,5,0,0,5,100,66,475,227,6,1,0,13,7,71,16
56,Arabella Suttie,DF,Birmingham City,,,0.1,2,0,1,0,1,0,2,0,0,,0,,1,1,1,0,0,0,0,0,1,0
57,Libby Smith,"FW,DF",Birmingham City,19,2001,13.7,338,6,46,132,161,30,338,9,2,22.2,7,77.8,193,934,257,12,2,5,33,30,219,48
58,Harriet Scott,DF,Birmingham City,28,1993,19.1,726,91,399,273,60,9,726,7,3,42.9,4,57.1,286,1467,596,4,5,0,20,17,256,7
59,Veatriki Sarri,"MF,FW",Birmingham City,23,1998,18.3,736,25,163,339,256,24,736,39,11,28.2,28,71.8,360,2888,1025,27,23,8,53,49,344,47
60,Cecilie Sandvej,DF,Birmingham City,31,1990,4.7,130,21,96,35,2,1,130,1,1,100,0,0,57,309,200,0,0,0,1,0,64,0
61,Eleanor Ryan-Doyle,FW,Birmingham City,23,1998,3.7,95,2,17,41,40,5,95,1,0,0,1,100,33,186,91,3,3,0,4,2,44,13
62,Lisa Robertson,"MF,DF",Birmingham City,29,1992,13.1,515,21,185,266,72,2,515,8,5,62.5,3,37.5,163,951,309,7,5,4,12,14,203,12
63,Emily Ramsey,GK,Birmingham City,20,2000,14.3,542,478,539,3,0,0,542,0,0,,0,,234,1655,918,0,0,0,1,0,128,0
64,Lucy Quinn,"FW,MF",Birmingham City,27,1993,18.5,561,12,98,288,188,28,561,26,7,26.9,19,73.1,301,2193,608,22,17,5,37,39,324,47
65,Louise Quinn,DF,Birmingham City,31,1990,22,746,179,525,190,32,22,746,3,1,33.3,2,66.7,212,1160,552,4,1,1,3,1,272,0
66,Jade Pennock,"FW,MF",Birmingham City,28,1993,15.7,450,17,92,225,143,27,450,7,2,28.6,5,71.4,200,1194,424,13,14,3,32,21,223,46
67,Christie Murray,MF,Birmingham City,31,1990,16.9,577,31,157,324,108,5,576,5,2,40,3,60,195,850,336,5,6,1,22,20,215,7
68,Gemma Lawley,DF,Birmingham City,20,2001,18,589,117,418,140,35,13,589,3,1,33.3,2,66.7,172,976,388,1,1,0,8,7,205,4
69,Lucy Jones,GK,Birmingham City,,,0.7,27,20,27,0,0,0,27,0,0,,0,,6,63,36,0,0,0,1,0,3,0
70,Marie Hourihan,GK,Birmingham City,34,1987,7,257,238,256,1,0,0,257,0,0,,0,,95,649,305,0,0,0,0,0,55,0
71,Rebecca Holloway,"DF,MF",Birmingham City,25,1995,16.3,820,34,340,343,149,15,820,7,3,42.9,4,57.1,236,1589,710,20,12,3,31,18,252,19
72,Jamie Finn,"DF,MF",Birmingham City,23,1998,18.3,648,35,217,291,145,8,648,4,0,0,4,100,199,1071,381,11,9,2,16,16,228,28
73,Sarah Ewens,"FW,MF",Birmingham City,29,1992,4.2,91,3,5,41,45,15,91,1,0,0,1,100,51,234,36,1,2,2,17,5,65,14
74,Abbie Cowie,DF,Birmingham City,,,5,137,13,66,48,23,0,137,0,0,,0,,42,181,59,2,1,0,3,3,47,4
75,Julia Zigiotti Olme,"MF,FW",Brighton,23,1997,6.3,237,12,48,124,65,13,237,2,2,100,0,0,78,377,140,5,4,1,6,8,144,13
76,Victoria Williams,DF,Brighton,31,1990,20,959,171,597,332,36,14,959,1,0,0,1,100,372,2039,983,2,5,0,14,7,491,6
77,Aileen Whelan,"MF,FW",Brighton,29,1991,18.9,670,28,134,364,179,29,670,4,3,75,1,25,234,1103,419,8,11,4,22,14,402,45
78,Megan Walsh,GK,Brighton,26,1994,20,951,744,941,12,0,0,951,0,0,,0,,394,2088,1257,0,0,0,1,0,427,0
79,Maisie Symonds,FW,Brighton,18,2003,4.1,221,3,22,99,101,13,221,8,4,50,4,50,97,446,154,3,5,0,12,18,150,26
80,Katie Startup,GK,Brighton,22,1999,2,84,74,84,0,0,0,84,0,0,,0,,39,208,132,0,0,0,0,0,28,0
81,Emily Simpkins,MF,Brighton,31,1990,5.4,239,13,68,141,33,3,239,5,2,40,3,60,85,482,194,3,4,0,3,5,153,7
82,Katie Robinson,"FW,MF",Brighton,18,2002,1.4,56,0,9,26,21,4,56,1,1,100,0,0,22,222,58,4,1,2,4,4,34,13
83,Maya Le Tissier,DF,Brighton,19,2002,22,1351,110,575,571,217,18,1351,11,5,45.5,6,54.5,454,2705,1337,23,22,1,22,10,667,23
84,Emma Kullberg,DF,Brighton,29,1991,10.9,599,56,270,229,108,5,599,8,3,37.5,5,62.5,218,1088,484,11,7,1,18,9,289,16
85,Emma Koivisto,"DF,MF",Brighton,26,1994,21.2,1006,52,342,411,261,38,1006,17,3,17.6,14,82.4,287,1420,545,17,11,6,30,27,463,71
86,Danique Kerkdijk,DF,Brighton,25,1996,15,731,89,434,280,21,1,731,0,0,,0,,300,1585,1054,3,3,0,6,1,397,0
87,Inessa Kaagman,"MF,FW",Brighton,25,1996,16.5,660,8,100,295,268,27,657,6,2,33.3,4,66.7,260,1124,305,8,10,2,29,12,400,62
88,Kayleigh Green,"MF,FW",Brighton,33,1988,10.2,383,16,82,153,156,32,383,8,0,0,8,100,183,1143,446,14,6,3,23,18,263,72
89,Felicity Gibbons,DF,Brighton,27,1994,9.5,590,27,219,254,121,5,590,6,2,33.3,4,66.7,202,1020,411,8,4,0,10,12,292,33
90,Lee Geum-min,"FW,MF",Brighton,27,1994,12.5,458,9,70,212,179,29,458,7,1,14.3,6,85.7,228,1166,436,14,5,5,26,27,353,77
91,Megan Connolly,MF,Brighton,24,1997,16.1,692,26,156,382,161,10,692,4,0,0,4,100,231,866,337,3,5,0,28,12,361,26
92,Danielle Carter,"FW,MF",Brighton,28,1993,16,509,11,60,233,223,45,509,11,3,27.3,8,72.7,268,1627,639,25,12,11,41,43,331,72
93,Danielle Buet,DF,Brighton,32,1988,0.9,35,7,29,7,0,0,35,0,0,,0,,14,16,2,0,0,0,2,1,22,0
94,Ellie Brazil,"FW,MF",Brighton,22,1999,10.9,406,16,88,165,156,28,406,12,5,41.7,7,58.3,173,1064,433,18,5,4,21,12,233,46
95,Libby Bance,MF,Brighton,18,2003,1.2,32,0,11,18,6,0,32,1,1,100,0,0,19,134,61,0,1,0,0,4,22,4
96,Rinsola Babajide,FW,Brighton,23,1998,1,43,2,13,11,19,5,43,2,0,0,2,100,15,82,14,0,0,0,2,2,24,7
97,Drew Spence,MF,Chelsea,28,1992,4.8,311,4,47,180,84,12,311,2,2,100,0,0,137,481,170,1,7,1,6,6,202,11
98,Ji So-yun,MF,Chelsea,30,1991,7.2,535,5,56,294,189,20,535,10,5,50,5,50,301,1452,801,22,18,7,4,10,421,25
99,Guro Reiten,"MF,DF",Chelsea,27,1994,16.6,869,5,90,317,473,87,869,18,7,38.9,11,61.1,443,2302,1215,48,35,14,21,15,563,167
100,Aniek Nouwen,DF,Chelsea,22,1999,10.8,811,67,431,364,19,9,811,0,0,,0,,454,2500,1465,5,2,0,1,0,564,3
101,Zećira Mušović,GK,Chelsea,25,1996,8.8,289,251,286,3,0,0,289,0,0,,0,,165,851,332,0,0,0,0,0,164,0
102,Maren Mjelde,"DF,FW",Chelsea,31,1989,0.6,67,4,34,33,0,0,67,0,0,,0,,45,259,170,1,0,0,0,0,60,0
103,Melanie Leupolz,MF,Chelsea,27,1994,5.7,258,4,31,165,63,13,258,2,1,50,1,50,118,419,201,3,3,0,4,5,169,14
104,Fran Kirby,FW,Chelsea,28,1993,9.5,507,3,43,157,311,75,507,8,6,75,2,25,297,1607,725,20,14,11,19,9,359,102
105,Sam Kerr,FW,Chelsea,27,1993,17.3,695,12,28,199,471,148,695,13,3,23.1,10,76.9,345,1878,890,37,18,18,40,8,541,199
106,Lauren James,"FW,MF",Chelsea,19,2001,1.3,93,0,3,44,49,2,93,5,3,60,2,40,64,312,102,5,5,0,6,6,74,11
107,Sophie Ingle,MF,Chelsea,29,1991,16.1,881,21,136,564,185,22,881,2,2,100,0,0,365,1489,615,6,11,0,9,5,573,25
108,Pernille Harder,"FW,MF",Chelsea,28,1992,13.3,540,5,42,195,307,91,539,23,7,30.4,16,69.6,325,2126,1148,49,27,21,39,19,396,124
109,Jorja Fox,DF,Chelsea,17,2003,0.1,7,0,1,3,3,0,7,1,0,0,1,100,5,8,3,0,0,0,0,0,4,0
110,Jessie Fleming,"FW,MF",Chelsea,23,1998,11.8,549,6,42,247,265,36,549,7,1,14.3,6,85.7,304,1532,517,13,17,3,21,17,384,73
111,Magdalena Eriksson,DF,Chelsea,27,1993,14,1124,50,377,594,160,25,1124,1,0,0,1,100,544,2551,1437,14,12,2,5,4,721,16
112,Bethany England,FW,Chelsea,27,1994,9.7,374,1,17,133,226,71,373,2,0,0,2,100,170,870,275,13,4,7,24,14,280,73
113,Erin Cuthbert,"MF,FW",Chelsea,23,1998,16.8,1049,15,134,491,443,43,1049,16,10,62.5,6,37.5,480,2803,1276,47,40,8,30,15,596,70
114,Niamh Charles,"DF,MF",Chelsea,22,1999,11.5,713,13,149,304,268,33,713,17,10,58.8,7,41.2,331,1723,786,22,12,8,16,8,422,77
115,Jess Carter,DF,Chelsea,23,1997,18.7,1305,90,573,606,136,6,1305,5,3,60,2,40,692,3434,1831,11,11,0,16,13,792,21
116,Millie Bright,DF,Chelsea,27,1993,21.9,1826,150,821,859,159,23,1826,2,2,100,0,0,971,4728,2589,20,15,0,12,4,1198,10
117,Ann-Katrin Berger,GK,Chelsea,30,1990,13.2,503,448,501,2,0,0,503,0,0,,0,,299,1366,708,0,0,0,0,0,258,0
118,Jonna Andersson,"MF,DF",Chelsea,28,1993,11.2,732,19,196,291,250,16,732,8,6,75,2,25,315,1493,626,19,11,4,13,6,413,68
119,Alsu Abdullina,"MF,FW",Chelsea,20,2001,0.5,41,1,10,13,18,2,41,0,0,,0,,24,120,57,1,1,0,4,3,30,8
120,Danielle Turner,DF,Everton,30,1991,19.2,1292,77,534,520,245,13,1292,11,6,54.5,5,45.5,397,2238,1089,26,17,1,15,16,645,48
121,Nicoline Sørensen,"DF,FW",Everton,23,1997,1.1,49,3,9,15,25,1,49,3,1,33.3,2,66.7,25,190,95,4,4,0,2,1,35,5
122,Rikke Sevecke,DF,Everton,25,1996,9.4,745,63,326,333,92,11,745,2,2,100,0,0,241,1099,592,8,6,0,10,6,429,13
123,Poppy Pattinson,DF,Everton,21,2000,8.4,521,17,200,198,129,4,521,9,5,55.6,4,44.4,208,1049,448,10,8,1,23,11,264,27
124,Leonie Maier,"DF,MF",Everton,28,1992,12.1,699,29,239,277,188,8,699,0,0,,0,,244,1197,599,15,9,1,8,2,363,37
125,Simone Magill,"FW,MF",Everton,26,1994,6.1,206,2,20,100,87,19,206,6,4,66.7,2,33.3,109,619,155,6,2,4,29,17,152,34
126,Sandy MacIver,GK,Everton,23,1998,18,750,611,748,3,1,0,750,0,0,,0,,412,2490,1357,0,0,0,0,0,356,0
127,Lucy Graham,MF,Everton,24,1996,10,495,19,125,245,130,15,495,17,3,17.6,14,82.4,257,1278,512,16,13,1,24,16,318,40
128,Gabrielle George,DF,Everton,24,1997,21,1480,234,902,526,61,12,1480,5,2,40,3,60,698,4429,2933,18,15,2,10,7,962,5
129,Valérie Gauvin,FW,Everton,25,1996,4.1,97,0,2,40,56,17,97,2,1,50,1,50,45,182,38,2,3,1,17,5,77,26
130,Aurora Galli,MF,Everton,24,1996,15.9,768,32,259,411,106,4,768,11,6,54.5,5,45.5,338,1821,821,15,9,1,18,11,481,29
131,Megan Finnigan,DF,Everton,23,1998,12.3,675,124,455,198,22,7,675,0,0,,0,,343,1792,941,2,1,0,8,0,438,0
132,Claire Emslie,"FW,MF",Everton,27,1994,11.4,479,7,86,182,220,32,479,19,9,47.4,10,52.6,272,1827,808,33,9,14,32,28,349,91
133,Toni Duggan,FW,Everton,30,1991,17.1,670,4,74,273,328,52,670,17,5,29.4,12,70.6,307,1643,679,17,14,6,46,25,478,101
134,Kenza Dali,"MF,FW",Everton,30,1991,14.1,776,7,102,387,308,17,776,36,14,38.9,22,61.1,418,3251,1429,50,43,6,45,34,561,74
135,Grace Clinton,"MF,FW",Everton,18,2003,2.4,100,1,11,54,36,5,100,3,2,66.7,1,33.3,47,286,117,4,4,0,10,7,61,13
136,Izzy Christiansen,MF,Everton,29,1991,18.9,1089,41,277,587,232,20,1087,5,2,40,3,60,376,1643,595,6,14,2,28,15,680,44
137,Courtney Brosnan,GK,Everton,25,1995,4,176,153,175,1,0,0,176,0,0,,0,,99,483,228,0,0,0,0,0,83,0
138,Nathalie Björn,DF,Everton,24,1997,12.6,885,122,525,312,51,4,885,2,2,100,0,0,442,2068,1244,6,7,0,7,2,539,3
139,Hanna Bennison,"MF,FW",Everton,18,2002,13.6,519,14,117,211,198,23,519,13,7,53.8,6,46.2,278,1313,625,15,16,5,22,22,332,41
140,Anna Anvegard,"FW,MF",Everton,24,1997,10.4,380,6,42,150,191,36,380,10,3,30,7,70,167,815,302,15,12,6,24,14,252,57
141,Samantha Tierney,"MF,DF",Leicester City,22,1998,20.6,746,52,288,381,83,17,746,2,1,50,1,50,217,960,442,7,5,0,16,9,368,23
142,Mackenzie Smith,"MF,FW",Leicester City,,,1.2,27,2,8,13,6,1,27,0,0,,0,,5,26,7,0,0,0,0,1,14,2
143,Jessica Sigsworth,FW,Leicester City,26,1994,12.5,322,10,38,148,140,28,321,13,4,30.8,9,69.2,152,1199,550,24,11,13,28,30,205,60
144,Connie Scofield,FW,Leicester City,22,1999,0.3,8,0,0,8,0,0,8,0,0,,0,,3,22,2,0,0,0,2,0,3,1
145,Monique Robinson,MF,Leicester City,16,2004,0.1,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,2,0
146,Jemma Purfield,"DF,MF",Leicester City,24,1997,18.3,997,63,381,424,201,6,996,10,5,50,5,50,258,1324,690,15,8,2,15,11,356,32
147,Ashleigh Plumptre,DF,Leicester City,23,1998,19.3,914,154,560,315,49,21,914,6,3,50,3,50,330,1728,871,5,5,1,16,4,455,6
148,Molly Pike,MF,Leicester City,20,2001,19.7,548,24,145,306,108,11,548,12,5,41.7,7,58.3,183,864,318,7,2,3,34,15,266,23
149,Lachante Paul,"FW,DF",Leicester City,18,2002,0.7,29,0,2,15,12,3,29,2,0,0,2,100,15,70,31,2,1,1,2,3,19,7
150,Shannon O’Brien,"MF,FW",Leicester City,19,2001,19.1,500,18,92,262,155,26,500,19,7,36.8,12,63.2,233,1575,491,23,17,7,37,44,307,40
151,Esther Morgan,MF,Leicester City,18,2002,0.3,16,0,4,9,4,1,16,3,2,66.7,1,33.3,8,119,32,2,1,1,1,0,8,3
152,Abbie McManus,"DF,MF",Leicester City,28,1993,17.3,836,158,509,299,35,12,836,7,5,71.4,2,28.6,288,1305,661,5,1,0,5,1,412,4
153,Kirstie Levell,GK,Leicester City,24,1997,7,309,254,303,6,0,0,309,1,1,100,0,0,113,731,386,0,0,0,0,1,99,0
154,Demi Lambourne,GK,Leicester City,25,1996,14,561,493,557,4,0,0,561,0,0,,0,,208,1305,652,0,0,0,4,0,169,0
155,Sophie Howard,DF,Leicester City,27,1993,18.5,850,135,456,295,103,16,850,7,4,57.1,3,42.9,241,1209,630,9,6,4,8,5,345,24
156,Sophie Harris,GK,Leicester City,26,1994,1,33,31,33,0,0,0,33,0,0,,0,,15,112,88,0,0,0,0,0,8,0
157,Freya Gregory,"MF,FW",Leicester City,18,2003,9.4,213,4,36,88,95,11,213,10,4,40,6,60,115,1062,461,21,10,6,15,18,137,43
158,Abbi Grant,FW,Leicester City,25,1995,0.5,15,0,0,7,8,2,15,0,0,,0,,10,25,16,0,0,0,1,1,12,3
159,Esmee de Graaf,"DF,MF",Leicester City,23,1997,17.9,841,52,318,359,167,10,841,13,5,38.5,8,61.5,256,1426,504,14,4,3,23,13,334,55
160,Missy Goodwin,"MF,FW",Leicester City,18,2003,3.8,98,7,35,49,16,4,98,3,0,0,3,100,46,258,74,3,2,1,7,5,57,9
161,Natasha Flint,"FW,MF",Leicester City,24,1996,13.9,465,12,59,257,155,28,465,13,6,46.2,7,53.8,228,1297,378,16,6,11,54,25,262,40
162,Charlotte Devlin,"MF,FW",Leicester City,23,1998,1.9,99,0,15,50,37,5,99,15,5,33.3,10,66.7,55,427,115,6,5,5,9,8,65,5
163,Hannah Cain,"MF,DF",Leicester City,22,1999,3.1,137,5,41,51,47,1,137,3,1,33.3,2,66.7,36,172,84,2,2,0,5,1,68,7
164,Georgia Brougham,DF,Leicester City,25,1996,8.1,265,41,149,98,19,1,265,5,2,40,3,60,83,340,144,1,2,1,2,8,110,2
165,CJ Bott,DF,Leicester City,26,1995,0.6,22,2,12,9,2,0,22,0,0,,0,,10,67,32,0,0,0,0,2,8,1
166,Elysia Boddy,MF,Leicester City,17,2004,0.2,9,0,2,6,1,0,9,0,0,,0,,3,5,5,0,0,0,1,0,5,2
167,Sophie Barker,"MF,DF",Leicester City,30,1990,7.8,266,10,84,143,40,2,266,1,1,100,0,0,77,231,65,1,1,0,5,5,166,8
168,Ava Baker,"FW,MF",Leicester City,15,2006,0.3,16,0,4,6,6,3,16,1,0,0,1,100,7,123,65,3,2,2,1,4,8,3
169,Paige Bailey-Gayle,"FW,DF",Leicester City,19,2001,4,124,7,36,48,44,4,124,6,4,66.7,2,33.3,48,335,195,7,6,2,12,7,58,10
170,Ellen White,FW,Manchester City,32,1989,13.6,411,3,22,178,217,74,411,5,2,40,3,60,197,825,217,4,9,2,26,13,288,71
171,Caroline Weir,MF,Manchester City,26,1995,16.2,892,4,62,408,437,66,892,16,9,56.3,6,37.5,492,2501,1041,36,33,5,34,31,676,109
172,Keira Walsh,MF,Manchester City,24,1997,16.7,1096,20,174,749,182,1,1096,8,3,37.5,5,62.5,618,2402,1028,8,14,0,13,12,864,38
173,Demi Stokes,DF,Manchester City,29,1991,17.1,1163,31,267,612,298,6,1163,14,9,64.3,5,35.7,538,3336,1882,45,28,2,17,17,674,56
174,Georgia Stanway,"MF,DF",Manchester City,22,1999,18.5,1289,19,169,687,445,60,1289,25,14,56,11,44,635,3580,1852,52,33,12,24,22,896,95
175,Khadija Shaw,FW,Manchester City,24,1997,8.8,287,8,14,101,173,69,287,9,2,22.2,7,77.8,167,820,338,18,4,16,26,14,219,63
176,Jill Scott,DF,Manchester City,34,1987,5.5,407,41,207,180,21,7,407,1,1,100,0,0,175,1164,815,6,1,1,2,1,299,7
177,Ellie Roebuck,GK,Manchester City,21,1999,10,390,243,389,1,0,0,390,0,0,,0,,263,1279,823,0,1,1,0,0,267,0
178,Hayley Raso,FW,Manchester City,26,1994,7.1,253,1,19,61,176,60,253,14,8,57.1,6,42.9,173,1192,616,25,8,19,22,19,192,90
179,Jessica Park,FW,Manchester City,19,2001,7.8,265,2,15,73,182,37,265,18,9,50,9,50,177,1238,634,28,17,7,12,20,212,70
180,Esme Morgan,DF,Manchester City,20,2000,1.2,81,8,24,41,17,0,81,0,0,,0,,26,122,59,0,4,0,0,0,42,4
