Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,803,544,784,18,1,0,803,0,0,,0,,369,1534,770,0,0,0,0,1,514,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,1199,109,562,601,42,15,1199,6,6,100,0,0,599,3426,1920,8,9,0,1,2,942,6
3,Leah Williamson,DF,Arsenal,24,1997,16.1,1297,104,529,703,74,13,1297,5,5,100,0,0,695,4577,3057,24,19,0,1,9,1011,6
4,Lydia Williams,GK,Arsenal,33,1988,2,88,36,84,4,0,0,88,0,0,,0,,63,225,117,0,0,0,0,0,69,0
5,Laura Wienroither,DF,Arsenal,22,1999,4,243,2,39,103,102,9,243,4,1,25,3,75,90,489,244,10,7,2,2,6,130,34
6,Lia Wälti,MF,Arsenal,28,1993,17.6,1182,22,213,774,203,11,1182,15,7,46.7,8,53.3,579,3037,1258,14,10,0,11,13,819,24
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,38,2,24,13,1,1,38,0,0,,0,,23,79,47,1,0,0,0,0,34,0
8,Rafaelle,DF,Arsenal,30,1991,4.4,367,24,197,161,11,5,367,1,1,100,0,0,221,1100,688,2,0,0,3,1,273,3
9,Anna Patten,DF,Arsenal,22,1999,1.4,99,2,26,36,38,6,99,3,1,33.3,2,66.7,51,242,116,1,3,0,1,0,60,6
10,Nikita Parris,FW,Arsenal,27,1994,6.8,223,1,25,52,148,42,222,7,2,28.6,5,71.4,123,821,421,19,7,13,13,10,159,64
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,409,1,41,199,172,23,409,2,1,50,0,0,206,894,329,8,5,3,9,9,329,45
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,837,17,69,277,502,164,837,28,13,46.4,15,53.6,448,2920,1317,66,25,50,35,37,613,156
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,1021,11,62,256,715,127,1021,32,21,65.6,11,34.4,499,2945,1411,51,32,33,35,35,718,248
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,997,14,239,371,402,44,996,12,8,66.7,4,33.3,438,2236,1109,26,23,7,18,19,645,116
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,1109,20,259,517,340,16,1109,5,3,60,2,40,420,1794,914,19,15,3,9,21,640,102
16,Frida Maanum,"MF,DF",Arsenal,22,1999,10.9,563,14,105,302,160,16,563,6,4,66.7,2,33.3,251,1206,515,9,7,2,16,18,395,40
17,Kim Little,MF,Arsenal,31,1990,19.8,1091,23,162,565,383,53,1090,14,8,57.1,6,42.9,521,3022,1334,38,34,10,21,36,769,84
18,Mana Iwabuchi,"MF,FW",Arsenal,28,1993,5.5,293,1,27,137,132,20,293,7,5,71.4,2,28.6,146,856,317,7,9,5,13,16,228,34
19,Halle Houssein,DF,Arsenal,16,2004,0.1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
20,Alex Hennessy,"FW,DF",Arsenal,16,2004,0.1,4,0,2,1,1,0,4,0,0,,0,,1,4,3,0,1,0,0,0,1,0
21,Tobin Heath,"FW,MF",Arsenal,33,1988,3.3,183,5,25,67,94,14,183,1,0,0,1,100,80,422,167,7,2,5,6,8,115,29
22,Teyah Goldie,DF,Arsenal,17,2004,0.1,8,2,6,2,0,0,8,0,0,,0,,4,5,1,0,0,0,0,0,7,0
23,Caitlin Foord,"FW,MF",Arsenal,26,1994,8.8,361,2,12,103,249,61,361,11,5,45.5,6,54.5,210,1256,601,25,9,15,19,17,292,122
24,Steph Catley,DF,Arsenal,27,1994,14.3,1051,20,241,411,402,24,1051,1,1,100,0,0,439,2448,1217,28,27,2,10,21,650,96
25,Simone Boye Sørensen,DF,Arsenal,29,1992,1.8,158,5,63,93,4,1,158,0,0,,0,,112,717,424,3,0,0,0,0,132,0
