Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,769,642,127,19,0,2,0,0,0,0,0,0,680,0,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,1139,1110,23,18,0,22,4,4,0,0,0,0,1010,6,4
3,Leah Williamson,DF,Arsenal,24,1997,16.1,1217,1182,30,23,0,41,7,7,0,0,0,0,1010,5,8
4,Lydia Williams,GK,Arsenal,33,1988,2,88,83,5,0,0,0,0,0,0,0,0,0,84,0,0
5,Laura Wienroither,DF,Arsenal,22,1999,4,216,159,57,7,0,1,7,50,0,0,0,0,171,0,5
6,Lia Wälti,MF,Arsenal,28,1993,17.6,1055,1027,23,16,0,3,8,6,1,0,0,1,884,5,23
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,35,35,0,0,0,1,0,0,0,0,0,0,33,0,0
8,Rafaelle,DF,Arsenal,30,1991,4.4,329,318,10,8,0,3,0,2,0,0,0,0,277,1,2
9,Anna Patten,DF,Arsenal,22,1999,1.4,90,75,15,0,0,0,0,15,0,0,0,0,69,0,3
10,Nikita Parris,FW,Arsenal,27,1994,6.8,161,155,5,0,0,0,10,4,1,1,0,0,103,1,11
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,361,351,6,4,0,2,7,2,0,0,0,0,299,4,6
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,595,562,28,4,1,9,9,2,1,0,0,0,425,5,30
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,825,733,90,18,1,8,93,5,67,32,3,11,575,2,39
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,870,699,168,20,0,8,73,117,31,16,4,7,639,3,11
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,1023,770,251,18,0,5,30,230,3,2,0,0,836,2,23
16,Frida Maanum,"MF,DF",Arsenal,22,1999,10.9,467,452,12,6,0,2,9,4,2,1,0,1,367,3,8
17,Kim Little,MF,Arsenal,31,1990,19.8,959,946,10,6,0,9,23,2,2,1,1,0,816,3,29
18,Mana Iwabuchi,"MF,FW",Arsenal,28,1993,5.5,244,236,7,2,0,2,4,4,1,0,0,0,195,1,5
19,Halle Houssein,DF,Arsenal,16,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Alex Hennessy,"FW,DF",Arsenal,16,2004,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Tobin Heath,"FW,MF",Arsenal,33,1988,3.3,146,123,23,7,0,0,15,6,10,5,0,0,99,0,6
22,Teyah Goldie,DF,Arsenal,17,2004,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
23,Caitlin Foord,"FW,MF",Arsenal,26,1994,8.8,276,263,9,0,0,0,16,4,0,0,0,0,200,4,15
24,Steph Catley,DF,Arsenal,27,1994,14.3,978,750,220,22,0,5,80,156,42,26,6,4,766,8,25
25,Simone Boye Sørensen,DF,Arsenal,29,1992,1.8,150,145,3,2,0,0,0,1,0,0,0,0,129,2,2
26,Stina Blackstenius,FW,Arsenal,25,1996,7,136,129,7,0,1,3,5,1,0,0,0,0,100,0,6
27,Jennifer Beattie,"DF,MF",Arsenal,30,1991,6.5,411,401,10,7,0,3,2,0,2,2,0,0,344,0,3
28,Jill Scott,MF,Aston Villa,34,1987,5.7,268,265,2,1,0,1,4,1,0,0,0,0,183,1,8
29,Meaghan Sargeant,DF,Aston Villa,27,1994,9.1,282,254,27,16,0,5,1,11,0,0,0,0,179,1,2
30,Sian Rogers,GK,Aston Villa,23,1998,2.3,93,59,34,10,0,0,0,0,0,0,0,0,48,0,0
31,Ramona Petzelberger,"FW,MF",Aston Villa,28,1992,18.4,531,503,25,3,0,3,21,5,9,4,0,1,398,3,21
32,Anna Patten,DF,Aston Villa,22,1999,7,292,270,22,10,0,2,0,1,0,0,0,0,219,0,4
33,Mayumi Pacheco,DF,Aston Villa,22,1998,22,1216,837,375,62,1,3,103,259,54,44,5,3,797,4,49
34,Elisha N'Dow,DF,Aston Villa,24,1996,5.5,98,96,2,2,0,0,1,0,0,0,0,0,55,0,9
35,Olivia McLoughlin,"MF,DF",Aston Villa,16,2004,5,116,105,11,0,0,0,1,11,0,0,0,0,80,0,5
36,Sarah Mayling,DF,Aston Villa,24,1997,20.8,1268,837,420,43,1,6,91,346,31,21,2,3,806,11,42
37,Ruesha Littlejohn,MF,Aston Villa,31,1990,11.1,382,378,3,3,0,7,1,0,0,0,0,0,306,1,6
38,Alisha Lehmann,FW,Aston Villa,22,1999,18.9,411,389,19,2,0,0,51,8,4,2,2,0,241,3,35
