Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,0,0,0,0,1,0,0,0,0,0,0,0,34,1,1,50
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,1,0,0,6,4,0,4,17,6,0,1,0,88,12,5,70.6
3,Leah Williamson,DF,Arsenal,24,1997,16.1,1,0,0,4,2,0,7,23,7,0,0,0,97,10,5,66.7
4,Lydia Williams,GK,Arsenal,33,1988,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
5,Laura Wienroither,DF,Arsenal,22,1999,4,1,0,0,5,1,0,7,4,7,0,0,0,15,2,2,50
6,Lia Wälti,MF,Arsenal,28,1993,17.6,2,0,0,13,25,0,8,15,30,0,0,0,122,6,6,50
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
8,Rafaelle,DF,Arsenal,30,1991,4.4,0,0,0,3,1,0,0,13,4,0,0,0,29,7,2,77.8
9,Anna Patten,DF,Arsenal,22,1999,1.4,0,0,0,1,1,0,0,1,1,0,0,0,5,2,1,66.7
10,Nikita Parris,FW,Arsenal,27,1994,6.8,2,0,0,7,15,8,10,4,5,1,0,0,21,4,3,57.1
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,1,0,0,6,2,2,7,1,8,0,0,0,31,0,2,0
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,3,0,0,19,16,1,9,5,18,0,0,0,79,12,14,46.2
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,1,0,0,14,40,22,93,9,34,0,0,0,68,4,12,25
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,9,1,1,19,24,4,73,14,23,1,0,0,67,4,5,44.4
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,3,0,0,17,8,0,30,20,14,0,0,0,58,8,9,47.1
