Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,7,0.35,5,2,0,0,0,0,2,0.1,1,1,0,0,0,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,24,1.79,20,1,0,3,0,0,5,0.37,4,1,0,0,0,0
3,Leah Williamson,DF,Arsenal,24,1997,16.1,39,2.42,37,1,0,1,0,0,6,0.37,6,0,0,0,0,0
4,Lydia Williams,GK,Arsenal,33,1988,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Laura Wienroither,DF,Arsenal,22,1999,4,8,1.98,7,0,0,1,0,0,1,0.25,0,0,0,1,0,0
6,Lia Wälti,MF,Arsenal,28,1993,17.6,33,1.87,30,0,0,2,0,1,6,0.34,6,0,0,0,0,0
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rafaelle,DF,Arsenal,30,1991,4.4,3,0.68,2,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Anna Patten,DF,Arsenal,22,1999,1.4,1,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Nikita Parris,FW,Arsenal,27,1994,6.8,20,2.96,12,1,0,4,3,0,6,0.89,4,0,0,1,1,0
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,24,3.64,22,1,0,0,0,1,3,0.46,3,0,0,0,0,0
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,88,4.57,59,1,5,15,3,5,15,0.78,11,0,0,4,0,0
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,128,6.69,77,19,14,4,9,5,22,1.15,14,1,4,1,2,0
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,56,3.79,37,10,1,3,3,2,8,0.54,4,3,0,0,1,0
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,30,1.7,28,2,0,0,0,0,3,0.17,3,0,0,0,0,0
16,Frida Maanum,"MF,DF",Arsenal,22,1999,10.9,26,2.38,21,0,0,2,0,3,3,0.27,2,0,0,1,0,0
17,Kim Little,MF,Arsenal,31,1990,19.8,67,3.37,60,1,2,1,3,0,5,0.25,3,0,1,0,1,0
18,Mana Iwabuchi,"MF,FW",Arsenal,28,1993,5.5,13,2.39,12,0,0,0,1,0,2,0.37,2,0,0,0,0,0
19,Halle Houssein,DF,Arsenal,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alex Hennessy,"FW,DF",Arsenal,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Tobin Heath,"FW,MF",Arsenal,33,1988,3.3,10,3.05,8,1,0,1,0,0,4,1.22,4,0,0,0,0,0
22,Teyah Goldie,DF,Arsenal,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Caitlin Foord,"FW,MF",Arsenal,26,1994,8.8,39,4.42,29,0,4,2,4,0,4,0.45,4,0,0,0,0,0
24,Steph Catley,DF,Arsenal,27,1994,14.3,41,2.86,28,10,1,2,0,0,7,0.49,5,2,0,0,0,0
