Rk,Player,Pos,"Squad
▲",Age,Born,90s,Tkl_plyr,TklW_plyr,Def 3rd_plyr,Mid 3rd_plyr,Att 3rd_plyr,Tkl_drb,Att_drb,Tkl%_drb,Lost_drb,Blocks,Sh,Pass,Int,Tkl+Int,Clr,"Err
▼"
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,0,0,0,0,0,0,0,,0,2,0,2,0,0,9,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,8,6,5,3,0,3,6,50,3,4,2,2,17,25,28,0
3,Leah Williamson,DF,Arsenal,24,1997,16.1,11,7,5,6,0,4,5,80,1,10,7,3,23,34,35,0
4,Lydia Williams,GK,Arsenal,33,1988,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Laura Wienroither,DF,Arsenal,22,1999,4,7,7,4,2,1,3,4,75,1,4,1,3,4,11,2,0
6,Lia Wälti,MF,Arsenal,28,1993,17.6,49,30,19,24,6,17,26,65.4,9,19,2,17,15,64,17,0
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
8,Rafaelle,DF,Arsenal,30,1991,4.4,6,4,4,2,0,3,5,60,2,2,2,0,13,19,10,0
9,Anna Patten,DF,Arsenal,22,1999,1.4,1,1,0,1,0,0,0,,0,2,0,2,1,2,2,0
10,Nikita Parris,FW,Arsenal,27,1994,6.8,9,5,7,0,2,4,5,80,1,10,0,10,4,13,1,0
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,9,8,2,6,1,1,1,100,0,6,0,6,1,10,1,0
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,25,18,4,11,10,7,15,46.7,8,23,4,19,5,30,16,0
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,45,34,7,20,18,11,17,64.7,6,35,1,34,9,54,13,0
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,31,23,15,11,5,11,18,61.1,7,20,1,19,14,45,13,0
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,21,14,6,10,5,10,13,76.9,3,14,2,12,20,41,18,0
16,Frida Maanum,"MF,DF",Arsenal,22,1999,10.9,20,15,4,11,5,5,6,83.3,1,8,0,8,17,37,10,0
17,Kim Little,MF,Arsenal,31,1990,19.8,34,25,14,17,3,11,17,64.7,6,12,4,8,27,61,11,0
18,Mana Iwabuchi,"MF,FW",Arsenal,28,1993,5.5,12,4,5,4,3,0,3,0,3,6,1,5,2,14,1,0
19,Halle Houssein,DF,Arsenal,16,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,Alex Hennessy,"FW,DF",Arsenal,16,2004,0.1,1,0,0,1,0,1,1,100,0,0,0,0,1,2,0,0
21,Tobin Heath,"FW,MF",Arsenal,33,1988,3.3,6,4,2,3,1,1,1,100,0,6,1,5,5,11,1,0
22,Teyah Goldie,DF,Arsenal,17,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
23,Caitlin Foord,"FW,MF",Arsenal,26,1994,8.8,10,5,1,5,4,5,7,71.4,2,2,0,2,2,12,1,0
24,Steph Catley,DF,Arsenal,27,1994,14.3,14,9,5,4,5,6,8,75,2,12,5,7,15,29,14,0
25,Simone Boye Sørensen,DF,Arsenal,29,1992,1.8,1,1,1,0,0,0,0,,0,0,0,0,1,2,4,0
26,Stina Blackstenius,FW,Arsenal,25,1996,7,4,2,0,2,2,3,3,100,0,3,0,3,0,4,0,0
27,Jennifer Beattie,"DF,MF",Arsenal,30,1991,6.5,7,4,6,0,1,1,4,25,3,9,7,2,7,14,17,0
28,Jill Scott,MF,Aston Villa,34,1987,5.7,14,11,4,9,1,2,7,28.6,5,16,5,11,12,26,5,0
29,Meaghan Sargeant,DF,Aston Villa,27,1994,9.1,11,10,8,3,0,1,1,100,0,9,5,4,9,20,24,1
30,Sian Rogers,GK,Aston Villa,23,1998,2.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
31,Ramona Petzelberger,"FW,MF",Aston Villa,28,1992,18.4,21,15,13,6,2,6,10,60,4,26,3,23,18,39,9,0
32,Anna Patten,DF,Aston Villa,22,1999,7,8,7,4,4,0,2,2,100,0,4,0,4,14,22,21,0
33,Mayumi Pacheco,DF,Aston Villa,22,1998,22,55,41,34,13,8,21,32,65.6,11,39,7,32,39,94,21,0
34,Elisha N'Dow,DF,Aston Villa,24,1996,5.5,9,4,7,2,0,2,3,66.7,1,15,6,9,11,20,18,0
35,Olivia McLoughlin,"MF,DF",Aston Villa,16,2004,5,7,5,6,1,0,2,12,16.7,10,7,3,4,7,14,4,0
36,Sarah Mayling,DF,Aston Villa,24,1997,20.8,39,27,17,14,8,15,27,55.6,12,44,9,35,43,82,39,0
37,Ruesha Littlejohn,MF,Aston Villa,31,1990,11.1,26,20,10,14,2,3,8,37.5,5,18,3,15,13,39,5,0
38,Alisha Lehmann,FW,Aston Villa,22,1999,18.9,17,10,8,8,1,7,13,53.8,6,22,1,21,15,32,5,0
39,Jodie Hutton,"FW,MF",Aston Villa,20,2001,1.1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
40,Shania Hayles,FW,Aston Villa,21,1999,4.7,4,2,2,1,1,0,2,0,2,8,0,8,2,6,2,0
41,Hannah Hampton,GK,Aston Villa,20,2000,19.7,1,0,1,0,0,1,1,100,0,2,0,2,0,1,11,2
42,Natalie Haigh,MF,Aston Villa,21,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
43,Freya Gregory,FW,Aston Villa,18,2003,1.2,2,1,2,0,0,2,3,66.7,1,2,0,2,1,3,0,0
44,Emily Gielnik,FW,Aston Villa,29,1992,12,9,6,2,4,3,3,3,100,0,5,0,5,2,11,1,0
45,Marisa Ewers,MF,Aston Villa,32,1989,2.4,6,5,3,2,1,2,3,66.7,1,2,1,1,4,10,1,0
46,Gemma Davison,"FW,MF",Aston Villa,34,1987,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
47,Rachel Corsie,"DF,MF",Aston Villa,31,1989,5.3,5,5,4,1,0,0,1,0,1,8,4,4,3,8,17,0
48,Chantelle Boye-Hlorkah,"FW,MF",Aston Villa,25,1995,11.1,15,11,3,7,5,2,9,22.2,7,13,0,13,5,20,8,0
49,Laura Blindkilde,MF,Aston Villa,17,2003,7.4,14,9,6,5,3,3,6,50,3,7,0,7,5,19,1,0
50,Anita Asante,DF,Aston Villa,36,1985,21,29,22,21,8,0,12,14,85.7,2,23,13,10,19,48,48,0
51,Chloe Arthur,"MF,FW",Aston Villa,26,1995,10.8,22,14,12,9,1,3,6,50,3,12,4,8,12,34,11,0
52,Remi Allen,MF,Aston Villa,30,1990,18.8,40,26,12,24,4,7,14,50,7,21,2,19,22,62,19,0
53,Louanne Worsley,"FW,MF",Birmingham City,,,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
54,Lucy Whipp,"MF,FW",Birmingham City,25,1995,5.9,9,6,7,2,0,3,4,75,1,7,2,5,7,16,5,0
55,Emily Whelan,"FW,MF",Birmingham City,18,2002,5.5,11,8,7,2,2,1,6,16.7,5,13,2,11,7,18,3,0
56,Arabella Suttie,DF,Birmingham City,,,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
57,Libby Smith,"FW,DF",Birmingham City,19,2001,13.7,14,12,2,8,4,3,6,50,3,13,0,13,5,19,2,0
58,Harriet Scott,DF,Birmingham City,28,1993,19.1,36,27,26,9,1,13,24,54.2,11,34,18,16,52,88,51,0
59,Veatriki Sarri,"MF,FW",Birmingham City,23,1998,18.3,36,24,13,17,6,10,26,38.5,16,30,3,27,26,62,15,0
60,Cecilie Sandvej,DF,Birmingham City,31,1990,4.7,8,7,5,3,0,1,2,50,1,2,1,1,7,15,20,0
61,Eleanor Ryan-Doyle,FW,Birmingham City,23,1998,3.7,4,3,1,2,1,2,4,50,2,2,0,2,3,7,3,0
62,Lisa Robertson,"MF,DF",Birmingham City,29,1992,13.1,36,25,22,12,2,10,24,41.7,14,17,3,14,10,46,17,0
63,Emily Ramsey,GK,Birmingham City,20,2000,14.3,1,1,1,0,0,1,1,100,0,0,0,0,0,1,3,1
64,Lucy Quinn,"FW,MF",Birmingham City,27,1993,18.5,23,16,6,13,4,3,11,27.3,8,20,1,19,15,38,6,1
65,Louise Quinn,DF,Birmingham City,31,1990,22,23,14,18,5,0,7,11,63.6,4,30,17,13,35,58,122,0
66,Jade Pennock,"FW,MF",Birmingham City,28,1993,15.7,25,19,9,13,3,6,14,42.9,8,26,1,25,16,41,14,0
67,Christie Murray,MF,Birmingham City,31,1990,16.9,41,24,18,19,4,18,25,72,7,17,3,14,29,70,8,0
68,Gemma Lawley,DF,Birmingham City,20,2001,18,20,11,19,1,0,10,14,71.4,4,28,18,10,22,42,63,0
69,Lucy Jones,GK,Birmingham City,,,0.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
70,Marie Hourihan,GK,Birmingham City,34,1987,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
71,Rebecca Holloway,"DF,MF",Birmingham City,25,1995,16.3,27,21,19,5,3,8,15,53.3,7,21,3,18,34,61,40,0
72,Jamie Finn,"DF,MF",Birmingham City,23,1998,18.3,31,22,15,13,3,14,32,43.8,18,16,4,12,28,59,19,0
73,Sarah Ewens,"FW,MF",Birmingham City,29,1992,4.2,2,2,0,1,1,0,2,0,2,2,0,2,5,7,0,0
74,Abbie Cowie,DF,Birmingham City,,,5,8,6,5,3,0,4,8,50,4,4,2,2,8,16,12,0
75,Julia Zigiotti Olme,"MF,FW",Brighton,23,1997,6.3,11,6,4,5,2,0,1,0,1,6,2,4,6,17,6,0
76,Victoria Williams,DF,Brighton,31,1990,20,31,23,23,7,1,11,17,64.7,6,35,22,13,26,57,78,0
77,Aileen Whelan,"MF,FW",Brighton,29,1991,18.9,31,22,13,16,2,6,17,35.3,11,17,4,13,27,58,19,0
78,Megan Walsh,GK,Brighton,26,1994,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0
79,Maisie Symonds,FW,Brighton,18,2003,4.1,8,6,1,2,5,0,2,0,2,7,0,7,3,11,4,0
80,Katie Startup,GK,Brighton,22,1999,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
81,Emily Simpkins,MF,Brighton,31,1990,5.4,8,6,3,3,2,2,2,100,0,6,4,2,5,13,4,0
82,Katie Robinson,"FW,MF",Brighton,18,2002,1.4,0,0,0,0,0,0,1,0,1,2,1,1,1,1,2,0
83,Maya Le Tissier,DF,Brighton,19,2002,22,33,22,16,11,6,5,13,38.5,8,28,11,17,40,73,69,0
84,Emma Kullberg,DF,Brighton,29,1991,10.9,18,11,8,5,5,2,4,50,2,13,4,9,17,35,26,0
85,Emma Koivisto,"DF,MF",Brighton,26,1994,21.2,59,45,19,28,12,10,16,62.5,6,35,5,30,31,90,46,0
86,Danique Kerkdijk,DF,Brighton,25,1996,15,10,6,6,4,0,2,3,66.7,1,15,6,9,17,27,42,0
87,Inessa Kaagman,"MF,FW",Brighton,25,1996,16.5,21,13,8,13,0,6,14,42.9,8,25,2,23,9,30,2,0
88,Kayleigh Green,"MF,FW",Brighton,33,1988,10.2,15,13,7,8,0,2,4,50,2,15,4,11,7,22,7,0
89,Felicity Gibbons,DF,Brighton,27,1994,9.5,9,8,7,1,1,2,7,28.6,5,14,4,10,18,27,22,0
90,Lee Geum-min,"FW,MF",Brighton,27,1994,12.5,13,10,6,4,3,0,3,0,3,11,1,10,8,21,2,0
91,Megan Connolly,MF,Brighton,24,1997,16.1,25,19,7,17,1,5,6,83.3,1,21,6,15,13,38,16,0
92,Danielle Carter,"FW,MF",Brighton,28,1993,16,17,13,5,7,5,3,4,75,1,13,1,12,7,24,8,0
93,Danielle Buet,DF,Brighton,32,1988,0.9,0,0,0,0,0,0,0,,0,3,3,0,0,0,3,1
94,Ellie Brazil,"FW,MF",Brighton,22,1999,10.9,27,18,10,7,10,5,10,50,5,18,3,15,10,37,12,0
95,Libby Bance,MF,Brighton,18,2003,1.2,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,1
96,Rinsola Babajide,FW,Brighton,23,1998,1,1,1,1,0,0,0,0,,0,1,0,1,2,3,2,0
97,Drew Spence,MF,Chelsea,28,1992,4.8,21,14,6,9,6,5,7,71.4,2,8,0,8,4,25,4,0
98,Ji So-yun,MF,Chelsea,30,1991,7.2,9,5,2,5,2,2,3,66.7,1,6,0,6,8,17,3,0
99,Guro Reiten,"MF,DF",Chelsea,27,1994,16.6,26,19,12,8,6,4,7,57.1,3,24,1,23,18,44,6,0
100,Aniek Nouwen,DF,Chelsea,22,1999,10.8,10,9,2,7,1,2,2,100,0,11,7,4,15,25,41,0
101,Zećira Mušović,GK,Chelsea,25,1996,8.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
102,Maren Mjelde,"DF,FW",Chelsea,31,1989,0.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
103,Melanie Leupolz,MF,Chelsea,27,1994,5.7,12,7,1,10,1,1,3,33.3,2,4,0,4,9,21,2,0
104,Fran Kirby,FW,Chelsea,28,1993,9.5,10,6,2,5,3,1,4,25,3,10,0,10,5,15,4,0
