Rk,Player,Pos,"Squad
▲",Age,Born,90s,Tkl_plyr,TklW_plyr,Def 3rd_plyr,Mid 3rd_plyr,Att 3rd_plyr,Tkl_drb,Att_drb,Tkl%_drb,Lost_drb,Blocks,Sh,Pass,Int,Tkl+Int,Clr,"Err
▼"
105,Sam Kerr,FW,Chelsea,27,1993,17.3,10,8,1,3,6,0,4,0,4,21,3,18,5,15,7,0
106,Lauren James,"FW,MF",Chelsea,19,2001,1.3,7,6,0,4,3,2,3,66.7,1,3,0,3,2,9,0,0
107,Sophie Ingle,MF,Chelsea,29,1991,16.1,20,16,6,12,2,3,7,42.9,4,10,1,9,22,42,10,0
108,Pernille Harder,"FW,MF",Chelsea,28,1992,13.3,25,16,8,11,6,2,5,40,3,14,1,13,9,34,6,0
109,Jorja Fox,DF,Chelsea,17,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
110,Jessie Fleming,"FW,MF",Chelsea,23,1998,11.8,18,11,3,8,7,2,4,50,2,18,1,17,6,24,7,0
111,Magdalena Eriksson,DF,Chelsea,27,1993,14,18,11,7,9,2,5,7,71.4,2,10,2,8,13,31,32,0
112,Bethany England,FW,Chelsea,27,1994,9.7,11,9,2,5,4,4,4,100,0,8,0,8,3,14,1,0
113,Erin Cuthbert,"MF,FW",Chelsea,23,1998,16.8,46,29,10,23,13,7,19,36.8,12,31,4,27,28,74,10,0
114,Niamh Charles,"DF,MF",Chelsea,22,1999,11.5,36,25,16,11,9,7,14,50,7,21,0,21,14,50,11,0
115,Jess Carter,DF,Chelsea,23,1997,18.7,36,20,19,13,4,9,10,90,1,23,8,15,34,70,48,0
116,Millie Bright,DF,Chelsea,27,1993,21.9,22,18,11,9,2,5,5,100,0,14,9,5,33,55,69,0
117,Ann-Katrin Berger,GK,Chelsea,30,1990,13.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0
118,Jonna Andersson,"MF,DF",Chelsea,28,1993,11.2,12,8,4,6,2,2,3,66.7,1,12,0,12,5,17,24,0
119,Alsu Abdullina,"MF,FW",Chelsea,20,2001,0.5,1,1,0,1,0,0,0,,0,1,0,1,2,3,1,0
120,Danielle Turner,DF,Everton,30,1991,19.2,37,28,25,9,3,12,24,50,12,32,8,24,35,72,68,0
121,Nicoline Sørensen,"DF,FW",Everton,23,1997,1.1,1,1,1,0,0,0,0,,0,1,0,1,2,3,1,0
122,Rikke Sevecke,DF,Everton,25,1996,9.4,18,14,11,6,1,4,6,66.7,2,11,3,8,18,36,30,0
123,Poppy Pattinson,DF,Everton,21,2000,8.4,19,13,8,6,5,4,15,26.7,11,14,2,12,6,25,19,0
124,Leonie Maier,"DF,MF",Everton,28,1992,12.1,29,20,15,10,4,8,10,80,2,12,2,10,25,54,13,0
125,Simone Magill,"FW,MF",Everton,26,1994,6.1,9,5,2,3,4,1,4,25,3,5,0,5,4,13,0,0
126,Sandy MacIver,GK,Everton,23,1998,18,2,1,2,0,0,0,0,,0,0,0,0,0,2,6,0
127,Lucy Graham,MF,Everton,24,1996,10,16,13,6,8,2,4,11,36.4,7,10,1,9,9,25,12,0
128,Gabrielle George,DF,Everton,24,1997,21,20,14,10,10,0,1,4,25,3,35,18,17,40,60,96,0
129,Valérie Gauvin,FW,Everton,25,1996,4.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
130,Aurora Galli,MF,Everton,24,1996,15.9,26,18,12,11,3,8,13,61.5,5,30,5,25,27,53,20,1
131,Megan Finnigan,DF,Everton,23,1998,12.3,8,2,5,3,0,3,8,37.5,5,13,8,5,15,23,44,1
132,Claire Emslie,"FW,MF",Everton,27,1994,11.4,14,7,6,5,3,3,3,100,0,11,1,10,10,24,8,0
133,Toni Duggan,FW,Everton,30,1991,17.1,19,15,5,6,8,3,11,27.3,8,15,0,15,8,27,5,0
134,Kenza Dali,"MF,FW",Everton,30,1991,14.1,14,10,7,5,2,3,7,42.9,4,8,0,8,11,25,4,0
135,Grace Clinton,"MF,FW",Everton,18,2003,2.4,5,5,1,2,2,0,1,0,1,3,0,3,3,8,1,0
136,Izzy Christiansen,MF,Everton,29,1991,18.9,38,27,16,17,5,11,18,61.1,7,29,7,22,20,58,30,0
137,Courtney Brosnan,GK,Everton,25,1995,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
138,Nathalie Björn,DF,Everton,24,1997,12.6,24,14,21,3,0,8,17,47.1,9,12,7,5,14,38,39,0
139,Hanna Bennison,"MF,FW",Everton,18,2002,13.6,9,7,1,4,4,4,5,80,1,13,2,11,14,23,10,0
140,Anna Anvegard,"FW,MF",Everton,24,1997,10.4,22,12,4,9,9,4,6,66.7,2,19,0,19,3,25,4,0
141,Samantha Tierney,"MF,DF",Leicester City,22,1998,20.6,41,29,15,24,2,9,21,42.9,12,24,6,18,30,71,23,0
142,Mackenzie Smith,"MF,FW",Leicester City,,,1.2,3,3,2,1,0,2,2,100,0,1,0,1,0,3,2,0
143,Jessica Sigsworth,FW,Leicester City,26,1994,12.5,20,15,6,10,4,2,3,66.7,1,20,1,19,5,25,11,0
144,Connie Scofield,FW,Leicester City,22,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
145,Monique Robinson,MF,Leicester City,16,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
146,Jemma Purfield,"DF,MF",Leicester City,24,1997,18.3,40,29,28,12,0,20,25,80,5,23,2,21,43,83,50,0
147,Ashleigh Plumptre,DF,Leicester City,23,1998,19.3,33,20,22,10,1,10,15,66.7,5,39,23,16,32,65,70,0
148,Molly Pike,MF,Leicester City,20,2001,19.7,26,15,6,15,5,3,9,33.3,6,17,7,10,21,47,21,0
149,Lachante Paul,"FW,DF",Leicester City,18,2002,0.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
150,Shannon O’Brien,"MF,FW",Leicester City,19,2001,19.1,39,29,23,12,4,9,17,52.9,8,24,4,20,16,55,9,0
151,Esther Morgan,MF,Leicester City,18,2002,0.3,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0
152,Abbie McManus,"DF,MF",Leicester City,28,1993,17.3,12,7,8,4,0,2,3,66.7,1,28,17,11,33,45,70,1
153,Kirstie Levell,GK,Leicester City,24,1997,7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,7,0
154,Demi Lambourne,GK,Leicester City,25,1996,14,3,2,3,0,0,2,4,50,2,1,0,1,0,3,12,0
155,Sophie Howard,DF,Leicester City,27,1993,18.5,27,22,19,6,2,10,14,71.4,4,38,20,18,37,64,68,0
156,Sophie Harris,GK,Leicester City,26,1994,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
157,Freya Gregory,"MF,FW",Leicester City,18,2003,9.4,1,1,0,1,0,0,4,0,4,9,1,8,4,5,4,0
158,Abbi Grant,FW,Leicester City,25,1995,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
159,Esmee de Graaf,"DF,MF",Leicester City,23,1997,17.9,37,21,23,12,2,14,25,56,11,36,4,32,36,73,44,0
160,Missy Goodwin,"MF,FW",Leicester City,18,2003,3.8,6,1,3,3,0,2,3,66.7,1,2,1,1,4,10,3,0
161,Natasha Flint,"FW,MF",Leicester City,24,1996,13.9,20,13,7,10,3,5,10,50,5,24,1,23,12,32,7,0
162,Charlotte Devlin,"MF,FW",Leicester City,23,1998,1.9,5,5,2,3,0,1,1,100,0,3,0,3,0,5,0,0
163,Hannah Cain,"MF,DF",Leicester City,22,1999,3.1,1,1,1,0,0,0,4,0,4,7,1,6,2,3,6,0
164,Georgia Brougham,DF,Leicester City,25,1996,8.1,9,5,2,5,2,6,9,66.7,3,11,3,8,4,13,26,0
165,CJ Bott,DF,Leicester City,26,1995,0.6,0,0,0,0,0,0,1,0,1,2,1,1,0,0,2,0
166,Elysia Boddy,MF,Leicester City,17,2004,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
167,Sophie Barker,"MF,DF",Leicester City,30,1990,7.8,5,5,1,4,0,2,2,100,0,10,2,8,7,12,4,0
168,Ava Baker,"FW,MF",Leicester City,15,2006,0.3,2,2,2,0,0,0,1,0,1,0,0,0,0,2,1,0
169,Paige Bailey-Gayle,"FW,DF",Leicester City,19,2001,4,7,4,4,2,1,3,6,50,3,4,1,3,4,11,5,0
170,Ellen White,FW,Manchester City,32,1989,13.6,6,4,1,3,2,0,1,0,1,11,2,9,2,8,2,0
171,Caroline Weir,MF,Manchester City,26,1995,16.2,17,13,7,7,3,2,4,50,2,14,0,14,6,23,2,0
172,Keira Walsh,MF,Manchester City,24,1997,16.7,21,12,4,14,3,2,5,40,3,14,2,12,12,33,7,0
173,Demi Stokes,DF,Manchester City,29,1991,17.1,39,29,20,15,4,13,18,72.2,5,19,4,15,16,55,24,0
174,Georgia Stanway,"MF,DF",Manchester City,22,1999,18.5,34,28,10,16,8,9,15,60,6,14,1,13,16,50,11,0
175,Khadija Shaw,FW,Manchester City,24,1997,8.8,6,4,0,3,3,0,1,0,1,6,0,6,2,8,5,0
176,Jill Scott,DF,Manchester City,34,1987,5.5,9,8,4,5,0,3,3,100,0,4,2,2,10,19,11,0
177,Ellie Roebuck,GK,Manchester City,21,1999,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
178,Hayley Raso,FW,Manchester City,26,1994,7.1,10,9,4,6,0,1,2,50,1,4,0,4,2,12,1,0
179,Jessica Park,FW,Manchester City,19,2001,7.8,7,7,2,1,4,1,6,16.7,5,18,0,18,1,8,3,0
180,Esme Morgan,DF,Manchester City,20,2000,1.2,5,4,2,2,1,2,3,66.7,1,1,1,0,0,5,4,0
181,Ruby Mace,DF,Manchester City,17,2003,2.9,6,3,5,1,0,2,2,100,0,2,1,1,0,6,6,0
182,Vicky Losada,MF,Manchester City,30,1991,6.6,8,5,1,4,3,0,1,0,1,6,1,5,4,12,2,0
183,Alanna Kennedy,DF,Manchester City,26,1995,12.8,7,5,2,5,0,2,6,33.3,4,5,4,1,19,26,28,1
184,Chloe Kelly,FW,Manchester City,23,1998,3.4,2,2,0,0,2,0,0,,0,0,0,0,1,3,0,0
185,Khiara Keating,GK,Manchester City,17,2004,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
186,Steph Houghton,DF,Manchester City,33,1988,4,4,3,1,3,0,0,0,,0,2,0,2,4,8,20,0
187,Lauren Hemp,FW,Manchester City,20,2000,19.3,24,18,7,5,12,5,11,45.5,6,30,1,29,11,35,5,0
188,Alex Greenwood,DF,Manchester City,27,1993,21.4,29,20,15,13,1,3,3,100,0,24,11,13,38,67,43,1
189,Laura Coombs,"MF,FW",Manchester City,30,1991,7.1,7,4,0,5,2,0,1,0,1,7,0,7,10,17,3,0
190,Lucy Bronze,DF,Manchester City,29,1991,12.8,14,11,7,4,3,1,5,20,4,13,3,10,13,27,13,0
191,Julie Blakstad,"DF,FW",Manchester City,19,2001,3.8,4,3,1,3,0,0,0,,0,2,1,1,4,8,3,0
192,Karima Benameur,GK,Manchester City,32,1989,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
193,Janine Beckie,"FW,DF",Manchester City,26,1994,5.6,12,9,2,9,1,1,2,50,1,7,0,7,10,22,3,0
194,Filippa Angeldahl,MF,Manchester City,24,1997,7.2,9,7,1,3,5,3,6,50,3,6,0,6,5,14,1,1
195,Katie Zelem,MF,Manchester Utd,25,1996,22,38,22,17,18,3,11,23,47.8,12,37,9,28,21,59,33,0
196,Millie Turner,DF,Manchester Utd,25,1996,2.9,0,0,0,0,0,0,0,,0,1,1,0,1,1,7,0
197,Ella Toone,"MF,FW",Manchester Utd,21,1999,21.1,30,17,9,14,7,5,14,35.7,9,27,2,25,15,45,7,0
198,Maria Thorisdottir,DF,Manchester Utd,28,1993,18.2,9,6,8,1,0,2,5,40,3,8,5,3,20,29,65,0
199,Martha Thomas,FW,Manchester Utd,25,1996,10,15,9,3,7,5,3,4,75,1,15,2,13,4,19,5,0
200,Lucy Staniforth,"MF,FW",Manchester Utd,28,1992,6.3,8,5,2,4,2,1,2,50,1,8,1,7,11,19,4,0
201,Kirsty Smith,DF,Manchester Utd,27,1994,2.1,5,4,2,1,2,0,1,0,1,3,0,3,3,8,1,0
202,Alessia Russo,"FW,MF",Manchester Utd,22,1999,17.5,14,10,3,5,6,4,6,66.7,2,28,7,21,6,20,13,0
203,Jade Moore,MF,Manchester Utd,30,1990,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
204,Aoife Mannion,DF,Manchester Utd,25,1995,12,6,3,3,2,1,2,6,33.3,4,5,3,2,10,16,24,0
205,Hayley Ladd,"MF,DF",Manchester Utd,27,1993,12,21,15,5,15,1,4,7,57.1,3,15,3,12,16,37,28,0
206,Carrie Jones,FW,Manchester Utd,17,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
207,Martha Harris,DF,Manchester Utd,26,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
208,Kirsty Hanson,FW,Manchester Utd,23,1998,8.1,22,19,9,9,4,6,13,46.2,7,14,0,14,9,31,6,0
209,Jackie Groenen,MF,Manchester Utd,26,1994,11.8,22,15,11,10,1,3,11,27.3,8,12,1,11,9,31,4,0
210,Leah Galton,FW,Manchester Utd,27,1994,18.9,20,16,4,11,5,2,6,33.3,4,24,2,22,11,31,11,0
211,Ivana Fuso,"FW,MF",Manchester Utd,20,2001,0.9,3,2,2,1,0,1,1,100,0,1,1,0,0,3,0,0
212,Mary Earps,GK,Manchester Utd,28,1993,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
213,Diane Caldwell,DF,Manchester Utd,32,1988,5,3,1,2,1,0,1,1,100,0,2,1,1,11,14,10,0
214,Vilde Bøe Risa,"MF,FW",Manchester Utd,26,1995,7.8,13,12,1,8,4,1,1,100,0,4,1,3,9,22,8,0
215,Signe Bruun,"FW,MF",Manchester Utd,23,1998,2.1,1,1,1,0,0,0,0,,0,4,0,4,1,2,0,0
216,Hannah Blundell,DF,Manchester Utd,27,1994,19.6,37,29,24,10,3,11,17,64.7,6,28,3,25,31,68,38,1
217,Ona Batlle,DF,Manchester Utd,22,1999,20.8,59,39,36,18,5,19,28,67.9,9,40,7,33,48,107,31,0
218,Lily Woodham,"DF,MF",Reading,20,2000,19.5,43,30,30,11,2,17,20,85,3,30,5,25,43,86,56,0
