Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Manuela Zinsberger,GK,Arsenal,25,1995,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2,Lotte Wubben-Moy,DF,Arsenal,22,1999,13.4,2,11,5,45.5,0.82,0.37,0.18,0.4,11.2,0,0,0,1,1,0.09,1,1
3,Leah Williamson,DF,Arsenal,24,1997,16.1,2,13,2,15.4,0.81,0.12,0.15,1,15.2,0,0,0,0.8,0.8,0.06,1.2,1.2
4,Lydia Williams,GK,Arsenal,33,1988,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
5,Laura Wienroither,DF,Arsenal,22,1999,4,0,6,3,50,1.48,0.74,0,0,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
6,Lia Wälti,MF,Arsenal,28,1993,17.6,0,9,0,0,0.51,0,0,,20.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
7,Viktoria Schnaderbeck,"DF,MF",Arsenal,30,1991,0.4,0,1,0,0,2.81,0,0,,10.2,0,0,0,0.3,0.3,0.25,-0.3,-0.3
8,Rafaelle,DF,Arsenal,30,1991,4.4,1,4,1,25,0.9,0.23,0.25,1,11.5,0,0,0,0.3,0.3,0.06,0.7,0.7
9,Anna Patten,DF,Arsenal,22,1999,1.4,0,1,1,100,0.7,0.7,0,0,9.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3
10,Nikita Parris,FW,Arsenal,27,1994,6.8,1,16,4,25,2.36,0.59,0,0,15.7,0,1,1,2.6,1.8,0.11,-1.6,-1.8
11,Jordan Nobbs,"MF,FW",Arsenal,28,1992,6.6,2,18,4,22.2,2.73,0.61,0.11,0.5,20.4,1,0,0,1.4,1.4,0.08,0.6,0.6
12,Vivianne Miedema,"FW,MF",Arsenal,25,1996,19.2,14,106,40,37.7,5.51,2.08,0.13,0.35,15.9,1,0,0,9.8,9.8,0.09,4.2,4.2
13,Beth Mead,"FW,MF",Arsenal,26,1995,19.1,11,60,24,40,3.14,1.25,0.18,0.46,17.4,5,0,0,5.6,5.6,0.09,5.4,5.4
14,Katie McCabe,"DF,FW",Arsenal,25,1995,14.8,5,25,8,32,1.69,0.54,0.16,0.5,22.1,3,1,1,2.7,1.9,0.08,2.3,2.1
15,Noelle Maritz,DF,Arsenal,25,1995,17.6,0,5,0,0,0.28,0,0,,15.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
