Rk,Player,Pos,"Squad
▲",Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Amelia Hazard,"FW,MF",Arsenal,17,2000,0.3,7,11,63.6,96,0,5,5,100,2,4,50,0,1,0,0,0,0,0,0,0,0,0,0
2,Melisa Filis,FW,Arsenal,16,2002,0,1,1,100,10,4,1,1,100,0,0,,0,0,,1,0,0,1,1,0,0,0,0
3,Tabea Kemme,"FW,MF",Arsenal,26,1991,0,2,4,50,32,18,1,2,50,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
4,Ruby Grant,"MF,FW",Arsenal,16,2002,0.1,4,6,66.7,106,35,1,2,50,1,2,50,2,2,100,0,0,0,0,0,1,0,0,2
5,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,1.1,12,21,57.1,190,42,4,7,57.1,7,9,77.8,0,2,0,0,0,0.2,0,0,1,2,0,2
6,Danielle Carter,"FW,MF",Arsenal,25,1993,0.9,28,45,62.2,398,80,19,28,67.9,7,9,77.8,2,4,50,0,0.1,0.1,-0.1,1,2,2,1,5
7,Ava Kuyken,"MF,DF",Arsenal,17,2001,1.2,35,40,87.5,550,136,16,18,88.9,14,16,87.5,3,3,100,0,0,0.1,0,1,1,2,1,4
8,Viktoria Schnaderbeck,"MF,DF",Arsenal,27,1991,1.2,56,60,93.3,1002,284,21,23,91.3,29,31,93.5,5,5,100,0,0,0,0,0,3,0,0,2
9,Jessica Samuelsson,DF,Arsenal,26,1992,2.1,125,147,85,1817,581,79,89,88.8,41,48,85.4,4,5,80,0,0,0.1,0,0,6,2,0,13
10,Janni Arnth,DF,Arsenal,31,1986,2.8,172,205,83.9,3178,1036,54,64,84.4,101,116,87.1,14,19,73.7,0,0,0.1,0,1,6,3,1,16
11,Vivianne Miedema,FW,Arsenal,22,1996,19.8,421,587,71.7,6284,1186,235,291,80.8,137,177,77.4,25,39,64.1,10,6.9,4.6,3.1,40,24,28,4,60
12,Jordan Nobbs,"MF,FW",Arsenal,25,1992,7.8,304,385,79,4562,1366,178,199,89.4,78,99,78.8,29,49,59.2,3,3.4,3,-0.4,20,25,25,3,53
13,Katrine Veje,"DF,FW",Arsenal,27,1991,6.9,357,448,79.7,5914,1648,195,221,88.2,131,165,79.4,27,41,65.9,2,1.5,1.9,0.5,9,18,12,6,31
14,Beth Mead,"FW,MF",Arsenal,23,1995,16.9,419,664,63.1,6946,2300,228,302,75.5,122,176,69.3,52,121,43,12,7.8,6.8,4.2,54,25,38,17,54
15,Daniëlle van de Donk,"MF,FW",Arsenal,26,1991,17.6,632,830,76.1,9832,2886,329,403,81.6,220,276,79.7,54,91,59.3,6,3.1,5.1,2.9,32,70,37,2,124
16,Katie McCabe,"MF,FW",Arsenal,22,1995,17.5,616,788,78.2,9858,2916,325,369,88.1,232,284,81.7,40,86,46.5,8,3.7,2.7,4.3,26,36,20,5,62
17,Kim Little,MF,Arsenal,28,1990,13.6,653,793,82.3,10278,2971,344,376,91.5,237,270,87.8,48,89,53.9,6,2,3.6,4,24,62,31,3,115
18,Sari van Veenendaal,GK,Arsenal,28,1990,7,190,204,93.1,4596,3106,24,24,100,125,126,99.2,41,54,75.9,0,0,0,0,0,0,0,0,0
19,Emma Mitchell,DF,Arsenal,25,1992,9,492,646,76.2,8483,3569,211,248,85.1,241,294,82,35,78,44.9,0,0.6,0.9,-0.6,6,48,8,3,67
20,Lia Wälti,MF,Arsenal,25,1993,11.8,615,753,81.7,12158,4038,232,264,87.9,284,336,84.5,93,129,72.1,1,0.6,0.8,0.4,7,96,6,1,104
21,Lisa Evans,"DF,FW",Arsenal,26,1992,15.7,762,975,78.2,11234,4611,436,508,85.8,268,353,75.9,30,53,56.6,2,1.6,2.8,0.4,17,61,26,10,105
22,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,341,428,79.7,8998,5530,44,44,100,195,202,96.5,102,181,56.4,0,0,0,0,1,6,0,0,0
23,Dominique Janssen,"MF,DF",Arsenal,23,1995,18.6,864,1063,81.3,17057,6277,327,381,85.8,402,467,86.1,118,183,64.5,3,2.1,1.5,0.9,21,107,11,2,138
24,Louise Quinn,DF,Arsenal,28,1990,17.2,1004,1149,87.4,20269,7567,277,311,89.1,614,673,91.2,106,142,74.6,1,0.5,0.2,0.5,2,44,3,0,86
25,Leah Williamson,DF,Arsenal,21,1997,17.8,1101,1345,81.9,23533,9588,295,344,85.8,644,724,89,156,252,61.9,2,1.3,1,0.7,13,129,16,1,147
26,Shania Hayles,"FW,MF",Birmingham City,18,1999,0.3,8,10,80,94,10,6,6,100,1,2,50,0,0,,0,0,0,0,0,0,0,0,0
27,Connie Scofield,MF,Birmingham City,19,1999,3.5,7,11,63.6,81,19,6,7,85.7,1,2,50,0,1,0,1,0,0,1,0,1,1,0,2
28,Claudia Walker,"FW,MF",Birmingham City,22,1996,3.2,62,94,66,777,189,33,39,84.6,18,34,52.9,2,9,22.2,1,0.9,0.5,0.1,6,3,5,2,7
29,Ellen White,FW,Birmingham City,29,1989,7.2,99,137,72.3,1500,309,59,73,80.8,23,40,57.5,11,15,73.3,1,0.2,0.3,0.8,6,9,4,0,13
