Rk,Player,Pos,"Squad
▲",Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
30,Lucy Quinn,"FW,MF",Birmingham City,24,1993,6.5,131,197,66.5,1939,474,70,91,76.9,47,68,69.1,7,13,53.8,2,0.8,0.5,1.2,8,9,5,2,20
31,Marisa Ewers,MF,Birmingham City,29,1989,6.6,218,277,78.7,3353,780,109,128,85.2,84,103,81.6,13,24,54.2,0,0.2,0.4,-0.2,5,16,2,0,15
32,Emma Follis,"FW,MF",Birmingham City,26,1992,15.3,317,419,75.7,4281,1135,196,234,83.8,103,136,75.7,5,16,31.3,2,1.3,2.1,0.7,14,25,10,3,35
33,Charlie Wellings,"FW,MF",Birmingham City,20,1998,17.6,362,493,73.4,5083,1270,219,264,83,112,150,74.7,16,34,47.1,4,4.7,3.1,-0.7,26,24,19,4,42
34,Sarah Mayling,"FW,DF",Birmingham City,21,1997,9.3,338,424,79.7,4943,1950,201,226,88.9,112,137,81.8,14,30,46.7,0,0.3,0.4,-0.3,7,24,5,3,43
35,Chloe Arthur,MF,Birmingham City,23,1995,15.8,517,692,74.7,7935,2577,295,361,81.7,181,225,80.4,25,59,42.4,2,0.9,0.6,1.1,8,44,6,0,60
36,Harriet Scott,DF,Birmingham City,25,1993,11.4,563,709,79.4,8344,2881,325,356,91.3,202,252,80.2,21,60,35,1,0.5,0.7,0.5,5,21,3,2,35
37,Hayley Ladd,MF,Birmingham City,24,1993,18.8,669,817,81.9,11794,3440,296,340,87.1,294,337,87.2,65,109,59.6,1,1.8,1.3,-0.8,23,47,7,0,63
38,Lucy Staniforth,"MF,FW",Birmingham City,25,1992,18,682,973,70.1,10953,3644,385,474,81.2,206,274,75.2,66,165,40,5,3.6,4.2,1.4,46,68,21,2,99
39,Paige Williams,DF,Birmingham City,23,1995,11.5,537,788,68.1,9694,3756,253,293,86.3,214,293,73,66,172,38.4,1,1,1.1,0,11,36,6,3,49
40,Ann-Katrin Berger,GK,Birmingham City,27,1990,8,248,374,66.3,6064,4098,36,38,94.7,152,162,93.8,60,172,34.9,0,0.1,0,-0.1,1,2,0,0,0
41,Hannah Hampton,GK,Birmingham City,17,2000,12,401,527,76.1,9127,5862,102,104,98.1,215,218,98.6,81,200,40.5,0,0,0,0,0,3,0,0,0
42,Kerys Harrop,DF,Birmingham City,27,1990,18.1,1004,1220,82.3,18241,6202,409,448,91.3,499,566,88.2,88,162,54.3,2,1.2,1.4,0.8,7,50,6,1,75
43,Meaghan Sargeant,DF,Birmingham City,24,1994,16.9,885,1098,80.6,16754,6267,315,370,85.1,478,543,88,81,158,51.3,0,0.2,0.3,-0.2,6,47,4,1,60
44,Aoife Mannion,DF,Birmingham City,22,1995,20,1253,1452,86.3,24460,9054,423,458,92.4,701,755,92.8,121,213,56.8,0,0.4,0.4,-0.4,12,63,5,1,85
45,Jenna Legg,"MF,FW",Brighton,21,1997,1.2,17,29,58.6,264,110,8,9,88.9,8,15,53.3,1,4,25,0,0,0,0,0,1,0,0,2
46,Amanda Nildén,"DF,MF",Brighton,19,1998,1.6,26,40,65,328,119,16,21,76.2,6,11,54.5,1,2,50,0,0.2,0.4,-0.2,1,3,0,0,4
47,Eleanor Hack,DF,Brighton,16,2002,1,22,26,84.6,380,168,8,8,100,12,13,92.3,1,4,25,0,0,0,0,0,0,0,0,2
48,Maya Le Tissier,MF,Brighton,16,2002,1.4,26,41,63.4,597,204,9,12,75,12,19,63.2,5,8,62.5,0,0.1,0,-0.1,1,4,0,0,4
49,Emily Simpkins,MF,Brighton,28,1990,2.8,54,82,65.9,751,235,31,38,81.6,19,25,76,1,10,10,0,0,0.1,0,1,5,3,0,10
50,Laura Hartley,GK,Brighton,,,1,30,43,69.8,735,414,3,3,100,19,22,86.4,8,18,44.4,0,0,0,0,0,0,0,0,0
51,Jodie Brett,MF,Brighton,22,1996,6.2,125,192,65.1,1794,486,80,109,73.4,35,52,67.3,6,13,46.2,0,0.1,0.3,-0.1,2,9,1,0,18
52,Iniabasi Umotong,FW,Brighton,24,1994,13.7,177,273,64.8,2596,575,100,135,74.1,59,83,71.1,10,19,52.6,1,1.2,1.3,-0.2,16,14,8,4,18
53,Kate Natkiel,"FW,MF",Brighton,25,1992,8.4,159,219,72.6,2208,599,95,112,84.8,49,67,73.1,7,19,36.8,0,0.2,0.4,-0.2,3,14,4,3,18
54,Bethan Roe,DF,Brighton,18,1999,2,55,91,60.4,1008,704,23,31,74.2,24,37,64.9,7,16,43.8,0,0,0,0,0,9,1,0,11
55,Megan Connolly,MF,Brighton,21,1997,6,99,187,52.9,1638,739,50,66,75.8,27,48,56.3,14,49,28.6,2,1.6,1,0.4,5,11,1,0,13
56,Sophie Perry,"DF,MF",Brighton,31,1986,4.6,83,154,53.9,1394,828,44,56,78.6,30,57,52.6,7,26,26.9,0,0.3,0.4,-0.3,6,1,2,2,3
57,Fern Whelan,"DF,MF",Brighton,29,1988,6.8,104,157,66.2,1873,994,42,59,71.2,55,78,70.5,7,17,41.2,0,0.6,0.4,-0.6,3,7,0,0,14
58,Lucy Gillett,GK,Brighton,,,2,70,98,71.4,1898,1282,4,4,100,41,49,83.7,25,44,56.8,0,0,0,0,0,0,0,0,0
59,Sophie Harris,GK,Brighton,23,1994,3.6,56,108,51.9,1846,1319,2,2,100,25,27,92.6,29,77,37.7,0,0,0,0,0,2,0,0,0
60,Kayleigh Green,"MF,FW",Brighton,30,1988,17.1,335,564,59.4,4930,1331,182,275,66.2,112,165,67.9,21,66,31.8,2,1.8,1.3,0.2,16,25,14,2,45
61,Ellie Brazil,"FW,MF",Brighton,19,1999,15.8,255,418,61,3260,1341,145,204,71.1,73,120,60.8,9,33,27.3,1,1.7,1.3,-0.7,14,17,7,2,30
62,Aileen Whelan,"MF,FW",Brighton,26,1991,19.1,281,484,58.1,4283,1623,160,219,73.1,83,153,54.2,21,59,35.6,2,2.7,1.1,-0.7,17,26,8,2,48
63,Chloe Peplow,MF,Brighton,19,1998,12.2,368,506,72.7,6377,1758,173,206,84,141,169,83.4,44,95,46.3,0,1,1,-1,9,27,1,0,41
64,Laura Rafferty,DF,Brighton,22,1996,13,348,480,72.5,6682,2945,110,130,84.6,194,244,79.5,40,84,47.6,2,0.6,0.7,1.4,5,14,0,0,31
65,Danielle Buet,"MF,DF",Brighton,29,1988,17.3,398,596,66.8,8717,3499,130,172,75.6,177,220,80.5,82,170,48.2,1,1.7,1.2,-0.7,20,46,5,0,54
66,Felicity Gibbons,DF,Brighton,24,1994,15.7,448,769,58.3,7382,4340,236,300,78.7,169,270,62.6,34,157,21.7,1,0.9,0.9,0.1,15,39,8,5,43
67,Kirsty Barton,DF,Brighton,26,1992,15,575,826,69.6,9819,5053,283,334,84.7,242,347,69.7,45,113,39.8,0,0.7,0.9,-0.7,6,27,6,4,47
68,Victoria Williams,DF,Brighton,28,1990,19,534,767,69.6,11807,5805,162,193,83.9,251,320,78.4,110,229,48,1,0.5,0.3,0.5,7,51,5,0,44
69,Marie Hourihan,GK,Brighton,31,1987,13.4,301,464,64.9,8937,6302,15,16,93.8,170,177,96,116,270,43,0,0.1,0.1,-0.1,1,5,1,0,0
70,Poppy Wilson,MF,Bristol City,18,1999,0.1,1,1,100,9,7,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
71,Jessica Wooley,MF,Bristol City,17,2001,0.8,10,22,45.5,109,38,8,10,80,0,5,0,1,5,20,0,0,0,0,1,1,1,1,0
72,Katie Rood,"FW,MF",Bristol City,25,1992,1.2,16,26,61.5,261,67,10,13,76.9,4,9,44.4,2,3,66.7,0,0,0,0,0,4,0,0,2
73,Katie Robinson,FW,Bristol City,15,2002,1.1,16,20,80,210,88,7,9,77.8,8,9,88.9,0,0,,0,0,0.1,0,1,0,1,0,2
74,Ali Johnson,DF,Bristol City,,,1.2,9,30,30,121,111,5,9,55.6,4,13,30.8,0,6,0,0,0,0,0,0,0,0,0,0
75,Heather Payne,"FW,MF",Bristol City,18,2000,2.7,35,64,54.7,493,121,24,32,75,7,15,46.7,2,5,40,0,0.1,0,-0.1,3,0,1,0,4
76,Juliette Kemppi,FW,Bristol City,24,1994,9.7,101,136,74.3,1373,154,63,80,78.8,23,31,74.2,5,7,71.4,0,0.1,0.2,-0.1,3,3,1,1,6
77,Abigail Harrison,"FW,MF",Bristol City,20,1997,7.2,102,195,52.3,1422,328,60,95,63.2,22,48,45.8,9,20,45,0,0.8,0.8,-0.8,9,7,6,3,9
78,Flo Allen,DF,Bristol City,18,1999,1.5,58,88,65.9,883,494,35,43,81.4,20,35,57.1,2,5,40,0,0,0,0,0,4,0,0,7
79,Rosella Ayane,"FW,MF",Bristol City,22,1996,8.8,130,186,69.9,1841,665,77,102,75.5,40,56,71.4,6,12,50,0,0.6,0.7,-0.6,11,16,8,3,26
80,Ella Rutherford,"FW,MF",Bristol City,18,2000,16.2,182,380,47.9,2901,1262,110,165,66.7,45,103,43.7,21,74,28.4,1,1.7,1.1,-0.7,14,19,12,3,38
81,Lucy Graham,"MF,FW",Bristol City,21,1996,19,318,548,58,4855,1589,177,256,69.1,105,171,61.4,23,58,39.7,2,0.8,0.8,1.2,12,29,7,2,54
82,Carla Humphrey,"MF,FW",Bristol City,21,1996,19.3,344,513,67.1,5493,1729,172,212,81.1,118,160,73.8,32,75,42.7,0,0.4,0.4,-0.4,9,34,7,3,44
83,Julie Biesmans,MF,Bristol City,24,1994,20,343,516,66.5,5673,1811,152,209,72.7,154,197,78.2,24,59,40.7,2,1.2,0.5,0.8,10,19,3,2,41
84,Frankie Brown,"DF,MF",Bristol City,30,1987,19,302,452,66.8,5622,2346,122,163,74.8,141,185,76.2,35,82,42.7,0,0.1,0.2,-0.1,3,22,5,0,41
85,Gemma Evans,DF,Bristol City,21,1996,17.1,321,515,62.3,6153,2886,113,145,77.9,165,228,72.4,35,114,30.7,0,0.1,0.2,-0.1,3,16,2,0,24
86,Danique Kerkdijk,DF,Bristol City,22,1996,17.3,298,483,61.7,6927,3139,67,91,73.6,165,206,80.1,64,171,37.4,0,0.1,0.1,-0.1,1,26,0,0,24
87,Loren Dykes,DF,Bristol City,30,1988,19,426,730,58.4,6760,4109,218,296,73.6,183,317,57.7,16,78,20.5,1,0.8,0.6,0.2,5,28,7,6,36
88,Poppy Pattinson,DF,Bristol City,18,2000,18.8,455,769,59.2,7648,4497,232,316,73.4,172,288,59.7,45,127,35.4,0,0.7,0.7,-0.7,16,26,8,6,35
89,Sophie Baggaley,GK,Bristol City,21,1996,20,435,920,47.3,14308,10990,26,27,96.3,211,222,95,198,664,29.8,0,0,0.1,0,0,12,2,0,0
90,Jade Bailey,MF,Chelsea,22,1995,0.3,19,20,95,352,75,5,6,83.3,11,11,100,2,2,100,0,0,0,0,1,1,0,0,7
91,Adelina Engman,"FW,MF",Chelsea,23,1994,4.3,97,143,67.8,1311,312,66,90,73.3,29,34,85.3,1,8,12.5,2,0.9,0.9,1.1,6,6,3,2,11
92,Ann-Katrin Berger,GK,Chelsea,27,1990,1,50,51,98,1057,627,10,10,100,31,31,100,9,10,90,0,0,0,0,0,0,0,0,0
93,Bethany England,FW,Chelsea,24,1994,12,213,320,66.6,2779,698,139,176,79,50,83,60.2,9,18,50,1,1.4,1.2,-0.4,14,10,13,1,30
94,Fran Kirby,"FW,MF",Chelsea,25,1993,10.7,263,331,79.5,3251,703,178,204,87.3,65,85,76.5,4,15,26.7,0,2.1,2.9,-2.1,26,12,16,0,37
95,Maria Thorisdottir,"MF,DF",Chelsea,25,1993,3.4,138,182,75.8,2583,813,51,67,76.1,61,72,84.7,21,37,56.8,0,0.2,0.5,-0.2,2,18,3,1,24
96,Anita Asante,DF,Chelsea,33,1985,2.2,138,155,89,2635,822,38,42,90.5,87,89,97.8,10,15,66.7,0,0,0,0,0,6,0,0,7
97,Ali Riley,"DF,FW",Chelsea,30,1987,3.9,181,245,73.9,2800,927,97,119,81.5,70,86,81.4,7,20,35,2,1.8,1.5,0.2,9,12,7,3,21
98,Ramona Bachmann,"FW,MF",Chelsea,27,1990,11.9,270,386,69.9,3930,1113,156,206,75.7,83,115,72.2,15,35,42.9,6,2.9,3.2,3.1,22,10,20,4,43
99,Deanna Cooper,DF,Chelsea,25,1993,2.5,227,253,89.7,4712,1470,70,73,95.9,118,127,92.9,36,47,76.6,0,0.1,0.1,-0.1,1,23,1,0,14
100,Drew Spence,MF,Chelsea,25,1992,13.4,381,488,78.1,6202,1577,176,221,79.6,163,187,87.2,27,45,60,3,1.6,1.3,1.4,22,46,4,0,56
101,Erin Cuthbert,"FW,MF",Chelsea,20,1998,15.5,434,663,65.5,7250,1894,213,258,82.6,150,215,69.8,53,127,41.7,6,3.3,4,2.7,37,32,26,4,61
102,Maren Mjelde,"DF,MF",Chelsea,28,1989,6.2,349,407,85.7,6990,2177,114,126,90.5,190,204,93.1,39,59,66.1,0,1.2,0.7,-1.2,10,26,4,1,32
103,Jess Carter,"DF,MF",Chelsea,20,1997,8.5,412,538,76.6,7269,2218,195,221,88.2,165,210,78.6,48,82,58.5,1,0.3,0.7,0.7,4,37,7,2,45
104,Karen Carney,"FW,MF",Chelsea,30,1987,10.9,337,495,68.1,6242,2317,163,187,87.2,109,164,66.5,54,110,49.1,4,5.1,4.3,-1.1,50,28,32,10,53
105,Ji So-yun,MF,Chelsea,27,1991,15.9,798,954,83.6,12412,2951,412,470,87.7,303,347,87.3,52,75,69.3,2,3.9,4,-1.9,47,79,40,3,120
106,Hannah Blundell,"DF,FW",Chelsea,24,1994,13.3,754,934,80.7,11811,3773,410,460,89.1,283,351,80.6,49,91,53.8,4,1.8,1.5,2.2,17,48,16,3,72
107,Sophie Ingle,MF,Chelsea,26,1991,13.6,644,841,76.6,11751,3953,270,340,79.4,292,347,84.1,69,115,60,2,1.2,1.4,0.8,14,99,19,3,123
108,Hedvig Lindahl,GK,Chelsea,35,1983,9,270,338,79.9,6976,4764,36,37,97.3,155,159,97.5,79,141,56,0,0,0,0,0,1,0,0,1
109,Carly Telford,GK,Chelsea,31,1987,10,284,345,82.3,7154,4808,47,47,100,172,178,96.6,65,116,56,0,0,0,0,0,1,0,0,0
110,Jonna Andersson,DF,Chelsea,25,1993,16.7,826,1125,73.4,13092,5230,462,553,83.5,294,401,73.3,60,112,53.6,2,3.4,3.2,-1.4,27,81,26,14,105
111,Millie Bright,DF,Chelsea,24,1993,15.8,829,1094,75.8,18944,6834,192,234,82.1,468,542,86.3,161,292,55.1,0,1,1.3,-1,10,86,8,2,87
112,Magdalena Eriksson,DF,Chelsea,24,1993,19,1120,1391,80.5,24643,8820,303,341,88.9,625,702,89,183,320,57.2,1,0.5,0.8,0.5,9,128,10,0,162
113,Olivia Chance,MF,Everton,24,1993,0,1,2,50,8,0,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0
114,Claudia Walker,FW,Everton,22,1996,4.6,56,99,56.6,826,189,30,48,62.5,20,34,58.8,3,8,37.5,0,0.2,0.2,-0.2,5,5,3,2,7
115,Elise Hughes,FW,Everton,17,2001,4.4,72,116,62.1,888,211,54,77,70.1,12,22,54.5,2,5,40,0,0.5,0.7,-0.5,4,8,2,1,5
116,Hannah Cain,"FW,MF",Everton,19,1999,6.8,81,149,54.4,1326,366,37,56,66.1,39,65,60,3,18,16.7,0,1,0.6,-1,8,6,5,3,9
117,Simone Magill,"FW,MF",Everton,23,1994,15.4,264,388,68,3534,827,163,214,76.2,83,116,71.6,4,17,23.5,2,1.8,1,0.2,19,20,9,2,25
118,Chloe Kelly,"MF,FW",Everton,20,1998,10.2,138,290,47.6,2416,1005,73,109,67,37,78,47.4,22,67,32.8,0,1.8,1.8,-1.8,17,13,10,6,21
119,Emma Brownlie,"DF,MF",Everton,24,1993,5,123,218,56.4,1900,1037,73,101,72.3,38,69,55.1,10,34,29.4,0,0.1,0.1,-0.1,2,4,2,1,8
120,Dominique Bruinenberg,MF,Everton,25,1993,6.8,190,285,66.7,3131,1221,90,119,75.6,79,108,73.1,16,38,42.1,1,0.3,0.3,0.7,8,23,2,1,37
121,Chantelle Boye-Hlorkah,"FW,DF",Everton,22,1995,10.5,173,365,47.4,2745,1251,104,154,67.5,48,111,43.2,15,59,25.4,0,1,1.3,-1,11,11,10,7,23
122,Faye Bryson,"DF,MF",Everton,21,1997,5.9,149,271,55,2636,1434,64,88,72.7,70,115,60.9,12,55,21.8,0,0.3,0.2,-0.3,6,9,3,0,15
123,Inessa Kaagman,"MF,FW",Everton,22,1996,16.6,364,567,64.2,5557,1733,201,251,80.1,109,171,63.7,32,90,35.6,4,2.2,1.5,1.8,19,38,15,5,53
124,Abbey-Leigh Stringer,MF,Everton,23,1995,13,412,559,73.7,6702,1745,196,242,81,162,204,79.4,32,67,47.8,1,0.3,0.2,0.7,8,18,0,0,33
125,Taylor Hinds,DF,Everton,18,1999,10.8,261,427,61.1,3800,2099,147,195,75.4,96,159,60.4,11,43,25.6,1,0.2,0.5,0.8,4,10,5,0,28
126,Angharad James,MF,Everton,24,1994,18,512,745,68.7,8910,2852,252,313,80.5,171,228,75,69,152,45.4,1,1.1,1,-0.1,17,47,7,0,68
127,Danielle Turner,"DF,MF",Everton,27,1991,12.5,348,581,59.9,5795,3187,188,246,76.4,129,223,57.8,27,71,38,0,1.8,1,-1.8,12,25,8,4,38
128,Siri Worm,DF,Everton,26,1992,9.5,372,583,63.8,6697,3902,177,218,81.2,150,222,67.6,41,122,33.6,1,0.7,0.7,0.3,7,19,3,1,27
129,Georgia Brougham,DF,Everton,22,1996,16.2,540,679,79.5,10161,4017,191,220,86.8,293,340,86.2,51,105,48.6,0,0.1,0.1,-0.1,4,28,1,0,33
130,Gabrielle George,DF,Everton,21,1997,15.2,530,718,73.8,9286,4114,221,261,84.7,268,319,84,37,103,35.9,0,0.5,0.4,-0.5,6,34,4,2,42
131,Megan Finnigan,"DF,MF",Everton,20,1998,18.4,562,801,70.2,9942,4667,253,310,81.6,247,319,77.4,52,135,38.5,1,0.4,0.3,0.6,5,44,2,0,49
132,Kirstie Levell,GK,Everton,21,1997,20,508,753,67.5,13504,9373,91,91,100,245,270,90.7,170,388,43.8,0,0,0,0,0,5,1,0,0
133,Annabel Blanchard,FW,Liverpool,17,2001,0.1,2,3,66.7,35,6,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
134,Lauren Thomas,"MF,FW",Liverpool,,,0.2,5,6,83.3,50,15,5,5,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
135,Missy Bo Kearns,"MF,FW",Liverpool,17,2001,0.2,3,6,50,65,17,1,2,50,1,1,100,1,2,50,0,0,0,0,0,1,0,0,1
136,Simran Jhamat,"MF,FW",Liverpool,17,2001,0.5,3,8,37.5,49,26,2,3,66.7,0,2,0,1,2,50,0,0,0,0,0,1,0,0,1
137,Ashley Hodson,"MF,FW",Liverpool,23,1995,1.2,11,20,55,190,58,5,7,71.4,5,6,83.3,1,5,20,0,0.2,0.2,-0.2,1,1,1,1,2
138,Kirsty Linnett,FW,Liverpool,24,1993,8.3,120,169,71,1627,276,77,97,79.4,32,41,78,4,12,33.3,1,0.1,0.2,0.9,3,3,5,1,9
139,Niamh Charles,"FW,MF",Liverpool,19,1999,6.4,90,163,55.2,1205,404,59,84,70.2,26,49,53.1,3,12,25,0,0.9,1,-0.9,12,8,1,0,7
140,Rinsola Babajide,"MF,FW",Liverpool,20,1998,11.1,131,234,56,1826,571,75,112,67,40,59,67.8,7,24,29.2,0,1,0.4,-1,8,18,4,1,23
141,Jessica Clarke,"FW,MF",Liverpool,29,1989,11.3,159,261,60.9,2148,622,110,133,82.7,40,76,52.6,6,22,27.3,2,1.9,2.2,0.1,9,4,8,4,13
142,Yana Daniels,"MF,FW",Liverpool,26,1992,7.9,113,202,55.9,1748,626,66,93,71,32,52,61.5,8,27,29.6,0,0.8,0.5,-0.8,5,9,4,0,10
143,Leandra Little,"DF,FW",Liverpool,33,1984,5,89,150,59.3,1660,771,28,41,68.3,50,74,67.6,8,29,27.6,0,0,0,0,0,3,0,0,13
144,Rhiannon Roberts,"MF,DF",Liverpool,27,1990,5.7,115,188,61.2,2228,854,39,52,75,60,85,70.6,13,38,34.2,0,0,0,0,0,5,0,0,6
145,Courtney Sweetman-Kirk,"FW,MF",Liverpool,27,1990,14.9,262,417,62.8,3671,950,158,224,70.5,77,116,66.4,13,32,40.6,0,1,0.6,-1,13,14,5,2,23
146,Amy Rodgers,"MF,DF",Liverpool,18,2000,9.3,185,288,64.2,2889,1288,105,141,74.5,59,82,72,15,37,40.5,1,0.4,0.1,0.6,3,13,0,0,25
147,Jemma Purfield,DF,Liverpool,21,1997,6,116,241,48.1,1782,1358,63,98,64.3,43,79,54.4,7,48,14.6,0,0,0.1,0,0,9,2,1,13
148,Frances Kitching,GK,Liverpool,20,1998,6,74,154,48.1,2359,1919,4,5,80,32,34,94.1,38,114,33.3,0,0,0,0,0,0,0,0,0
149,Niamh Fahey,"MF,DF",Liverpool,30,1987,14.2,411,558,73.7,6559,2077,204,243,84,172,225,76.4,27,60,45,0,0.1,0.2,-0.1,5,23,3,1,47
150,Christie Murray,MF,Liverpool,28,1990,14.4,292,490,59.6,5011,2166,143,193,74.1,99,152,65.1,35,90,38.9,1,1.1,1.7,-0.1,15,33,7,0,56
151,Jasmine Matthews,DF,Liverpool,25,1993,9.9,233,349,66.8,4803,2603,74,97,76.3,119,152,78.3,39,91,42.9,0,0.1,0.1,-0.1,4,15,0,0,14
152,Laura Coombs,MF,Liverpool,27,1991,19.9,516,803,64.3,8862,3242,264,324,81.5,172,245,70.2,64,180,35.6,4,3.7,2.7,0.3,29,57,11,5,71
153,Satara Murray,DF,Liverpool,25,1993,14,452,636,71.1,6657,3535,239,286,83.6,183,264,69.3,13,43,30.2,1,0.3,0.2,0.7,7,21,3,2,41
154,Leigh-Anne Robe,DF,Liverpool,24,1993,19,479,837,57.2,7769,4509,231,323,71.5,208,371,56.1,28,104,26.9,1,0.9,0.4,0.1,8,31,4,2,46
155,Anke Preuß,GK,Liverpool,25,1992,14,199,361,55.1,6171,4897,16,17,94.1,85,88,96.6,98,252,38.9,0,0,0,0,0,1,0,0,0
