Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Leah Williamson,DF,Arsenal,21,1997,17.8,1345,1254,87,29,1,18,11,57,1,1,0,0,1101,4,9
2,Lia Wälti,MF,Arsenal,25,1993,11.8,753,734,17,16,2,11,9,1,0,0,0,0,615,2,10
3,Katrine Veje,"DF,FW",Arsenal,27,1991,6.9,448,350,98,4,0,3,23,94,0,0,0,0,357,0,12
4,Sari van Veenendaal,GK,Arsenal,28,1990,7,204,158,46,3,0,1,0,0,0,0,0,0,190,0,0
5,Viktoria Schnaderbeck,"MF,DF",Arsenal,27,1991,1.2,60,60,0,0,0,0,0,0,0,0,0,0,56,0,0
6,Jessica Samuelsson,DF,Arsenal,26,1992,2.1,147,116,31,2,0,0,3,29,0,0,0,0,125,0,4
7,Louise Quinn,DF,Arsenal,28,1990,17.2,1149,1121,26,23,0,0,0,3,0,0,0,0,1004,2,7
8,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,428,332,96,19,0,1,0,0,0,0,0,0,341,0,0
9,Jordan Nobbs,"MF,FW",Arsenal,25,1992,7.8,385,349,32,15,4,1,27,4,13,4,4,1,304,4,8
10,Emma Mitchell,DF,Arsenal,25,1992,9,646,540,102,7,1,2,12,95,0,0,0,0,492,4,8
11,Vivianne Miedema,FW,Arsenal,22,1996,19.8,587,543,40,5,4,4,10,5,4,0,1,0,421,4,28
12,Beth Mead,"FW,MF",Arsenal,23,1995,16.9,664,560,102,11,4,1,135,7,84,21,12,25,419,2,34
13,Katie McCabe,"MF,FW",Arsenal,22,1995,17.5,788,666,121,21,2,5,52,68,31,12,5,7,616,1,15
14,Kim Little,MF,Arsenal,28,1990,13.6,793,752,37,12,2,2,43,1,23,7,4,10,653,4,17
15,Ava Kuyken,"MF,DF",Arsenal,17,2001,1.2,40,38,2,1,0,0,1,1,0,0,0,0,35,0,1
16,Tabea Kemme,"FW,MF",Arsenal,26,1991,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0
17,Dominique Janssen,"MF,DF",Arsenal,23,1995,18.6,1063,1015,48,20,8,16,8,28,0,0,0,0,864,0,10
18,Amelia Hazard,"FW,MF",Arsenal,17,2000,0.3,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1
19,Ruby Grant,"MF,FW",Arsenal,16,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
20,Melisa Filis,FW,Arsenal,16,2002,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Lisa Evans,"DF,FW",Arsenal,26,1992,15.7,975,786,187,9,0,4,43,178,0,0,0,0,762,2,22
22,Daniëlle van de Donk,"MF,FW",Arsenal,26,1991,17.6,830,809,17,8,3,1,26,3,2,0,0,0,632,4,15
23,Danielle Carter,"FW,MF",Arsenal,25,1993,0.9,45,44,1,0,0,0,4,0,0,0,0,0,28,0,3
24,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,1.1,21,21,0,0,0,0,1,0,0,0,0,0,12,0,3
25,Janni Arnth,DF,Arsenal,31,1986,2.8,205,190,15,5,0,0,9,10,0,0,0,0,172,0,4
26,Paige Williams,DF,Birmingham City,23,1995,11.5,788,623,158,16,2,2,32,133,9,7,0,0,537,7,13
27,Ellen White,FW,Birmingham City,29,1989,7.2,137,126,11,1,0,0,8,2,0,0,0,0,99,0,2
28,Charlie Wellings,"FW,MF",Birmingham City,20,1998,17.6,493,474,16,1,3,1,20,4,0,0,0,0,362,3,19
29,Claudia Walker,"FW,MF",Birmingham City,22,1996,3.2,94,94,0,0,0,0,11,0,0,0,0,0,62,0,1
30,Lucy Staniforth,"MF,FW",Birmingham City,25,1992,18,973,869,99,44,1,7,81,5,44,13,13,15,682,5,11
31,Harriet Scott,DF,Birmingham City,25,1993,11.4,709,538,171,9,0,0,15,162,0,0,0,0,563,0,20
32,Connie Scofield,MF,Birmingham City,19,1999,3.5,11,11,0,0,0,0,0,0,0,0,0,0,7,0,0
33,Meaghan Sargeant,DF,Birmingham City,24,1994,16.9,1098,973,123,30,0,1,5,93,0,0,0,0,885,2,9
34,Lucy Quinn,"FW,MF",Birmingham City,24,1993,6.5,197,186,10,0,0,1,14,2,0,0,0,0,131,1,10
35,Sarah Mayling,"FW,DF",Birmingham City,21,1997,9.3,424,350,71,3,0,2,18,67,0,0,0,0,338,3,13
36,Aoife Mannion,DF,Birmingham City,22,1995,20,1452,1401,47,41,0,9,1,6,0,0,0,0,1253,4,6
37,Hayley Ladd,MF,Birmingham City,24,1993,18.8,817,774,39,18,0,3,22,3,18,6,7,4,669,4,7
38,Shania Hayles,"FW,MF",Birmingham City,18,1999,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
39,Kerys Harrop,DF,Birmingham City,27,1990,18.1,1220,1085,127,27,0,3,17,100,0,0,0,0,1004,8,22
40,Hannah Hampton,GK,Birmingham City,17,2000,12,527,405,121,42,0,5,0,0,0,0,0,0,401,1,2
41,Emma Follis,"FW,MF",Birmingham City,26,1992,15.3,419,408,11,0,0,0,9,8,0,0,0,0,317,0,11
42,Marisa Ewers,MF,Birmingham City,29,1989,6.6,277,269,6,3,0,1,3,0,2,2,0,0,218,2,4
43,Ann-Katrin Berger,GK,Birmingham City,27,1990,8,374,297,76,27,0,1,0,0,0,0,0,0,248,1,2
44,Chloe Arthur,MF,Birmingham City,23,1995,15.8,692,677,8,3,2,6,3,5,0,0,0,0,517,7,10
45,Victoria Williams,DF,Brighton,28,1990,19,767,695,68,39,0,12,7,29,0,0,0,0,534,4,6
46,Fern Whelan,"DF,MF",Brighton,29,1988,6.8,157,153,2,2,0,0,0,0,0,0,0,0,104,2,0
47,Aileen Whelan,"MF,FW",Brighton,26,1991,19.1,484,450,34,0,2,4,24,30,1,0,0,0,281,0,17
48,Iniabasi Umotong,FW,Brighton,24,1994,13.7,273,233,38,0,0,0,13,2,0,0,0,0,177,2,15
