Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Leah Williamson,DF,Arsenal,21,1997,19,18,"1,602",17.8,1,2,3,1,0,0,1,0,0.8,0.8,1.3,2.1,39,147,18,0.06,0.11,0.17,0.06,0.17,0.04,0.07,0.12,0.04,0.12
2,Lia Wälti,MF,Arsenal,25,1993,12,12,"1,058",11.8,0,1,1,0,0,0,1,0,0.4,0.4,0.6,1,20,104,12,0,0.09,0.09,0,0.09,0.04,0.05,0.09,0.04,0.09
3,Katrine Veje,"DF,FW",Arsenal,27,1991,8,7,622,6.9,0,2,2,0,0,0,1,0,0.2,0.2,1.5,1.7,33,31,49,0,0.29,0.29,0,0.29,0.04,0.21,0.25,0.04,0.25
4,Sari van Veenendaal,GK,Arsenal,28,1990,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Viktoria Schnaderbeck,"MF,DF",Arsenal,27,1991,5,1,104,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09
6,Jessica Samuelsson,DF,Arsenal,26,1992,8,1,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,8,13,16,0,0,0,0,0,0,0,0,0,0
7,Louise Quinn,DF,Arsenal,28,1990,19,17,"1,544",17.2,1,1,2,1,0,0,0,0,1.5,1.5,0.5,2,6,86,3,0.06,0.06,0.12,0.06,0.12,0.09,0.03,0.11,0.09,0.11
8,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jordan Nobbs,"MF,FW",Arsenal,25,1992,8,8,704,7.8,9,3,12,9,0,0,0,0,4.7,4.7,3.4,8.1,10,53,75,1.15,0.38,1.53,1.15,1.53,0.61,0.43,1.04,0.61,1.04
10,Emma Mitchell,DF,Arsenal,25,1992,11,9,809,9,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,20,67,31,0.11,0,0.11,0.11,0.11,0.03,0.07,0.09,0.03,0.09
11,Vivianne Miedema,FW,Arsenal,22,1996,20,20,"1,779",19.8,22,10,32,22,0,0,1,0,14.6,14.6,6.9,21.5,39,60,188,1.11,0.51,1.62,1.11,1.62,0.74,0.35,1.09,0.74,1.09
12,Beth Mead,"FW,MF",Arsenal,23,1995,19,18,"1,519",16.9,7,12,19,7,0,0,2,0,3.5,3.5,7.8,11.3,67,54,225,0.41,0.71,1.13,0.41,1.13,0.21,0.46,0.67,0.21,0.67
13,Katie McCabe,"MF,FW",Arsenal,22,1995,20,17,"1,575",17.5,5,8,13,5,0,0,2,0,4.2,4.2,3.7,7.9,21,62,121,0.29,0.46,0.74,0.29,0.74,0.24,0.21,0.45,0.24,0.45
14,Kim Little,MF,Arsenal,28,1990,14,14,"1,225",13.6,8,6,14,5,3,3,0,0,5,2.7,2,4.7,35,115,87,0.59,0.44,1.03,0.37,0.81,0.37,0.15,0.52,0.2,0.34
15,Ava Kuyken,"MF,DF",Arsenal,17,2001,7,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0.1,1,4,4,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
16,Tabea Kemme,"FW,MF",Arsenal,26,1991,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Dominique Janssen,"MF,DF",Arsenal,23,1995,19,19,"1,676",18.6,3,3,6,3,0,0,0,0,2.3,2.3,2.1,4.5,21,138,36,0.16,0.16,0.32,0.16,0.32,0.12,0.11,0.24,0.12,0.24
18,Amelia Hazard,"FW,MF",Arsenal,17,2000,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,0,0,0,0,0,0.21,0,0.21,0.21,0.21
19,Ruby Grant,"MF,FW",Arsenal,16,2002,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
20,Melisa Filis,FW,Arsenal,16,2002,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,90,0,2.98,2.98,0,2.98
21,Lisa Evans,"DF,FW",Arsenal,26,1992,18,16,"1,412",15.7,1,2,3,1,0,0,0,0,1,1,1.6,2.6,70,105,143,0.06,0.13,0.19,0.06,0.19,0.06,0.1,0.17,0.06,0.17
22,Daniëlle van de Donk,"MF,FW",Arsenal,26,1991,19,18,"1,588",17.6,11,6,17,10,1,1,3,0,7.4,6.6,3.1,9.7,58,124,137,0.62,0.34,0.96,0.57,0.91,0.42,0.17,0.59,0.38,0.55
23,Danielle Carter,"FW,MF",Arsenal,25,1993,6,0,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2,5,11,0,0,0,0,0,0.18,0.05,0.23,0.18,0.23
24,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,3,1,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,2,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06
25,Janni Arnth,DF,Arsenal,31,1986,6,3,256,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,4,16,16,0.35,0,0.35,0.35,0.35,0.16,0.02,0.18,0.16,0.18
26,Paige Williams,DF,Birmingham City,23,1995,12,12,"1,035",11.5,0,1,1,0,0,0,3,0,0.2,0.2,1,1.2,10,49,23,0,0.09,0.09,0,0.09,0.02,0.09,0.11,0.02,0.11
27,Ellen White,FW,Birmingham City,29,1989,8,7,647,7.2,6,1,7,6,0,0,0,0,4.8,4.8,0.2,5,8,13,48,0.83,0.14,0.97,0.83,0.97,0.66,0.03,0.69,0.66,0.69
28,Charlie Wellings,"FW,MF",Birmingham City,20,1998,20,17,"1,587",17.6,3,4,7,3,0,0,0,0,2.5,2.5,4.7,7.2,46,42,121,0.17,0.23,0.4,0.17,0.4,0.14,0.26,0.41,0.14,0.41
29,Claudia Walker,"FW,MF",Birmingham City,22,1996,7,3,285,3.2,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,12,7,42,0,0.32,0.32,0,0.32,0.29,0.28,0.57,0.29,0.57
30,Lucy Staniforth,"MF,FW",Birmingham City,25,1992,19,18,"1,618",18,2,5,7,2,0,0,1,0,3.2,3.2,3.6,6.8,39,99,113,0.11,0.28,0.39,0.11,0.39,0.18,0.2,0.38,0.18,0.38
