Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
34,Millie Bright,DF,Chelsea,24,1993,15.8,1267,73,550,646,87,26,1267,11,7,63.6,4,36.4,709,4237,2439,9,14,0,11,1,809,6
35,Georgia Brougham,DF,Everton,22,1996,16.2,846,125,564,262,26,11,846,2,1,50,1,50,406,2015,1181,7,6,0,12,12,439,5
36,Frankie Brown,"DF,MF",Bristol City,30,1987,19,643,118,350,267,33,1,643,7,3,42.9,4,57.1,228,1303,847,7,4,0,15,9,240,4
37,Emma Brownlie,"DF,MF",Everton,24,1993,5,269,12,95,111,65,4,269,0,0,,0,,71,363,135,2,2,0,4,0,101,3
38,Dominique Bruinenberg,MF,Everton,25,1993,6.8,377,9,71,248,61,7,377,6,1,16.7,5,83.3,153,510,176,1,1,1,17,4,199,9
39,Lauren Bruton,"FW,MF",Reading,25,1992,14.7,595,3,42,261,298,54,594,39,20,51.3,19,48.7,373,2409,1068,43,31,15,48,55,437,114
40,Faye Bryson,"DF,MF",Everton,21,1997,5.9,353,24,154,133,69,2,353,11,5,45.5,6,54.5,100,521,306,11,6,2,9,6,129,13
41,Danielle Buet,"MF,DF",Brighton,29,1988,17.3,768,60,277,406,103,3,768,26,19,73.1,7,26.9,286,1555,612,6,11,1,31,10,339,15
42,Leah Burridge,MF,Yeovil Town,,,0.3,16,2,7,9,0,0,16,0,0,,0,,4,7,7,0,0,0,2,0,5,0
43,Charlotte Buxton,DF,Yeovil Town,,,6,222,30,132,73,18,0,222,2,2,100,0,0,59,334,170,3,2,0,6,4,60,2
44,Hannah Cain,"FW,MF",Everton,19,1999,6.8,214,1,18,86,111,27,214,4,2,50,2,50,112,596,358,15,10,5,14,9,152,52
45,Megan Campbell,DF,Manchester City,25,1993,2,161,12,52,83,27,3,161,5,3,60,2,40,72,324,210,5,2,2,2,1,106,4
46,Karen Carney,"FW,MF",Chelsea,30,1987,10.9,596,3,36,208,357,47,595,31,10,32.3,21,67.7,316,2102,926,34,21,11,24,20,390,118
47,Danielle Carter,"FW,MF",Arsenal,25,1993,0.9,66,0,4,23,40,5,66,5,4,80,1,20,43,318,167,2,4,1,6,3,49,11
48,Jess Carter,"DF,MF",Chelsea,20,1997,8.5,602,10,121,335,151,6,602,9,6,66.7,3,33.3,262,1313,655,16,14,1,14,11,341,26
49,Olivia Chance,MF,Everton,24,1993,0,3,0,0,2,1,0,3,0,0,,0,,3,23,2,1,0,0,0,1,3,0
50,Brooke Chaplen,"FW,MF",Reading,29,1989,15.3,447,0,13,157,284,82,447,26,9,34.6,17,65.4,267,1347,435,18,17,8,56,40,342,131
51,Niamh Charles,"FW,MF",Liverpool,19,1999,6.4,279,8,50,140,107,29,279,39,24,61.5,15,38.5,177,1860,1072,40,28,12,36,8,165,33
52,Jessica Clarke,"FW,MF",Liverpool,29,1989,11.3,406,6,52,185,178,43,406,39,20,51.3,19,48.7,295,2832,1224,55,29,18,47,27,286,69
53,Megan Connolly,MF,Brighton,21,1997,6,248,15,56,128,69,9,248,4,2,50,2,50,87,527,214,2,6,0,15,7,102,11
54,Laura Coombs,MF,Liverpool,27,1991,19.9,988,19,184,584,233,18,988,20,12,60,8,40,477,2467,933,23,24,4,40,26,541,57
55,Deanna Cooper,DF,Chelsea,25,1993,2.5,261,4,120,131,13,2,261,0,0,,0,,180,1116,842,7,8,0,2,0,218,0
56,Nicola Cousins,DF,Yeovil Town,29,1988,14.6,596,106,329,221,56,6,596,12,7,58.3,5,41.7,161,1084,481,6,3,1,15,4,171,13
57,Erin Cuthbert,"FW,MF",Chelsea,20,1998,15.5,900,4,60,346,508,75,900,35,18,51.4,17,48.6,474,3053,1453,62,33,21,42,25,554,141
58,Yana Daniels,"MF,FW",Liverpool,26,1992,7.9,309,12,64,146,109,14,309,17,9,52.9,8,47.1,163,880,364,6,10,1,23,17,179,35
59,Gemma Davison,"FW,MF",Reading,31,1987,9.3,368,1,12,164,196,42,368,29,16,55.2,13,44.8,257,1951,762,35,27,19,37,18,306,107
60,Daniëlle van de Donk,"MF,FW",Arsenal,26,1991,17.6,1055,7,109,469,490,85,1054,38,24,63.2,14,36.8,585,3372,1774,58,38,17,50,31,767,137
61,Emily Donovan,"MF,FW",Yeovil Town,,,9.1,287,12,70,155,70,10,287,12,4,33.3,8,66.7,146,933,437,8,6,1,29,14,158,20
62,Loren Dykes,DF,Bristol City,30,1988,19,938,69,375,383,189,5,938,16,10,62.5,6,37.5,231,1758,941,24,20,0,29,9,313,21
63,Claire Emslie,"FW,MF",Manchester City,24,1994,7.2,414,2,28,150,239,40,414,16,8,50,8,50,249,1376,696,27,10,11,27,17,294,81
64,Bethany England,FW,Chelsea,24,1994,12,490,7,41,153,300,82,490,2,1,50,1,50,226,1158,483,24,8,9,39,15,339,117
65,Adelina Engman,"FW,MF",Chelsea,23,1994,4.3,208,2,19,68,125,28,208,8,5,62.5,3,37.5,119,795,369,17,11,10,18,18,147,56
66,Magdalena Eriksson,DF,Chelsea,24,1993,19,1561,80,638,826,105,38,1561,3,1,33.3,2,66.7,905,6112,4290,31,21,1,13,6,1039,9
67,Charlie Estcourt,"MF,FW",Reading,20,1998,3.4,157,1,19,91,48,6,157,0,0,,0,,87,447,244,6,6,1,8,7,96,19
68,Gemma Evans,DF,Bristol City,21,1996,17.1,753,143,521,199,42,9,753,7,7,100,0,0,221,1315,813,9,6,0,11,8,267,3
69,Georgia Evans,MF,Yeovil Town,22,1995,15.6,550,36,174,332,49,2,550,8,4,50,4,50,157,553,139,2,6,0,26,12,260,3
70,Lisa Evans,"DF,FW",Arsenal,26,1992,15.7,1112,14,189,467,463,49,1112,24,14,58.3,10,41.7,507,3383,1979,70,52,18,24,18,702,143
71,Marisa Ewers,MF,Birmingham City,29,1989,6.6,339,7,71,192,76,10,339,2,2,100,0,0,173,808,289,3,5,1,14,5,212,18
72,Niamh Fahey,"MF,DF",Liverpool,30,1987,14.2,731,90,320,352,64,8,731,2,2,100,0,0,232,1034,487,3,4,1,14,5,324,4
73,Millie Farrow,FW,Reading,22,1996,1.6,47,0,1,14,32,10,47,2,1,50,1,50,28,169,73,3,1,4,4,9,38,17
74,Olivia Fergusson,FW,Yeovil Town,23,1995,18.4,399,2,26,198,181,34,399,30,8,26.7,22,73.3,203,1307,380,17,10,3,79,34,240,81
75,Melisa Filis,FW,Arsenal,16,2002,0,2,0,0,1,1,0,2,0,0,,0,,1,5,0,0,0,0,0,0,1,0
76,Megan Finnigan,"DF,MF",Everton,20,1998,18.4,1016,116,536,420,67,17,1016,7,4,57.1,3,42.9,375,1724,1028,9,8,0,11,6,476,10
77,Monique Fischer,MF,Yeovil Town,26,1991,1.7,44,3,13,22,9,1,44,0,0,,0,,20,108,41,1,1,1,4,4,22,5
78,Gilly Flaherty,DF,West Ham,26,1991,19,1103,136,733,334,39,23,1103,3,1,33.3,2,66.7,440,1952,992,0,6,0,7,4,569,1
79,Emma Follis,"FW,MF",Birmingham City,26,1992,15.3,582,4,67,281,242,43,582,37,15,40.5,22,59.5,370,3117,1296,50,26,24,49,33,433,98
80,Rachel Furness,MF,Reading,30,1988,16.6,1027,30,212,648,180,43,1027,17,11,64.7,6,35.3,397,2223,919,14,13,1,27,19,556,32
81,Amber Gaylor,"MF,FW",Yeovil Town,23,1995,9,354,16,77,195,87,6,354,18,15,83.3,3,16.7,164,988,270,8,6,1,41,28,201,23
82,Gabrielle George,DF,Everton,21,1997,15.2,922,117,564,295,72,11,922,22,20,90.9,2,9.1,477,3232,1876,18,15,0,13,9,485,10
83,Felicity Gibbons,DF,Brighton,24,1994,15.7,951,57,408,377,177,14,951,22,15,68.2,7,31.8,346,1956,1197,30,12,4,28,18,392,14
84,Lucy Gillett,GK,Brighton,,,2,100,80,100,0,0,0,100,0,0,,0,,50,400,297,0,0,0,0,0,41,0
85,Amy Goddard,DF,Yeovil Town,,,9.8,405,56,206,161,45,13,405,4,2,50,2,50,84,503,170,1,0,0,9,6,108,1
86,Esmee de Graaf,"FW,DF",West Ham,20,1997,7.2,322,8,75,126,123,10,322,5,0,0,5,100,96,713,242,9,5,4,14,8,133,33
87,Lucy Graham,"MF,FW",Bristol City,21,1996,19,790,25,145,433,222,37,788,31,12,38.7,19,61.3,374,1618,508,10,13,1,79,37,482,58
88,Ruby Grant,"MF,FW",Arsenal,16,2002,0.1,7,0,0,3,4,1,7,1,1,100,0,0,7,57,47,2,0,1,0,0,6,2
89,Kayleigh Green,"MF,FW",Brighton,30,1988,17.1,781,25,139,380,278,35,781,28,12,42.9,16,57.1,357,2269,970,32,20,9,52,24,482,91
90,Eleanor Hack,DF,Brighton,16,2002,1,35,7,26,9,0,0,35,0,0,,0,,11,20,7,0,0,0,0,1,18,0
91,Hannah Hampton,GK,Birmingham City,17,2000,12,554,479,552,2,0,0,554,2,2,100,0,0,263,1398,740,0,0,0,2,0,295,0
92,Natasha Harding,DF,Reading,29,1989,19,1105,47,316,526,271,23,1105,15,6,40,9,60,362,2063,996,30,21,8,36,20,475,68
93,Sophie Harris,GK,Brighton,23,1994,3.6,117,101,117,0,0,0,117,0,0,,0,,52,484,390,0,0,0,0,0,37,0
94,Abigail Harrison,"FW,MF",Bristol City,20,1997,7.2,290,5,26,131,142,28,290,16,5,31.3,11,68.8,189,1032,433,13,9,8,33,24,204,65
95,Kerys Harrop,DF,Birmingham City,27,1990,18.1,1420,91,697,605,124,20,1420,7,5,71.4,2,28.6,688,4230,2602,15,4,2,18,15,849,22
96,Laura Hartley,GK,Brighton,,,1,44,38,44,0,0,0,44,0,0,,0,,18,120,83,0,0,0,0,0,18,0
97,Shania Hayles,"FW,MF",Birmingham City,18,1999,0.3,14,1,3,3,8,0,14,0,0,,0,,10,54,10,1,0,0,1,5,9,3
98,Amelia Hazard,"FW,MF",Arsenal,17,2000,0.3,16,0,2,4,10,2,16,0,0,,0,,11,40,13,1,0,1,3,4,12,2
99,Ann-Marie Heatherson,"MF,FW",Yeovil Town,34,1984,18.5,599,31,131,293,190,31,599,34,20,58.8,14,41.2,226,1589,690,21,17,4,41,14,302,48
100,Lauren Hemp,"FW,MF",Manchester City,17,2000,6.7,284,0,13,79,193,56,284,18,5,27.8,13,72.2,170,1080,327,17,11,13,31,16,217,75
101,Brooke Hendrix,DF,West Ham,25,1993,13.4,670,82,456,204,17,11,670,4,4,100,0,0,262,1206,682,2,1,0,6,3,330,0
102,Taylor Hinds,DF,Everton,18,1999,10.8,569,31,168,252,151,10,569,18,6,33.3,12,66.7,191,782,299,10,10,1,17,11,233,28
103,Ashley Hodson,"MF,FW",Liverpool,23,1995,1.2,33,1,5,17,11,0,33,1,1,100,0,0,20,116,43,1,1,0,5,1,19,6
104,Rakel Hönnudóttir,"FW,MF",Reading,29,1988,2.3,114,4,27,60,31,7,114,3,3,100,0,0,61,238,73,1,3,1,10,8,88,12
105,Bonnie Horwood,MF,Yeovil Town,31,1987,16.4,674,62,178,425,76,5,674,3,2,66.7,1,33.3,196,1112,197,3,11,0,23,13,338,10
106,Steph Houghton,DF,Manchester City,30,1988,20,1674,163,868,712,99,37,1674,10,7,70,3,30,886,4913,3297,10,7,0,10,8,1115,8
107,Marie Hourihan,GK,Brighton,31,1987,13.4,502,466,502,0,0,0,502,0,0,,0,,210,1425,979,0,2,0,0,0,156,0
108,Sophie Howard,"DF,MF",Reading,24,1993,4.4,336,24,151,158,27,2,336,2,2,100,0,0,134,660,365,5,2,1,4,3,148,2
109,Elise Hughes,FW,Everton,17,2001,4.4,158,1,5,66,90,21,158,3,1,33.3,2,66.7,92,355,132,4,4,2,18,6,108,23
110,Carla Humphrey,"MF,FW",Bristol City,21,1996,19.3,719,19,168,374,185,14,719,21,8,38.1,13,61.9,346,1806,668,10,12,1,42,29,431,50
111,Sophie Ingle,MF,Chelsea,26,1991,13.6,957,24,174,603,184,17,957,9,9,100,0,0,384,1671,789,6,11,0,4,5,572,18
112,Angharad James,MF,Everton,24,1994,18,941,29,245,545,160,12,941,8,5,62.5,3,37.5,356,1317,498,7,8,1,27,15,456,19
113,Rebecca Jane,DF,Reading,26,1992,4.1,252,12,102,113,38,4,252,1,1,100,0,0,89,417,282,6,2,1,6,1,123,6
114,Dominique Janssen,"MF,DF",Arsenal,23,1995,18.6,1232,34,332,696,209,22,1232,15,6,40,9,60,651,3153,1757,21,26,2,13,15,806,36
115,Simran Jhamat,"MF,FW",Liverpool,17,2001,0.5,18,0,5,8,5,1,18,1,1,100,0,0,8,21,3,0,0,0,3,1,9,2
116,Ali Johnson,DF,Bristol City,,,1.2,49,6,27,16,7,1,49,1,0,0,1,100,4,10,0,0,0,0,4,0,3,0
117,Inessa Kaagman,"MF,FW",Everton,22,1996,16.6,720,11,89,374,259,37,719,9,2,22.2,7,77.8,324,1339,416,10,8,1,31,16,477,71
118,Chloe Kelly,"MF,FW",Everton,20,1998,10.2,436,9,64,196,188,20,436,25,12,48,13,52,242,1484,725,28,27,6,45,16,264,54
119,Tabea Kemme,"FW,MF",Arsenal,26,1991,0,5,0,0,3,2,0,5,0,0,,0,,3,14,3,0,0,0,0,1,5,0
120,Juliette Kemppi,FW,Bristol City,24,1994,9.7,204,7,18,111,75,9,204,6,3,50,3,50,97,441,157,7,3,2,34,17,134,25
121,Danique Kerkdijk,DF,Bristol City,22,1996,17.3,654,121,426,217,13,7,654,0,0,,0,,244,1268,775,3,2,1,7,0,266,0
122,Leanne Kiernan,"FW,MF",West Ham,19,1999,10.2,413,1,31,179,211,41,413,29,12,41.4,17,58.6,243,1799,719,36,17,11,62,34,292,94
123,Fran Kirby,"FW,MF",Chelsea,25,1993,10.7,446,2,12,115,324,108,444,20,8,40,12,60,285,1693,744,38,16,26,21,23,349,121
124,Frances Kitching,GK,Liverpool,20,1998,6,168,149,168,0,0,0,168,0,0,,0,,67,559,386,0,1,1,1,0,42,0
125,Rosie Kmita,"FW,MF",West Ham,24,1994,2.5,139,3,19,58,62,9,139,6,0,0,6,100,79,271,152,5,2,2,17,5,81,26
126,Ava Kuyken,"MF,DF",Arsenal,17,2001,1.2,53,0,10,30,13,1,53,1,0,0,1,100,21,113,23,1,0,0,3,0,35,4
127,Hayley Ladd,MF,Birmingham City,24,1993,18.8,1035,43,292,595,157,11,1035,30,22,73.3,7,23.3,526,2889,1169,14,14,1,29,19,631,13
128,Melissa Lawley,FW,Manchester City,24,1994,2.4,86,1,5,36,47,12,86,9,4,44.4,5,55.6,53,435,159,11,4,5,6,6,67,23
129,Maya Le Tissier,MF,Brighton,16,2002,1.4,56,1,18,32,6,0,56,2,0,0,2,100,24,95,34,0,0,0,2,2,31,1
130,Jenna Legg,"MF,FW",Brighton,21,1997,1.2,39,2,8,24,7,0,39,0,0,,0,,15,48,9,0,0,0,4,1,23,4
131,Alisha Lehmann,"FW,MF",West Ham,19,1999,19.1,628,4,80,246,312,42,628,37,9,24.3,28,75.7,369,2361,890,41,24,14,66,34,425,125
132,Adriana Leon,"FW,MF",West Ham,25,1992,3.9,170,1,19,70,87,17,170,13,9,69.2,4,30.8,80,618,215,8,4,4,15,14,97,23
133,Kirstie Levell,GK,Everton,21,1997,20,811,671,806,5,0,0,811,0,0,,0,,372,2641,1685,0,0,0,0,0,311,0
134,Hedvig Lindahl,GK,Chelsea,35,1983,9,355,294,354,1,0,0,355,1,1,100,0,0,187,1073,668,0,0,0,1,0,182,0
135,Kirsty Linnett,FW,Liverpool,24,1993,8.3,280,9,27,139,119,18,280,16,3,18.8,13,81.3,155,584,149,6,8,1,36,24,181,41
136,Kim Little,MF,Arsenal,28,1990,13.6,896,18,119,428,354,64,893,24,16,66.7,8,33.3,535,2982,1342,35,28,12,21,24,663,87
137,Leandra Little,"DF,FW",Liverpool,33,1984,5,219,42,126,72,23,11,219,0,0,,0,,60,170,93,1,0,0,3,1,88,3
138,Kate Longhurst,"MF,DF",West Ham,29,1989,17.7,863,37,225,499,149,30,863,17,12,70.6,5,29.4,352,2168,854,22,15,2,31,19,527,33
139,Simone Magill,"FW,MF",Everton,23,1994,15.4,580,16,93,285,209,41,580,24,15,62.5,9,37.5,312,1664,538,23,12,4,56,35,353,78
140,Aoife Mannion,DF,Birmingham City,22,1995,20,1635,158,974,646,33,4,1633,19,15,78.9,4,21.1,966,6777,4358,15,12,0,16,13,1070,4
141,Ellie Mason,"DF,MF",Yeovil Town,22,1996,18.7,710,140,418,257,49,14,709,16,10,62.5,6,37.5,192,1016,523,7,9,0,21,12,224,8
142,Jasmine Matthews,DF,Liverpool,25,1993,9.9,470,64,310,154,11,7,470,5,4,80,1,20,179,879,522,1,2,1,1,2,194,1
143,Sarah Mayling,"FW,DF",Birmingham City,21,1997,9.3,510,8,99,235,181,7,510,8,5,62.5,3,37.5,205,963,464,17,12,1,22,13,303,52
144,Katie McCabe,"MF,FW",Arsenal,22,1995,17.5,979,18,153,445,386,55,979,37,17,45.9,20,54.1,489,2614,976,21,12,10,34,27,616,121
145,Rachel McLauchlan,"MF,DF",Yeovil Town,21,1997,7,331,30,147,136,54,8,331,15,7,46.7,8,53.3,126,822,447,13,8,3,19,7,119,12
146,Abbie McManus,DF,Manchester City,25,1993,10.1,847,19,228,425,199,17,847,8,6,75,2,25,337,1377,808,16,16,3,14,10,496,46
147,Beth Mead,"FW,MF",Arsenal,23,1995,16.9,878,3,51,257,576,107,878,55,25,45.5,30,54.5,506,3333,1680,67,26,46,54,41,589,225
148,Vivianne Miedema,FW,Arsenal,22,1996,19.8,845,7,25,221,602,199,845,42,24,57.1,17,40.5,482,2480,848,39,15,30,54,49,638,188
149,Emma Mitchell,DF,Arsenal,25,1992,9,725,21,214,377,138,4,725,9,5,55.6,4,44.4,307,1579,1047,20,21,1,2,4,439,31
150,Maren Mjelde,"DF,MF",Chelsea,28,1989,6.2,448,12,135,264,51,6,448,7,3,42.9,4,57.1,243,1530,861,6,6,0,6,1,305,8
151,Grace Moloney,GK,Reading,25,1993,20,774,651,763,10,1,0,774,1,1,100,0,0,347,2305,1843,0,1,0,1,0,286,0
152,Jade Moore,"MF,FW",Reading,27,1990,10.8,546,21,94,282,173,37,546,13,8,61.5,5,38.5,241,1325,400,10,8,2,22,17,315,31
153,Anna Moorhouse,GK,West Ham,23,1995,8.9,460,377,459,0,1,0,460,0,0,,0,,264,1720,1144,0,0,0,1,0,228,0
154,Esme Morgan,DF,Manchester City,17,2000,5.3,431,15,103,215,116,5,431,5,3,60,1,20,152,523,254,5,5,0,13,3,236,18
155,Christie Murray,MF,Liverpool,28,1990,14.4,641,14,108,372,168,17,641,11,2,18.2,9,81.8,272,1291,491,7,9,1,20,19,334,30
156,Satara Murray,DF,Liverpool,25,1993,14,782,41,305,348,136,6,782,15,9,60,6,40,294,1781,833,14,6,1,27,16,288,9
157,Nadia Nadim,FW,Manchester City,30,1988,1.9,76,0,2,29,45,13,76,3,0,0,3,100,38,183,45,1,2,0,6,4,58,10
158,Kate Natkiel,"FW,MF",Brighton,25,1992,8.4,285,2,61,141,89,4,285,10,5,50,5,50,137,787,359,8,7,0,17,10,181,42
159,Amanda Nildén,"DF,MF",Brighton,19,1998,1.6,60,5,26,27,8,2,60,3,1,33.3,2,66.7,23,177,24,0,0,0,4,1,29,4
160,Jordan Nobbs,"MF,FW",Arsenal,25,1992,7.8,475,0,27,215,235,50,475,11,8,72.7,3,27.3,242,1177,406,10,9,3,21,17,366,75
161,Mayumi Pacheco,DF,Reading,19,1998,14,883,25,263,416,211,12,883,15,5,33.3,10,66.7,307,1338,768,13,6,2,41,17,345,28
162,Jessica Park,"FW,MF",Manchester City,16,2001,0.4,12,0,1,3,8,4,12,0,0,,0,,6,23,2,0,0,0,0,0,7,2
163,Nikita Parris,FW,Manchester City,24,1994,17.7,748,9,31,251,478,136,744,38,20,52.6,18,47.4,465,3108,1199,45,18,31,74,27,556,182
164,Poppy Pattinson,DF,Bristol City,18,2000,18.8,998,67,400,429,176,7,998,13,2,15.4,11,84.6,290,1637,845,14,16,4,36,16,296,31
165,Heather Payne,"FW,MF",Bristol City,18,2000,2.7,100,3,16,47,38,5,100,4,1,25,3,75,42,309,88,2,2,1,9,6,50,14
166,Kirsty Pearce,DF,Reading,,,16.9,1198,82,580,594,33,6,1198,6,6,100,0,0,613,3588,2717,12,4,0,15,5,738,2
167,Chloe Peplow,MF,Brighton,19,1998,12.2,611,22,147,353,117,3,611,10,7,70,3,30,262,1457,447,7,6,0,26,14,340,23
168,Ria Percival,"DF,MF",West Ham,28,1989,15.2,1076,42,397,505,183,4,1076,11,6,54.5,5,45.5,329,1731,791,13,9,0,26,13,457,14
169,Sophie Perry,"DF,MF",Brighton,31,1986,4.6,196,18,86,60,51,4,196,2,2,100,0,0,63,280,145,5,6,1,7,4,74,13
170,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,443,388,440,3,0,0,443,1,1,100,0,0,267,1704,1045,0,0,0,1,0,198,0
171,Liberty Piggott,FW,Yeovil Town,20,1997,0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1
172,Jo Potter,DF,Reading,33,1984,16,1214,81,560,602,63,2,1214,7,5,71.4,2,28.6,608,4086,2964,19,5,1,5,5,709,1
173,Anke Preuß,GK,Liverpool,25,1992,14,405,382,405,0,0,0,405,0,0,,0,,143,1276,998,0,0,0,0,0,99,0
174,Jemma Purfield,DF,Liverpool,21,1997,6,320,21,140,146,37,0,320,2,0,0,2,100,102,434,214,2,4,0,5,0,104,2
175,Louise Quinn,DF,Arsenal,28,1990,17.2,1275,79,635,615,29,18,1275,1,1,100,0,0,768,4485,2804,6,4,0,7,2,904,3
176,Lucy Quinn,"FW,MF",Birmingham City,24,1993,6.5,284,2,22,133,133,12,284,21,11,52.4,10,47.6,167,1057,402,15,8,2,22,16,210,43
177,Claire Rafferty,DF,West Ham,29,1989,11.6,753,31,293,296,169,5,753,13,5,38.5,8,61.5,219,1129,588,18,14,0,21,9,301,21
178,Laura Rafferty,DF,Brighton,22,1996,13,604,80,411,179,19,6,604,5,4,80,1,20,270,1319,836,7,3,1,7,6,314,1
179,Lucienne Reichardt,"MF,DF",West Ham,27,1991,8.6,329,21,148,158,26,4,329,9,7,77.8,2,22.2,106,467,209,0,1,0,5,3,150,2
