Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_T/O,Succ_T/O,Succ%_T/O,Tkld_T/O,Tkld%_T/O,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,"PrgR
▼"
1,Shannon Albuery,"FW,MF",Yeovil Town,,,3.6,86,3,11,44,32,9,86,4,2,50,2,50,35,152,29,1,3,2,10,3,49,13
2,Megan Alexander,DF,Yeovil Town,24,1993,20,866,87,395,322,152,2,866,7,3,42.9,4,57.1,212,1414,715,19,11,1,21,6,288,13
3,Flo Allen,DF,Bristol City,18,1999,1.5,110,7,35,65,10,0,110,0,0,,0,,21,75,32,0,0,0,7,1,35,0
4,Remi Allen,MF,Reading,27,1990,18.4,901,28,217,505,190,39,901,13,8,61.5,5,38.5,399,1800,621,12,10,2,30,22,513,54
5,Jonna Andersson,DF,Chelsea,25,1993,16.7,1273,24,293,555,430,31,1273,15,7,46.7,8,53.3,532,2939,1574,45,31,9,20,19,685,122
6,Janni Arnth,DF,Arsenal,31,1986,2.8,221,18,93,88,41,4,221,0,0,,0,,138,709,496,4,2,0,1,0,162,16
7,Chloe Arthur,MF,Birmingham City,23,1995,15.8,880,15,186,543,158,11,880,22,15,68.2,7,31.8,456,2856,1381,24,27,1,39,41,597,25
8,Anita Asante,DF,Chelsea,33,1985,2.2,160,2,75,80,5,0,160,0,0,,0,,95,625,439,0,1,0,0,0,119,0
9,Rosella Ayane,"FW,MF",Bristol City,22,1996,8.8,309,2,25,161,129,19,309,20,11,55,9,45,180,1101,357,10,12,7,53,24,195,47
10,Rinsola Babajide,"MF,FW",Liverpool,20,1998,11.1,436,7,76,224,153,31,436,41,26,63.4,15,36.6,274,2294,1095,39,24,14,57,32,255,60
11,Ramona Bachmann,"FW,MF",Chelsea,27,1990,11.9,523,2,43,161,325,67,523,39,22,56.4,17,43.6,348,2431,1245,51,24,20,35,21,422,131
12,Sophie Baggaley,GK,Bristol City,21,1996,20,973,769,961,12,0,0,973,0,0,,0,,435,4373,3498,0,1,1,2,0,297,0
13,Jade Bailey,"MF,FW",Reading,22,1995,3.2,205,7,50,118,38,9,205,0,0,,0,,93,391,113,1,0,0,2,6,130,14
14,Jade Bailey,MF,Chelsea,22,1995,0.3,23,0,0,11,12,0,23,0,0,,0,,16,44,24,0,0,0,0,0,18,1
15,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,1.1,33,0,2,10,21,3,33,2,2,100,0,0,19,113,54,2,1,0,3,3,23,7
16,Karen Bardsley,GK,Manchester City,33,1984,5,170,139,170,0,0,0,170,0,0,,0,,78,584,439,0,0,0,0,0,69,0
17,Kirsty Barton,DF,Brighton,26,1992,15,996,51,423,444,141,1,996,9,5,55.6,4,44.4,318,1689,802,7,6,0,20,4,417,19
18,Molly Bartrip,"DF,MF",Reading,22,1996,8.4,521,39,220,278,24,3,521,0,0,,0,,238,1156,596,3,2,0,4,5,307,2
19,Jennifer Beattie,DF,Manchester City,27,1991,17,1409,99,701,678,35,25,1409,7,5,71.4,2,28.6,769,2834,1613,4,2,0,9,7,977,0
20,Janine Beckie,FW,Manchester City,23,1994,3.2,169,4,19,58,96,16,169,9,5,55.6,4,44.4,88,780,298,10,6,5,16,12,128,33
21,Ann-Katrin Berger,GK,Chelsea,27,1990,1,51,32,51,0,0,0,51,0,0,,0,,38,146,87,0,0,0,0,0,41,0
22,Ann-Katrin Berger,GK,Birmingham City,27,1990,8,392,351,390,2,0,0,392,2,2,100,0,0,222,1317,762,0,1,0,0,0,209,0
23,Julie Biesmans,MF,Bristol City,24,1994,20,689,56,231,364,104,2,689,6,4,66.7,2,33.3,212,1006,486,8,9,1,18,11,253,13
24,Annabel Blanchard,FW,Liverpool,17,2001,0.1,4,0,0,3,1,1,4,0,0,,0,,1,1,0,0,0,0,0,0,1,0
25,Erin Bloomfield,"FW,MF",Yeovil Town,,,5,123,2,7,68,48,7,123,7,3,42.9,4,57.1,62,297,53,0,3,1,20,12,79,17
26,Hannah Blundell,"DF,FW",Chelsea,24,1994,13.3,1049,17,223,517,316,30,1049,20,11,55,9,45,510,3093,1856,54,24,8,23,11,639,79
27,Missy Bo Kearns,"MF,FW",Liverpool,17,2001,0.2,8,0,2,4,2,0,8,0,0,,0,,3,8,7,0,0,0,0,0,3,0
28,Gemma Bonner,DF,Manchester City,27,1991,14.5,1125,55,391,502,233,23,1125,14,6,42.9,8,57.1,420,1671,886,7,7,2,18,11,625,33
29,Chantelle Boye-Hlorkah,"FW,DF",Everton,22,1995,10.5,521,14,93,234,204,34,521,33,16,48.5,17,51.5,220,1717,858,31,27,7,21,29,271,54
30,Sophie Bradley,DF,Liverpool,28,1989,20,1036,184,703,310,29,7,1036,1,1,100,0,0,352,1892,1054,2,5,0,4,2,414,0
31,Ellie Brazil,"FW,MF",Brighton,19,1999,15.8,633,15,117,308,223,42,633,25,9,36,16,64,273,1803,700,23,22,8,37,31,346,75
32,Pauline Bremer,FW,Manchester City,22,1996,1.3,53,0,3,16,35,11,53,1,1,100,0,0,28,149,24,1,3,1,2,4,39,18
33,Jodie Brett,MF,Brighton,22,1996,6.2,246,6,50,118,78,10,246,6,2,33.3,4,66.7,104,366,94,1,5,0,10,10,149,20
