Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Leah Williamson,DF,Arsenal,21,1997,17.8,1,8,2,25,0.45,0.11,0.13,0.5,14.7,0,0,0,0.8,0.8,0.1,0.2,0.2
2,Lia Wälti,MF,Arsenal,25,1993,11.8,0,7,1,14.3,0.6,0.09,0,0,21.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
3,Katrine Veje,"DF,FW",Arsenal,27,1991,6.9,0,6,2,33.3,0.87,0.29,0,0,18.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
4,Sari van Veenendaal,GK,Arsenal,28,1990,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
5,Viktoria Schnaderbeck,"MF,DF",Arsenal,27,1991,1.2,0,2,1,50,1.73,0.87,0,0,18,0,0,0,0.1,0.1,0.06,-0.1,-0.1
6,Jessica Samuelsson,DF,Arsenal,26,1992,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
7,Louise Quinn,DF,Arsenal,28,1990,17.2,1,14,3,21.4,0.82,0.17,0.07,0.33,9.3,0,0,0,1.5,1.5,0.11,-0.5,-0.5
8,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,Jordan Nobbs,"MF,FW",Arsenal,25,1992,7.8,9,36,21,58.3,4.6,2.68,0.25,0.43,18.2,0,0,0,4.7,4.7,0.13,4.3,4.3
10,Emma Mitchell,DF,Arsenal,25,1992,9,1,4,1,25,0.44,0.11,0.25,1,21.1,1,0,0,0.2,0.2,0.06,0.8,0.8
11,Vivianne Miedema,FW,Arsenal,22,1996,19.8,22,108,54,50,5.46,2.73,0.2,0.41,13.8,1,0,0,14.6,14.6,0.14,7.4,7.4
12,Beth Mead,"FW,MF",Arsenal,23,1995,16.9,7,36,17,47.2,2.13,1.01,0.19,0.41,17.2,0,0,0,3.5,3.5,0.1,3.5,3.5
13,Katie McCabe,"MF,FW",Arsenal,22,1995,17.5,5,42,17,40.5,2.4,0.97,0.12,0.29,19.7,1,0,0,4.2,4.2,0.1,0.8,0.8
