Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
14,Kim Little,MF,Arsenal,28,1990,13.6,8,19,11,57.9,1.4,0.81,0.26,0.45,16.4,1,3,3,5,2.7,0.14,3,2.3
15,Ava Kuyken,"MF,DF",Arsenal,17,2001,1.2,0,1,1,100,0.83,0.83,0,0,20.6,0,0,0,0,0,0.05,0,0
16,Tabea Kemme,"FW,MF",Arsenal,26,1991,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
17,Dominique Janssen,"MF,DF",Arsenal,23,1995,18.6,3,27,5,18.5,1.45,0.27,0.11,0.6,21.4,7,0,0,2.3,2.3,0.09,0.7,0.7
18,Amelia Hazard,"FW,MF",Arsenal,17,2000,0.3,0,1,0,0,3.91,0,0,,17,0,0,0,0.1,0.1,0.05,-0.1,-0.1
19,Ruby Grant,"MF,FW",Arsenal,16,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
20,Melisa Filis,FW,Arsenal,16,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
21,Lisa Evans,"DF,FW",Arsenal,26,1992,15.7,1,7,3,42.9,0.45,0.19,0.14,0.33,16,0,0,0,1,1,0.14,0,0
22,Daniëlle van de Donk,"MF,FW",Arsenal,26,1991,17.6,11,38,18,47.4,2.15,1.02,0.26,0.56,15.1,0,1,1,7.4,6.6,0.19,3.6,3.4
23,Danielle Carter,"FW,MF",Arsenal,25,1993,0.9,0,5,0,0,5.36,0,0,,22.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
24,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,1.1,0,1,0,0,0.88,0,0,,13.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
25,Janni Arnth,DF,Arsenal,31,1986,2.8,1,2,1,50,0.7,0.35,0.5,1,9,0,0,0,0.5,0.5,0.23,0.5,0.5
26,Paige Williams,DF,Birmingham City,23,1995,11.5,0,6,2,33.3,0.52,0.17,0,0,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
27,Ellen White,FW,Birmingham City,29,1989,7.2,6,30,14,46.7,4.17,1.95,0.2,0.43,13.7,0,0,0,4.8,4.8,0.16,1.2,1.2
28,Charlie Wellings,"FW,MF",Birmingham City,20,1998,17.6,3,49,21,42.9,2.78,1.19,0.06,0.14,22.3,0,0,0,2.5,2.5,0.05,0.5,0.5
29,Claudia Walker,"FW,MF",Birmingham City,22,1996,3.2,0,9,4,44.4,2.84,1.26,0,0,22.2,0,0,0,0.9,0.9,0.1,-0.9,-0.9
30,Lucy Staniforth,"MF,FW",Birmingham City,25,1992,18,2,44,16,36.4,2.45,0.89,0.05,0.13,26.6,5,0,0,3.2,3.2,0.07,-1.2,-1.2
31,Harriet Scott,DF,Birmingham City,25,1993,11.4,0,11,2,18.2,0.97,0.18,0,0,20.1,0,0,0,0.8,0.7,0.07,-0.8,-0.7
32,Connie Scofield,MF,Birmingham City,19,1999,3.5,1,0,0,,0,0,,,,0,0,0,0,0,,0,0
33,Meaghan Sargeant,DF,Birmingham City,24,1994,16.9,3,10,5,50,0.59,0.3,0.3,0.6,9.5,0,0,0,1.1,1.1,0.11,1.9,1.9
34,Lucy Quinn,"FW,MF",Birmingham City,24,1993,6.5,1,16,4,25,2.47,0.62,0.06,0.25,18.3,0,0,0,1.4,1.4,0.09,-0.4,-0.4
35,Sarah Mayling,"FW,DF",Birmingham City,21,1997,9.3,0,5,2,40,0.54,0.22,0,0,22.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
36,Aoife Mannion,DF,Birmingham City,22,1995,20,2,2,1,50,0.1,0.05,0.5,1,31.2,0,1,2,1.7,0.1,0.07,0.3,0.9
37,Hayley Ladd,MF,Birmingham City,24,1993,18.8,2,15,5,33.3,0.8,0.27,0.13,0.4,24.4,2,0,0,0.7,0.7,0.05,1.3,1.3
38,Shania Hayles,"FW,MF",Birmingham City,18,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
39,Kerys Harrop,DF,Birmingham City,27,1990,18.1,2,11,3,27.3,0.61,0.17,0.18,0.67,7,0,0,0,1.7,1.7,0.15,0.3,0.3
40,Hannah Hampton,GK,Birmingham City,17,2000,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
41,Emma Follis,"FW,MF",Birmingham City,26,1992,15.3,4,22,12,54.5,1.44,0.78,0.18,0.33,17,0,0,0,3.9,3.9,0.18,0.1,0.1
42,Marisa Ewers,MF,Birmingham City,29,1989,6.6,0,5,0,0,0.75,0,0,,19,0,0,0,0.4,0.4,0.08,-0.4,-0.4
43,Ann-Katrin Berger,GK,Birmingham City,27,1990,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
44,Chloe Arthur,MF,Birmingham City,23,1995,15.8,1,18,4,22.2,1.14,0.25,0.06,0.25,24.8,0,0,0,1,1,0.05,0,0
45,Victoria Williams,DF,Brighton,28,1990,19,2,10,3,30,0.53,0.16,0.2,0.67,13.4,0,0,0,1.1,1.1,0.11,0.9,0.9
46,Fern Whelan,"DF,MF",Brighton,29,1988,6.8,0,3,1,33.3,0.44,0.15,0,0,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
47,Aileen Whelan,"MF,FW",Brighton,26,1991,19.1,1,32,11,34.4,1.67,0.57,0.03,0.09,21.2,0,0,0,1.8,1.8,0.06,-0.8,-0.8
48,Iniabasi Umotong,FW,Brighton,24,1994,13.7,2,38,12,31.6,2.76,0.87,0.05,0.17,16.4,0,0,0,3.5,3.5,0.09,-1.5,-1.5
49,Emily Simpkins,MF,Brighton,28,1990,2.8,0,4,1,25,1.41,0.35,0,0,15.6,0,0,0,0.7,0.7,0.17,-0.7,-0.7
50,Bethan Roe,DF,Brighton,18,1999,2,0,1,1,100,0.5,0.5,0,0,11.3,0,0,0,0.1,0.1,0.1,-0.1,-0.1
51,Laura Rafferty,DF,Brighton,22,1996,13,1,4,2,50,0.31,0.15,0.25,0.5,11,0,0,0,1.1,1.1,0.27,-0.1,-0.1
52,Sophie Perry,"DF,MF",Brighton,31,1986,4.6,0,3,1,33.3,0.66,0.22,0,0,20.1,1,0,0,0.5,0.5,0.15,-0.5,-0.5
53,Chloe Peplow,MF,Brighton,19,1998,12.2,0,10,1,10,0.82,0.08,0,0,24.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
54,Amanda Nildén,"DF,MF",Brighton,19,1998,1.6,1,1,1,100,0.61,0.61,1,1,15.4,0,0,0,0.1,0.1,0.06,0.9,0.9
55,Kate Natkiel,"FW,MF",Brighton,25,1992,8.4,0,8,2,25,0.95,0.24,0,0,21.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4
56,Jenna Legg,"MF,FW",Brighton,21,1997,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
57,Maya Le Tissier,MF,Brighton,16,2002,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
58,Marie Hourihan,GK,Brighton,31,1987,13.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
59,Laura Hartley,GK,Brighton,,,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
60,Sophie Harris,GK,Brighton,23,1994,3.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
61,Eleanor Hack,DF,Brighton,16,2002,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
62,Kayleigh Green,"MF,FW",Brighton,30,1988,17.1,2,27,13,48.1,1.58,0.76,0.07,0.15,20.9,0,0,0,3.1,3.1,0.12,-1.1,-1.1
63,Lucy Gillett,GK,Brighton,,,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
64,Felicity Gibbons,DF,Brighton,24,1994,15.7,0,5,1,20,0.32,0.06,0,0,16.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3
65,Megan Connolly,MF,Brighton,21,1997,6,1,11,4,36.4,1.83,0.67,0.09,0.25,19.7,2,0,0,1.1,1.1,0.1,-0.1,-0.1
66,Danielle Buet,"MF,DF",Brighton,29,1988,17.3,1,19,5,26.3,1.1,0.29,0.05,0.2,27.5,1,0,0,0.8,0.8,0.04,0.2,0.2
67,Jodie Brett,MF,Brighton,22,1996,6.2,1,8,4,50,1.28,0.64,0.13,0.25,18.3,0,0,0,1.4,1.4,0.17,-0.4,-0.4
68,Ellie Brazil,"FW,MF",Brighton,19,1999,15.8,4,22,10,45.5,1.39,0.63,0.18,0.4,14.4,0,0,0,3.8,3.8,0.17,0.2,0.2
69,Kirsty Barton,DF,Brighton,26,1992,15,0,3,1,33.3,0.2,0.07,0,0,30.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
70,Jessica Wooley,MF,Bristol City,17,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
71,Poppy Wilson,MF,Bristol City,18,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
72,Ella Rutherford,"FW,MF",Bristol City,18,2000,16.2,2,27,10,37,1.67,0.62,0.07,0.2,21.2,4,0,0,2.7,2.7,0.1,-0.7,-0.7
73,Katie Rood,"FW,MF",Bristol City,25,1992,1.2,1,1,1,100,0.84,0.84,1,1,11.2,0,0,0,0.4,0.4,0.38,0.6,0.6
74,Katie Robinson,FW,Bristol City,15,2002,1.1,0,3,0,0,2.65,0,0,,9.6,0,0,0,0.5,0.5,0.17,-0.5,-0.5
75,Heather Payne,"FW,MF",Bristol City,18,2000,2.7,0,3,0,0,1.12,0,0,,11.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
76,Poppy Pattinson,DF,Bristol City,18,2000,18.8,0,5,1,20,0.27,0.05,0,0,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
77,Danique Kerkdijk,DF,Bristol City,22,1996,17.3,2,8,5,62.5,0.46,0.29,0.25,0.4,18.1,1,0,0,1.5,1.5,0.19,0.5,0.5
78,Juliette Kemppi,FW,Bristol City,24,1994,9.7,1,7,4,57.1,0.72,0.41,0.14,0.25,23,0,0,0,0.6,0.6,0.09,0.4,0.4
79,Ali Johnson,DF,Bristol City,,,1.2,0,1,0,0,0.85,0,0,,36.9,1,0,0,0,0,0.04,0,0
80,Carla Humphrey,"MF,FW",Bristol City,21,1996,19.3,0,21,4,19,1.09,0.21,0,0,23.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
81,Abigail Harrison,"FW,MF",Bristol City,20,1997,7.2,0,10,7,70,1.39,0.98,0,0,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5
82,Lucy Graham,"MF,FW",Bristol City,21,1996,19,7,37,16,43.2,1.95,0.84,0.14,0.31,22.5,0,2,2,4.5,2.9,0.08,2.5,2.1
83,Gemma Evans,DF,Bristol City,21,1996,17.1,1,2,1,50,0.12,0.06,0.5,1,10.8,0,0,0,0.4,0.4,0.19,0.6,0.6
84,Loren Dykes,DF,Bristol City,30,1988,19,0,2,0,0,0.11,0,0,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
85,Frankie Brown,"DF,MF",Bristol City,30,1987,19,0,1,0,0,0.05,0,0,,30.1,0,0,0,0,0,0.02,0,0
86,Julie Biesmans,MF,Bristol City,24,1994,20,0,9,5,55.6,0.45,0.25,0,0,27.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4
87,Sophie Baggaley,GK,Bristol City,21,1996,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
88,Rosella Ayane,"FW,MF",Bristol City,22,1996,8.8,1,16,9,56.3,1.81,1.02,0.06,0.11,20.7,0,0,0,1,1,0.07,0,0
89,Flo Allen,DF,Bristol City,18,1999,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
90,Maria Thorisdottir,"MF,DF",Chelsea,25,1993,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
91,Carly Telford,GK,Chelsea,31,1987,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
92,Drew Spence,MF,Chelsea,25,1992,13.4,1,35,12,34.3,2.61,0.9,0.03,0.08,15.6,0,0,0,3.8,3.8,0.11,-2.8,-2.8
93,Ji So-yun,MF,Chelsea,27,1991,15.9,6,42,18,42.9,2.64,1.13,0.14,0.33,19.9,3,0,0,3.5,3.5,0.08,2.5,2.5
94,Ali Riley,"DF,FW",Chelsea,30,1987,3.9,0,3,1,33.3,0.77,0.26,0,0,15.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
95,Maren Mjelde,"DF,MF",Chelsea,28,1989,6.2,0,6,2,33.3,0.96,0.32,0,0,26.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2
96,Hedvig Lindahl,GK,Chelsea,35,1983,9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
97,Fran Kirby,"FW,MF",Chelsea,25,1993,10.7,9,51,23,45.1,4.75,2.14,0.14,0.3,15.6,0,2,2,7.8,6.3,0.12,1.2,0.7
98,Sophie Ingle,MF,Chelsea,26,1991,13.6,0,16,5,31.3,1.18,0.37,0,0,18.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7
99,Magdalena Eriksson,DF,Chelsea,24,1993,19,2,29,8,27.6,1.53,0.42,0.07,0.25,13.7,2,0,0,2.7,2.7,0.09,-0.7,-0.7
100,Adelina Engman,"FW,MF",Chelsea,23,1994,4.3,2,10,4,40,2.35,0.94,0.2,0.5,12.2,0,0,0,1.3,1.3,0.13,0.7,0.7
101,Bethany England,FW,Chelsea,24,1994,12,12,58,23,39.7,4.85,1.92,0.21,0.52,13.9,0,0,0,9.2,9.2,0.16,2.8,2.8
102,Erin Cuthbert,"FW,MF",Chelsea,20,1998,15.5,8,58,20,34.5,3.74,1.29,0.14,0.4,20,2,0,0,4.8,4.8,0.08,3.2,3.2
103,Deanna Cooper,DF,Chelsea,25,1993,2.5,0,1,1,100,0.39,0.39,0,0,20.9,0,0,0,0,0,0.04,0,0
104,Jess Carter,"DF,MF",Chelsea,20,1997,8.5,0,2,0,0,0.24,0,0,,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
105,Karen Carney,"FW,MF",Chelsea,30,1987,10.9,1,17,7,41.2,1.55,0.64,0.06,0.14,19.9,3,0,1,2.2,1.4,0.08,-1.2,-0.4
106,Millie Bright,DF,Chelsea,24,1993,15.8,1,29,7,24.1,1.84,0.44,0.03,0.14,21.1,0,0,0,2,2,0.07,-1,-1
107,Hannah Blundell,"DF,FW",Chelsea,24,1994,13.3,1,16,8,50,1.2,0.6,0.06,0.13,16.8,0,0,0,1,1,0.07,0,0
108,Ann-Katrin Berger,GK,Chelsea,27,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
109,Jade Bailey,MF,Chelsea,22,1995,0.3,0,1,1,100,3,3,0,0,30.3,0,0,0,0,0,0.03,0,0
110,Ramona Bachmann,"FW,MF",Chelsea,27,1990,11.9,3,36,16,44.4,3.04,1.35,0.08,0.19,15.4,0,0,0,4,4,0.12,-1,-1
111,Anita Asante,DF,Chelsea,33,1985,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
112,Jonna Andersson,DF,Chelsea,25,1993,16.7,0,14,3,21.4,0.84,0.18,0,0,19.8,1,0,0,0.8,0.8,0.06,-0.8,-0.8
113,Siri Worm,DF,Everton,26,1992,9.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
114,Claudia Walker,FW,Everton,22,1996,4.6,1,14,6,42.9,3.04,1.3,0.07,0.17,17.9,0,0,0,1.3,1.3,0.09,-0.3,-0.3
115,Danielle Turner,"DF,MF",Everton,27,1991,12.5,0,6,2,33.3,0.48,0.16,0,0,26.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
116,Abbey-Leigh Stringer,MF,Everton,23,1995,13,1,5,1,20,0.38,0.08,0.2,1,21,0,0,0,0.4,0.4,0.07,0.6,0.6
117,Simone Magill,"FW,MF",Everton,23,1994,15.4,2,15,8,53.3,0.97,0.52,0.13,0.25,15.3,0,0,0,1.4,1.4,0.09,0.6,0.6
118,Kirstie Levell,GK,Everton,21,1997,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
119,Chloe Kelly,"MF,FW",Everton,20,1998,10.2,1,27,10,37,2.65,0.98,0.04,0.1,23,1,0,0,2,2,0.07,-1,-1
120,Inessa Kaagman,"MF,FW",Everton,22,1996,16.6,4,43,15,34.9,2.59,0.9,0.09,0.27,22.1,5,0,1,4.4,3.6,0.08,-0.4,0.4
121,Angharad James,MF,Everton,24,1994,18,0,18,4,22.2,1,0.22,0,0,23.2,0,0,0,1.9,1.9,0.1,-1.9,-1.9
122,Elise Hughes,FW,Everton,17,2001,4.4,0,7,3,42.9,1.6,0.69,0,0,9.9,0,0,0,1.2,1.2,0.21,-1.2,-1.2
123,Taylor Hinds,DF,Everton,18,1999,10.8,0,11,1,9.1,1.02,0.09,0,0,22.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8
124,Gabrielle George,DF,Everton,21,1997,15.2,1,18,5,27.8,1.18,0.33,0.06,0.2,25.2,0,0,0,0.9,0.9,0.05,0.1,0.1
125,Megan Finnigan,"DF,MF",Everton,20,1998,18.4,0,10,3,30,0.54,0.16,0,0,14.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1
126,Olivia Chance,MF,Everton,24,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
127,Hannah Cain,"FW,MF",Everton,19,1999,6.8,2,19,11,57.9,2.8,1.62,0.11,0.18,17.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5
128,Faye Bryson,"DF,MF",Everton,21,1997,5.9,0,2,0,0,0.34,0,0,,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
129,Dominique Bruinenberg,MF,Everton,25,1993,6.8,0,8,2,25,1.17,0.29,0,0,23.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
130,Emma Brownlie,"DF,MF",Everton,24,1993,5,0,1,0,0,0.2,0,0,,10,0,0,0,0.1,0.1,0.08,-0.1,-0.1
131,Georgia Brougham,DF,Everton,22,1996,16.2,0,4,0,0,0.25,0,0,,13.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
132,Chantelle Boye-Hlorkah,"FW,DF",Everton,22,1995,10.5,3,28,10,35.7,2.66,0.95,0.11,0.3,18.2,0,0,0,2.3,2.3,0.08,0.7,0.7
133,Lauren Thomas,"MF,FW",Liverpool,,,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
134,Courtney Sweetman-Kirk,"FW,MF",Liverpool,27,1990,14.9,10,31,16,51.6,2.08,1.07,0.23,0.44,16.2,0,3,3,8.5,6.2,0.21,1.5,0.8
135,Amy Rodgers,"MF,DF",Liverpool,18,2000,9.3,1,5,3,60,0.54,0.32,0.2,0.33,20.7,0,0,0,1,1,0.2,0,0
136,Rhiannon Roberts,"MF,DF",Liverpool,27,1990,5.7,0,3,1,33.3,0.53,0.18,0,0,20.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
137,Leigh-Anne Robe,DF,Liverpool,24,1993,19,0,3,1,33.3,0.16,0.05,0,0,31.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
138,Jemma Purfield,DF,Liverpool,21,1997,6,0,1,0,0,0.17,0,0,,20.5,0,0,0,0,0,0.03,0,0
139,Anke Preuß,GK,Liverpool,25,1992,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
140,Satara Murray,DF,Liverpool,25,1993,14,0,1,0,0,0.07,0,0,,13.4,0,0,0,0,0,0.04,0,0
141,Christie Murray,MF,Liverpool,28,1990,14.4,0,14,5,35.7,0.97,0.35,0,0,25.4,1,0,0,0.5,0.5,0.04,-0.5,-0.5
142,Jasmine Matthews,DF,Liverpool,25,1993,9.9,0,1,0,0,0.1,0,0,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
143,Leandra Little,"DF,FW",Liverpool,33,1984,5,0,6,2,33.3,1.19,0.4,0,0,12.6,0,0,0,0.6,0.6,0.1,-0.6,-0.6
144,Kirsty Linnett,FW,Liverpool,24,1993,8.3,1,10,4,40,1.2,0.48,0.1,0.25,20.2,0,0,0,1,1,0.1,0,0
145,Frances Kitching,GK,Liverpool,20,1998,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
146,Simran Jhamat,"MF,FW",Liverpool,17,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
147,Ashley Hodson,"MF,FW",Liverpool,23,1995,1.2,1,1,1,100,0.86,0.86,1,1,20.8,0,0,0,0.5,0.5,0.47,0.5,0.5
148,Niamh Fahey,"MF,DF",Liverpool,30,1987,14.2,0,4,0,0,0.28,0,0,,16,0,0,0,0.3,0.3,0.07,-0.3,-0.3
149,Yana Daniels,"MF,FW",Liverpool,26,1992,7.9,1,8,2,25,1.01,0.25,0.13,0.5,17.7,0,0,0,0.5,0.5,0.07,0.5,0.5
150,Laura Coombs,MF,Liverpool,27,1991,19.9,0,34,8,23.5,1.71,0.4,0,0,25,2,0,0,1.4,1.4,0.04,-1.4,-1.4
151,Jessica Clarke,"FW,MF",Liverpool,29,1989,11.3,2,24,12,50,2.12,1.06,0.08,0.17,16.4,0,0,0,2.8,2.8,0.12,-0.8,-0.8
152,Niamh Charles,"FW,MF",Liverpool,19,1999,6.4,1,11,6,54.5,1.71,0.93,0.09,0.17,15.3,0,0,0,2.7,2.7,0.25,-1.7,-1.7
153,Sophie Bradley,DF,Liverpool,28,1989,20,0,6,1,16.7,0.3,0.05,0,0,20,0,0,0,0.4,0.4,0.07,-0.4,-0.4
154,Missy Bo Kearns,"MF,FW",Liverpool,17,2001,0.2,0,1,1,100,6.43,6.43,0,0,26.9,0,0,0,0,0,0.03,0,0
155,Annabel Blanchard,FW,Liverpool,17,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
156,Rinsola Babajide,"MF,FW",Liverpool,20,1998,11.1,4,26,12,46.2,2.34,1.08,0.15,0.33,22.4,0,0,0,2.7,2.7,0.1,1.3,1.3
157,Tessa Wullaert,"FW,MF",Manchester City,25,1993,13.9,3,31,9,29,2.23,0.65,0.1,0.33,20.2,0,0,0,1.7,1.7,0.06,1.3,1.3
158,Caroline Weir,"MF,FW",Manchester City,23,1995,15,5,35,17,48.6,2.34,1.14,0.14,0.29,20.2,4,0,0,3.9,3.9,0.11,1.1,1.1
159,Keira Walsh,MF,Manchester City,21,1997,19,1,11,3,27.3,0.58,0.16,0.09,0.33,25.9,0,0,0,0.4,0.4,0.03,0.6,0.6
160,Demi Stokes,DF,Manchester City,26,1991,10.2,1,3,2,66.7,0.3,0.2,0.33,0.5,14.5,0,0,0,0.5,0.5,0.15,0.5,0.5
161,Georgia Stanway,"MF,FW",Manchester City,19,1999,14.6,11,72,26,36.1,4.93,1.78,0.15,0.42,20.9,1,0,0,6.8,6.8,0.09,4.2,4.2
162,Jill Scott,MF,Manchester City,31,1987,17.5,0,19,3,15.8,1.09,0.17,0,0,12.8,0,0,0,2.1,2.1,0.11,-2.1,-2.1
163,Ellie Roebuck,GK,Manchester City,18,1999,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
164,Nikita Parris,FW,Manchester City,24,1994,17.7,19,69,32,46.4,3.89,1.81,0.22,0.47,13.7,0,4,4,17.4,14.2,0.21,1.6,0.8
165,Jessica Park,"FW,MF",Manchester City,16,2001,0.4,0,1,1,100,2.31,2.31,0,0,7.7,0,0,0,0.6,0.6,0.61,-0.6,-0.6
166,Nadia Nadim,FW,Manchester City,30,1988,1.9,0,7,2,28.6,3.64,1.04,0,0,13.9,0,0,0,1.4,1.4,0.2,-1.4,-1.4
167,Esme Morgan,DF,Manchester City,17,2000,5.3,0,4,0,0,0.76,0,0,,18.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
168,Abbie McManus,DF,Manchester City,25,1993,10.1,0,5,2,40,0.49,0.2,0,0,11.2,0,0,0,0.6,0.6,0.12,-0.6,-0.6
169,Melissa Lawley,FW,Manchester City,24,1994,2.4,0,5,2,40,2.07,0.83,0,0,19.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
170,Steph Houghton,DF,Manchester City,30,1988,20,3,33,9,27.3,1.65,0.45,0.09,0.33,18,10,0,0,2.3,2.3,0.07,0.7,0.7
171,Lauren Hemp,"FW,MF",Manchester City,17,2000,6.7,2,26,10,38.5,3.88,1.49,0.08,0.2,14.1,0,0,0,3.4,3.4,0.13,-1.4,-1.4
172,Claire Emslie,"FW,MF",Manchester City,24,1994,7.2,4,21,7,33.3,2.92,0.97,0.19,0.57,15.9,0,0,0,2.2,2.2,0.1,1.8,1.8
173,Megan Campbell,DF,Manchester City,25,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
174,Pauline Bremer,FW,Manchester City,22,1996,1.3,0,5,3,60,3.75,2.25,0,0,12,0,0,0,0.7,0.7,0.13,-0.7,-0.7
175,Gemma Bonner,DF,Manchester City,27,1991,14.5,1,16,6,37.5,1.1,0.41,0.06,0.17,13.8,0,0,0,1.6,1.6,0.1,-0.6,-0.6
176,Janine Beckie,FW,Manchester City,23,1994,3.2,1,11,6,54.5,3.41,1.86,0.09,0.17,18.6,0,0,0,1,1,0.09,0,0
177,Jennifer Beattie,DF,Manchester City,27,1991,17,1,14,4,28.6,0.82,0.24,0.07,0.25,8.9,0,0,0,1.4,1.4,0.1,-0.4,-0.4
