Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
1,Leah Williamson,DF,Arsenal,21,1997,17.8,32,1.8,27,1,1,1,1,1,3,0.17,3,0,0,0,0,0
2,Lia Wälti,MF,Arsenal,25,1993,11.8,25,2.13,23,1,0,0,0,1,3,0.26,2,0,0,0,0,1
3,Katrine Veje,"DF,FW",Arsenal,27,1991,6.9,19,2.75,13,1,2,0,3,0,3,0.43,3,0,0,0,0,0
4,Sari van Veenendaal,GK,Arsenal,28,1990,7,1,0.14,0,1,0,0,0,0,1,0.14,0,1,0,0,0,0
5,Viktoria Schnaderbeck,"MF,DF",Arsenal,27,1991,1.2,3,2.57,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jessica Samuelsson,DF,Arsenal,26,1992,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Louise Quinn,DF,Arsenal,28,1990,17.2,17,0.99,15,0,0,2,0,0,2,0.12,1,0,0,1,0,0
8,Pauline Peyraud-Magnin,GK,Arsenal,26,1992,13,3,0.23,3,0,0,0,0,0,1,0.08,1,0,0,0,0,0
9,Jordan Nobbs,"MF,FW",Arsenal,25,1992,7.8,35,4.47,24,4,1,2,2,2,6,0.77,4,0,1,0,1,0
10,Emma Mitchell,DF,Arsenal,25,1992,9,20,2.22,18,0,1,0,1,0,4,0.44,2,0,1,0,1,0
11,Vivianne Miedema,FW,Arsenal,22,1996,19.8,85,4.3,57,0,11,12,2,3,22,1.11,15,0,4,2,0,1
12,Beth Mead,"FW,MF",Arsenal,23,1995,16.9,92,5.45,41,29,10,6,3,3,24,1.42,12,4,2,3,1,2
13,Katie McCabe,"MF,FW",Arsenal,22,1995,17.5,57,3.26,33,8,5,5,5,1,11,0.63,9,1,1,0,0,0
14,Kim Little,MF,Arsenal,28,1990,13.6,48,3.53,40,4,3,0,1,0,10,0.73,9,0,1,0,0,0
15,Ava Kuyken,"MF,DF",Arsenal,17,2001,1.2,2,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Tabea Kemme,"FW,MF",Arsenal,26,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
