Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Shannon Albuery,"FW,MF",Yeovil Town,,,3.6,0,0,0,2,5,3,0,1,0,0,0,0,15,6,7,46.2
2,Megan Alexander,DF,Yeovil Town,24,1993,20,2,0,0,7,3,1,44,18,16,0,0,0,67,9,26,25.7
3,Flo Allen,DF,Bristol City,18,1999,1.5,0,0,0,0,3,0,1,2,6,0,0,0,7,2,4,33.3
4,Remi Allen,MF,Reading,27,1990,18.4,7,0,0,29,34,3,9,18,38,1,0,0,155,30,20,60
5,Jonna Andersson,DF,Chelsea,25,1993,16.7,1,0,0,6,7,2,69,21,12,0,0,0,77,22,22,50
6,Janni Arnth,DF,Arsenal,31,1986,2.8,0,0,0,0,1,2,9,1,0,0,0,0,12,3,4,42.9
7,Chloe Arthur,MF,Birmingham City,23,1995,15.8,0,0,0,14,20,1,3,21,35,0,0,0,106,21,27,43.8
8,Anita Asante,DF,Chelsea,33,1985,2.2,0,0,0,1,1,0,0,0,0,0,0,0,18,3,0,100
9,Rosella Ayane,"FW,MF",Bristol City,22,1996,8.8,0,0,0,13,7,5,11,5,8,0,0,0,42,5,20,20
10,Rinsola Babajide,"MF,FW",Liverpool,20,1998,11.1,3,0,0,21,9,4,21,11,21,0,0,0,74,14,23,37.8
11,Ramona Bachmann,"FW,MF",Chelsea,27,1990,11.9,1,0,0,11,21,7,32,7,7,0,0,0,55,2,4,33.3
12,Sophie Baggaley,GK,Bristol City,21,1996,20,0,0,0,1,2,0,0,0,0,0,0,0,45,8,1,88.9
13,Jade Bailey,"MF,FW",Reading,22,1995,3.2,0,0,0,4,4,2,2,3,5,0,0,0,22,8,0,100
14,Jade Bailey,MF,Chelsea,22,1995,0.3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,50
15,Paige Bailey-Gayle,"FW,MF",Arsenal,16,2001,1.1,0,0,0,1,1,0,1,1,2,0,0,0,2,0,0,
16,Karen Bardsley,GK,Manchester City,33,1984,5,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,
17,Kirsty Barton,DF,Brighton,26,1992,15,1,0,0,10,3,2,15,24,22,0,0,0,80,18,17,51.4
18,Molly Bartrip,"DF,MF",Reading,22,1996,8.4,0,0,0,6,5,0,2,12,14,0,0,0,36,19,21,47.5
19,Jennifer Beattie,DF,Manchester City,27,1991,17,1,0,0,8,2,0,1,16,14,0,1,0,126,58,12,82.9
20,Janine Beckie,FW,Manchester City,23,1994,3.2,1,0,0,1,1,2,11,0,2,0,0,0,23,4,5,44.4
21,Ann-Katrin Berger,GK,Chelsea,27,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
22,Ann-Katrin Berger,GK,Birmingham City,27,1990,8,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,
23,Julie Biesmans,MF,Bristol City,24,1994,20,0,0,0,15,12,1,27,26,28,0,0,0,106,22,27,44.9
24,Annabel Blanchard,FW,Liverpool,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,Erin Bloomfield,"FW,MF",Yeovil Town,,,5,0,0,0,6,7,1,2,1,6,0,0,0,14,14,17,45.2
26,Hannah Blundell,"DF,FW",Chelsea,24,1994,13.3,0,0,0,2,8,0,33,15,9,0,0,0,86,3,5,37.5
27,Missy Bo Kearns,"MF,FW",Liverpool,17,2001,0.2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
28,Gemma Bonner,DF,Manchester City,27,1991,14.5,2,0,0,11,4,1,12,19,17,0,0,0,77,26,16,61.9
29,Chantelle Boye-Hlorkah,"FW,DF",Everton,22,1995,10.5,0,0,0,4,5,7,41,14,14,0,0,0,49,28,30,48.3
30,Sophie Bradley,DF,Liverpool,28,1989,20,0,0,0,5,12,2,3,29,15,0,0,0,133,26,15,63.4
31,Ellie Brazil,"FW,MF",Brighton,19,1999,15.8,3,0,0,18,8,6,26,20,33,0,0,0,81,22,36,37.9
32,Pauline Bremer,FW,Manchester City,22,1996,1.3,0,0,0,1,0,1,0,1,0,0,0,0,6,1,4,20
33,Jodie Brett,MF,Brighton,22,1996,6.2,0,0,0,6,4,2,6,3,6,0,0,0,32,10,7,58.8
34,Millie Bright,DF,Chelsea,24,1993,15.8,2,0,0,8,9,0,7,27,15,0,0,0,123,61,13,82.4
35,Georgia Brougham,DF,Everton,22,1996,16.2,0,0,0,7,9,0,2,18,13,0,0,0,119,28,20,58.3
36,Frankie Brown,"DF,MF",Bristol City,30,1987,19,1,0,0,15,15,0,2,20,3,0,0,0,112,26,18,59.1
37,Emma Brownlie,"DF,MF",Everton,24,1993,5,0,0,0,3,2,0,10,8,9,0,0,0,14,3,4,42.9
38,Dominique Bruinenberg,MF,Everton,25,1993,6.8,0,0,0,11,4,1,9,16,15,0,0,0,62,1,12,7.7
