Rk,Player,Pos,"Squad
▲",Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,435,538,80.9,9523,6498,109,109,100,244,250,97.6,77,172,44.8,0,0,0,0,0,0,0,0,0
2,Leah Williamson,"DF,MF",Arsenal,22,1997,14.3,1043,1222,85.4,21579,8304,312,350,89.1,579,636,91,144,213,67.6,2,0.9,0.7,1.1,9,89,7,0,100
3,Lia Wälti,MF,Arsenal,26,1993,8.8,472,569,83,7730,2416,214,239,89.5,231,258,89.5,16,42,38.1,1,0.2,0.3,0.8,3,50,4,0,51
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,9.7,665,758,87.7,12225,4113,222,242,91.7,409,453,90.3,32,50,64,0,0,0.1,0,0,39,0,0,47
5,Jill Roord,"MF,FW",Arsenal,22,1997,9.4,436,497,87.7,6798,1371,230,248,92.7,164,182,90.1,28,40,70,0,0.6,0.7,-0.6,9,38,6,0,50
6,Louise Quinn,DF,Arsenal,29,1990,2.9,213,248,85.9,4146,1349,63,69,91.3,124,144,86.1,24,31,77.4,0,0,0,0,0,11,1,0,12
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,116,138,84.1,2404,1405,32,32,100,67,68,98.5,16,37,43.2,0,0,0,0,0,1,0,0,0
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,11.5,548,658,83.3,7576,1633,344,388,88.7,155,185,83.8,26,41,63.4,2,1.6,1.9,0.4,24,58,16,0,65
9,Emma Mitchell,DF,Arsenal,26,1992,0.4,40,45,88.9,597,219,25,27,92.6,12,13,92.3,2,2,100,0,0.2,0.1,-0.2,2,3,3,1,6
10,Vivianne Miedema,FW,Arsenal,23,1996,13.6,271,364,74.5,4206,1022,138,170,81.2,97,122,79.5,19,28,67.9,8,6.8,4.3,1.2,28,23,27,6,44
11,Beth Mead,FW,Arsenal,24,1995,10.8,357,522,68.4,5516,1376,199,244,81.6,128,173,74,21,70,30,3,3.6,3,-0.6,23,25,15,3,38
12,Katie McCabe,DF,Arsenal,23,1995,11.6,738,913,80.8,12397,3965,333,369,90.2,349,422,82.7,46,85,54.1,1,0.7,0.9,0.3,8,52,8,5,61
13,Leonie Maier,DF,Arsenal,26,1992,7.6,429,568,75.5,6119,2004,262,300,87.3,140,201,69.7,14,31,45.2,2,1.3,0.9,0.7,4,22,5,2,32
14,Kim Little,MF,Arsenal,29,1990,11.7,639,746,85.7,10110,2483,340,379,89.7,234,259,90.3,47,68,69.1,2,2.7,2.9,-0.7,21,59,19,2,73
15,Melisa Filis,FW,Arsenal,17,2002,0,2,4,50,14,10,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
16,Lisa Evans,"FW,DF",Arsenal,27,1992,14.1,668,864,77.3,9830,3630,402,465,86.5,220,290,75.9,30,54,55.6,4,4.9,4.7,-0.9,24,45,28,3,84
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,14.2,494,640,77.2,7170,2004,275,320,85.9,175,227,77.1,20,44,45.5,4,3.2,2.6,0.8,18,36,26,1,71
18,Jennifer Beattie,DF,Arsenal,28,1991,9.1,769,851,90.4,15747,6871,226,247,91.5,456,480,95,84,116,72.4,0,0.4,0.6,-0.4,2,59,2,0,63
19,Rachel Williams,FW,Birmingham City,31,1988,9,162,230,70.4,2370,657,90,120,75,48,65,73.8,13,22,59.1,0,0.4,0.3,-0.4,10,15,5,0,25
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,10.5,257,323,79.6,3842,804,141,167,84.4,90,110,81.8,12,22,54.5,0,0.2,0.2,-0.2,7,17,0,0,21
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,10,129,221,58.4,1847,424,69,92,75,47,73,64.4,7,18,38.9,0,0.3,0.7,-0.3,5,9,7,4,13
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,6.9,139,199,69.8,2214,579,75,91,82.4,47,69,68.1,12,25,48,0,0.2,0.3,-0.2,4,10,4,0,15
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,374,524,71.4,7090,2679,164,198,82.8,130,167,77.8,59,122,48.4,3,1.4,1.4,1.6,25,40,8,1,47
24,Lily Simkin,DF,Birmingham City,15,2003,4.6,112,192,58.3,1812,964,58,81,71.6,49,81,60.5,4,20,20,0,0.1,0,-0.1,4,8,0,0,12
25,Harriet Scott,DF,Birmingham City,26,1993,8.8,302,410,73.7,5750,2308,102,123,82.9,165,192,85.9,31,78,39.7,0,0.3,0.2,-0.3,2,14,1,1,16
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,4.1,98,128,76.6,1377,269,55,65,84.6,34,45,75.6,3,5,60,0,0,0.1,0,0,7,1,0,8
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,1.3,27,44,61.4,355,83,16,23,69.6,10,12,83.3,0,3,0,0,0,0,0,0,2,1,0,4
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,8,313,429,73,4866,2347,165,200,82.5,123,153,80.4,18,49,36.7,0,0.4,0.5,-0.4,9,29,8,2,42
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,460,642,71.7,7200,3070,240,295,81.4,190,261,72.8,21,54,38.9,0,0.4,0.4,-0.4,8,26,5,2,33
30,Rebecca Holloway,DF,Birmingham City,23,1995,10.8,406,508,79.9,8083,2886,111,129,86,236,263,89.7,50,92,54.3,0,0,0.1,0,1,23,0,0,21
31,Kerys Harrop,DF,Birmingham City,28,1990,6.2,324,401,80.8,7067,2787,70,84,83.3,198,217,91.2,54,88,61.4,0,0,0,0,1,27,0,0,27
32,Hannah Hampton,GK,Birmingham City,18,2000,13,435,607,71.7,10693,6881,86,86,100,240,247,97.2,107,267,40.1,0,0,0,0,0,4,1,0,1
33,Freya Gregory,FW,Birmingham City,16,2003,0.9,5,8,62.5,60,23,4,5,80,1,2,50,0,1,0,0,0,0,0,0,0,0,0,1
34,Abbi Grant,"FW,MF",Birmingham City,23,1995,11.9,235,326,72.1,3391,679,134,157,85.4,77,111,69.4,12,25,48,0,1,0.7,-1,17,13,6,0,31
35,Georgia Brougham,DF,Birmingham City,23,1996,2,122,141,86.5,2307,869,48,49,98,61,66,92.4,13,23,56.5,0,0.1,0,-0.1,2,2,1,0,6
36,Laura Blindkilde,FW,Birmingham City,15,2003,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
37,Chloe Arthur,MF,Birmingham City,24,1995,11.9,378,510,74.1,6648,2095,189,229,82.5,133,170,78.2,46,75,61.3,0,0.3,0.2,-0.3,7,45,0,0,56
38,Victoria Williams,DF,Brighton,29,1990,11.1,274,433,63.3,5538,2468,97,135,71.9,135,182,74.2,40,103,38.8,0,0,0.1,0,1,19,2,0,27
39,Fern Whelan,DF,Brighton,30,1988,2.9,85,99,85.9,1516,775,29,31,93.5,49,55,89.1,5,10,50,0,0.1,0.1,-0.1,1,5,0,0,10
40,Aileen Whelan,"MF,FW",Brighton,27,1991,15.8,240,395,60.8,3631,1395,134,179,74.9,82,117,70.1,14,37,37.8,1,1.7,0.9,-0.7,12,22,6,1,36
41,Megan Walsh,GK,Brighton,24,1994,15,382,565,67.6,10512,6688,39,41,95.1,214,233,91.8,128,290,44.1,0,0,0,0,0,3,0,0,1
42,Iniabasi Umotong,FW,Brighton,25,1994,7.1,78,132,59.1,1140,210,44,64,68.8,31,44,70.5,2,7,28.6,0,1,0.5,-1,10,7,2,2,5
43,Emily Simpkins,MF,Brighton,29,1990,6.7,95,147,64.6,1448,468,54,68,79.4,34,52,65.4,5,14,35.7,1,0.1,0.1,0.9,2,9,1,0,10
44,Amanda Nildén,"MF,FW",Brighton,20,1998,4.5,62,102,60.8,836,243,36,48,75,14,26,53.8,5,15,33.3,1,0.3,0.3,0.7,6,4,2,1,6
45,Kate Natkiel,"MF,FW",Brighton,26,1992,4.3,65,98,66.3,919,259,37,52,71.2,20,32,62.5,6,10,60,0,0.2,0.3,-0.2,3,1,2,1,4
46,Matilde Lundorf,"DF,MF",Brighton,20,1999,6.6,178,279,63.8,2626,1224,111,138,80.4,54,90,60,11,38,28.9,0,0,0.2,0,0,6,2,0,16
47,Maya Le Tissier,"DF,MF",Brighton,17,2002,8.8,233,337,69.1,4802,1681,64,85,75.3,131,165,79.4,36,79,45.6,0,0.9,0.5,-0.9,2,11,0,0,11
48,Léa Le Garrec,"FW,MF",Brighton,26,1993,13.1,268,477,56.2,4684,1907,134,170,78.8,95,156,60.9,31,107,29,2,2.3,1.2,-0.3,16,27,11,6,52
49,Danique Kerkdijk,DF,Brighton,23,1996,13,316,437,72.3,6533,3157,92,111,82.9,178,209,85.2,42,101,41.6,1,0.1,0.1,0.9,2,23,0,0,33
