Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
48,Léa Le Garrec,"FW,MF",Brighton,26,1993,13.1,40,3.07,27,7,3,0,1,2,4,0.31,2,2,0,0,0,0
49,Danique Kerkdijk,DF,Brighton,23,1996,13,6,0.46,4,1,0,0,0,1,1,0.08,1,0,0,0,0,0
50,Sophie Harris,GK,Brighton,24,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Kayleigh Green,"FW,MF",Brighton,31,1988,14,37,2.64,30,0,2,2,2,1,4,0.29,3,0,0,1,0,0
52,Felicity Gibbons,DF,Brighton,25,1994,15,19,1.27,16,3,0,0,0,0,1,0.07,0,1,0,0,0,0
53,Megan Connolly,MF,Brighton,22,1997,6.7,12,1.8,9,1,1,1,0,0,1,0.15,1,0,0,0,0,0
54,Danielle Buet,MF,Brighton,30,1988,14.9,19,1.28,13,3,0,2,1,0,0,0,0,0,0,0,0,0
55,Ellie Brazil,"MF,FW",Brighton,20,1999,5,14,2.79,12,0,1,0,1,0,1,0.2,0,0,0,0,1,0
56,Kirsty Barton,DF,Brighton,27,1992,10,14,1.4,11,3,0,0,0,0,2,0.2,2,0,0,0,0,0
57,Megan Wynne,"FW,MF",Bristol City,26,1993,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Georgia Wilson,"MF,FW",Bristol City,17,2002,4.4,5,1.13,4,0,0,0,1,0,0,0,0,0,0,0,0,0
59,Charlie Wellings,"FW,MF",Bristol City,21,1998,12.8,22,1.71,13,0,1,4,4,0,1,0.08,1,0,0,0,0,0
60,Meaghan Sargeant,DF,Bristol City,25,1994,11.7,9,0.77,5,3,0,1,0,0,1,0.09,0,1,0,0,0,0
61,Ebony Salmon,"FW,MF",Bristol City,18,2001,8.3,20,2.41,7,0,10,2,1,0,5,0.6,2,0,3,0,0,0
62,Katie Robinson,"FW,MF",Bristol City,16,2002,3,4,1.36,3,0,0,0,1,0,0,0,0,0,0,0,0,0
63,Kirsten Reilly,FW,Bristol City,23,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Poppy Pattinson,DF,Bristol City,19,2000,5.9,4,0.68,2,2,0,0,0,0,1,0.17,1,0,0,0,0,0
