Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
39,Fern Whelan,DF,Brighton,30,1988,3,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,10,0,0,0,0,0,0,0,0.03,0.03,0,0.03
40,Aileen Whelan,"MF,FW",Brighton,27,1991,16,16,"1,423",15.8,5,1,6,5,0,0,2,0,4,4,1.7,5.8,19,36,42,0.32,0.06,0.38,0.32,0.38,0.26,0.11,0.37,0.26,0.37
41,Megan Walsh,GK,Brighton,24,1994,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,Iniabasi Umotong,FW,Brighton,25,1994,14,6,635,7.1,1,0,1,1,0,0,1,0,2.1,2.1,1,3.1,9,5,32,0.14,0,0.14,0.14,0.14,0.3,0.14,0.44,0.3,0.44
43,Emily Simpkins,MF,Brighton,29,1990,10,8,603,6.7,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,2,10,15,0,0.15,0.15,0,0.15,0.09,0.02,0.11,0.09,0.11
44,Amanda Nildén,"MF,FW",Brighton,20,1998,10,5,403,4.5,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.9,3,6,14,0,0.22,0.22,0,0.22,0.12,0.07,0.19,0.12,0.19
45,Kate Natkiel,"MF,FW",Brighton,26,1992,7,4,387,4.3,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,5,4,25,0,0,0,0,0,0.11,0.05,0.15,0.11,0.15
46,Matilde Lundorf,"DF,MF",Brighton,20,1999,8,6,593,6.6,0,0,0,0,0,0,3,0,0.6,0.6,0,0.6,9,16,19,0,0,0,0,0,0.09,0,0.09,0.09,0.09
47,Maya Le Tissier,"DF,MF",Brighton,17,2002,12,7,788,8.8,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1,11,4,0,0,0,0,0,0,0.1,0.1,0,0.1
48,Léa Le Garrec,"FW,MF",Brighton,26,1993,15,14,"1,176",13.1,1,2,3,1,0,0,3,1,2,2,2.3,4.3,19,52,66,0.08,0.15,0.23,0.08,0.23,0.16,0.18,0.33,0.16,0.33
49,Danique Kerkdijk,DF,Brighton,23,1996,14,13,"1,171",13,1,1,2,1,0,0,3,0,0.5,0.5,0.1,0.6,3,33,2,0.08,0.08,0.15,0.08,0.15,0.04,0.01,0.05,0.04,0.05
50,Sophie Harris,GK,Brighton,24,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Kayleigh Green,"FW,MF",Brighton,31,1988,16,14,"1,262",14,2,2,4,1,1,1,3,0,3.4,2.6,3.5,6.1,31,34,90,0.14,0.14,0.29,0.07,0.21,0.24,0.25,0.49,0.19,0.43
52,Felicity Gibbons,DF,Brighton,25,1994,15,15,"1,350",15,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,22,34,16,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07
53,Megan Connolly,MF,Brighton,22,1997,9,6,601,6.7,1,1,2,1,0,0,0,0,1.1,1.1,0.7,1.8,1,34,4,0.15,0.15,0.3,0.15,0.3,0.17,0.1,0.27,0.17,0.27
54,Danielle Buet,MF,Brighton,30,1988,16,16,"1,340",14.9,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.6,13,40,13,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04
55,Ellie Brazil,"MF,FW",Brighton,20,1999,6,6,451,5,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.7,16,16,27,0,0,0,0,0,0.25,0.09,0.34,0.25,0.34
56,Kirsty Barton,DF,Brighton,27,1992,10,10,899,10,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,6,23,16,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
57,Megan Wynne,"FW,MF",Bristol City,26,1993,3,0,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,5,0,0,0,0,0,0.08,0,0.08,0.08,0.08
58,Georgia Wilson,"MF,FW",Bristol City,17,2002,8,5,397,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,3,4,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
59,Charlie Wellings,"FW,MF",Bristol City,21,1998,13,13,"1,156",12.8,1,0,1,1,0,1,0,0,1.7,1.1,0.4,1.4,15,16,52,0.08,0,0.08,0.08,0.08,0.13,0.03,0.16,0.08,0.11
60,Meaghan Sargeant,DF,Bristol City,25,1994,12,12,"1,052",11.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,14,2,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
61,Ebony Salmon,"FW,MF",Bristol City,18,2001,14,7,746,8.3,5,1,6,5,0,0,1,0,2.3,2.3,0.6,2.9,26,5,38,0.6,0.12,0.72,0.6,0.72,0.28,0.07,0.35,0.28,0.35
62,Katie Robinson,"FW,MF",Bristol City,16,2002,10,3,266,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,8,5,16,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
63,Kirsten Reilly,FW,Bristol City,23,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Poppy Pattinson,DF,Bristol City,19,2000,6,6,528,5.9,0,0,0,0,0,0,2,0,0.1,0,0.2,0.2,9,12,7,0,0,0,0,0,0.02,0.04,0.06,0,0.04
65,Jasmine Matthews,"DF,MF",Bristol City,26,1993,13,13,"1,170",13,0,1,1,0,0,0,0,0,0.8,0.8,0.7,1.5,2,21,0,0,0.08,0.08,0,0.08,0.06,0.06,0.12,0.06,0.12
66,Chloe Logarzo,MF,Bristol City,24,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
67,Carla Humphrey,MF,Bristol City,22,1996,8,8,686,7.6,0,2,2,0,0,0,0,0,0.3,0.3,1.2,1.5,5,17,16,0,0.26,0.26,0,0.26,0.05,0.16,0.2,0.05,0.2
68,Elise Hughes,"FW,MF",Bristol City,18,2001,3,2,163,1.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.02,0.02,0,0.02
69,Abigail Harrison,FW,Bristol City,21,1997,6,5,355,3.9,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.7,4,4,17,0.25,0,0.25,0.25,0.25,0.12,0.07,0.18,0.12,0.18
70,Jeon Ga-eul,"MF,FW",Bristol City,30,1988,2,2,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
71,Gemma Evans,DF,Bristol City,22,1996,12,11,"1,010",11.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,20,4,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
72,Loren Dykes,DF,Bristol City,31,1988,11,10,841,9.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,12,7,0,0,0,0,0,0,0.01,0.01,0,0.01
73,Vita van der Linden,MF,Bristol City,22,1997,1,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Yana Daniels,"MF,FW",Bristol City,27,1992,14,13,"1,173",13,2,1,3,2,0,1,1,0,2.1,1.2,0.3,1.5,18,32,36,0.15,0.08,0.23,0.15,0.23,0.16,0.02,0.19,0.09,0.11
75,Maisy Collis,DF,Bristol City,19,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
76,Olivia Chance,MF,Bristol City,25,1993,14,10,"1,021",11.3,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,15,32,6,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
77,Faye Bryson,DF,Bristol City,22,1997,3,2,206,2.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0
78,Frankie Brown,"MF,DF",Bristol City,31,1987,13,13,"1,144",12.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,23,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
79,Sophie Baggaley,GK,Bristol City,22,1996,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Flo Allen,DF,Bristol City,19,1999,6,3,268,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,8,2,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
81,Maria Thorisdottir,MF,Chelsea,26,1993,5,0,76,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,3,1,1.18,0,1.18,1.18,1.18,0.23,0,0.23,0.23,0.23
82,Carly Telford,GK,Chelsea,32,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Drew Spence,"MF,FW",Chelsea,26,1992,15,8,633,7,3,2,5,3,0,0,1,0,1.9,1.9,1.5,3.4,10,41,32,0.43,0.28,0.71,0.43,0.71,0.27,0.21,0.48,0.27,0.48
84,Ji So-yun,MF,Chelsea,28,1991,13,12,999,11.1,6,3,9,6,0,0,1,0,2.1,2.1,2.2,4.2,22,81,41,0.54,0.27,0.81,0.54,0.81,0.19,0.2,0.38,0.19,0.38
85,Guro Reiten,"MF,FW",Chelsea,25,1994,15,15,"1,205",13.4,5,7,12,5,0,0,0,0,3.1,3.1,5.8,8.9,27,59,123,0.37,0.52,0.9,0.37,0.9,0.23,0.43,0.67,0.23,0.67
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19
87,Emily Murphy,"MF,FW",Chelsea,16,2003,2,0,26,0.3,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,2,0,6,3.46,0,3.46,3.46,3.46,2.59,0,2.59,2.59,2.59
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,14,"1,258",14,4,1,5,3,1,1,1,0,2.9,2.1,2.7,4.8,35,68,54,0.29,0.07,0.36,0.21,0.29,0.21,0.19,0.4,0.15,0.34
89,Fran Kirby,"FW,MF",Chelsea,26,1993,4,2,194,2.2,0,3,3,0,0,0,0,0,0.7,0.7,1.2,2,12,9,26,0,1.39,1.39,0,1.39,0.34,0.57,0.91,0.34,0.91
90,Sam Kerr,FW,Chelsea,25,1993,4,3,294,3.3,1,1,2,1,0,0,0,0,2.6,2.6,2,4.5,10,7,26,0.31,0.31,0.61,0.31,0.61,0.79,0.6,1.39,0.79,1.39
91,Sophie Ingle,MF,Chelsea,27,1991,15,15,"1,264",14,4,0,4,4,0,0,1,0,1.8,1.8,0.9,2.7,8,90,20,0.28,0,0.28,0.28,0.28,0.13,0.06,0.19,0.13,0.19
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,14,"1,260",14,1,0,1,1,0,0,1,0,1.3,1.3,0.5,1.8,11,77,4,0.07,0,0.07,0.07,0.07,0.09,0.04,0.13,0.09,0.13
93,Adelina Engman,"FW,MF",Chelsea,24,1994,2,1,81,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,1,0,15,1.11,0,1.11,1.11,1.11,0.27,0,0.27,0.27,0.27
94,Bethany England,FW,Chelsea,25,1994,15,15,"1,320",14.7,14,4,18,14,0,0,0,0,13.8,13.8,3.6,17.4,31,30,122,0.95,0.27,1.23,0.95,1.23,0.94,0.25,1.19,0.94,1.19
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,14,12,"1,067",11.9,2,4,6,2,0,0,2,0,3.2,3.2,4.5,7.7,37,52,76,0.17,0.34,0.51,0.17,0.51,0.27,0.38,0.65,0.27,0.65
96,Deanna Cooper,DF,Chelsea,26,1993,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
97,Jess Carter,"DF,MF",Chelsea,21,1997,8,1,173,1.9,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,1,12,0,0.52,0.52,1.04,0.52,1.04,0.42,0.35,0.77,0.42,0.77
98,Millie Bright,DF,Chelsea,25,1993,15,15,"1,350",15,1,1,2,1,0,0,2,0,1.6,1.6,1.2,2.8,16,76,8,0.07,0.07,0.13,0.07,0.13,0.1,0.08,0.18,0.1,0.18
99,Hannah Blundell,DF,Chelsea,25,1994,8,4,417,4.6,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,20,18,26,0.22,0,0.22,0.22,0.22,0.14,0.06,0.19,0.14,0.19
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Ramona Bachmann,"FW,MF",Chelsea,28,1990,12,5,567,6.3,1,2,3,1,0,0,0,0,2.1,2.1,1,3.2,30,20,61,0.16,0.32,0.48,0.16,0.48,0.34,0.17,0.5,0.34,0.5
102,Jonna Andersson,DF,Chelsea,26,1993,15,14,"1,271",14.1,0,5,5,0,0,0,0,0,0.7,0.7,3.6,4.3,36,78,72,0,0.35,0.35,0,0.35,0.05,0.25,0.3,0.05,0.3
103,Danielle Turner,DF,Everton,28,1991,14,14,"1,260",14,1,1,2,1,0,0,0,0,0.8,0.8,1,1.8,21,35,32,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.13,0.06,0.13
104,Abbey-Leigh Stringer,MF,Everton,24,1995,11,5,505,5.6,0,0,0,0,0,0,3,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0
105,Molly Pike,MF,Everton,18,2001,13,7,563,6.3,1,3,4,1,0,0,0,0,1.6,1.6,0.4,2,4,15,34,0.16,0.48,0.64,0.16,0.64,0.26,0.06,0.32,0.26,0.32
106,Esme Morgan,DF,Everton,18,2000,11,10,920,10.2,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,7,47,15,0.1,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05
107,Simone Magill,"FW,MF",Everton,24,1994,12,10,895,9.9,1,2,3,1,0,0,0,0,1.8,1.8,1.1,2.9,19,25,58,0.1,0.2,0.3,0.1,0.3,0.18,0.11,0.29,0.18,0.29
108,Sandy MacIver,GK,Everton,21,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Tinja-Riikka Korpela,GK,Everton,33,1986,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Chloe Kelly,FW,Everton,21,1998,12,12,"1,065",11.8,9,1,10,9,0,0,2,0,4.7,4.7,2.4,7.1,39,25,56,0.76,0.08,0.85,0.76,0.85,0.39,0.2,0.6,0.39,0.6
111,Inessa Kaagman,"FW,MF",Everton,23,1996,12,12,985,10.9,1,2,3,1,0,0,2,0,1.7,1.7,1.1,2.8,4,14,60,0.09,0.18,0.27,0.09,0.27,0.16,0.1,0.26,0.16,0.26
112,Elise Hughes,FW,Everton,18,2001,4,1,104,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,11,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12
113,Taylor Hinds,DF,Everton,19,1999,6,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0.1,1,8,6,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
114,Lucy Graham,MF,Everton,22,1996,14,14,"1,233",13.7,4,2,6,3,1,1,2,0,2.1,1.3,1.6,2.9,16,53,46,0.29,0.15,0.44,0.22,0.36,0.16,0.12,0.27,0.1,0.21
115,Gabrielle George,DF,Everton,22,1997,13,13,"1,170",13,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,18,40,2,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
116,Megan Finnigan,DF,Everton,21,1998,10,10,900,10,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0,30,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08
117,Kika van Es,DF,Everton,27,1991,10,8,635,7.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,14,1,0,0,0,0,0,0,0.02,0.02,0,0.02
118,Maéva Clemaron,MF,Everton,26,1992,13,11,982,10.9,0,0,0,0,0,0,4,0,0.2,0.2,0.9,1.1,5,62,6,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1
119,Hannah Cain,FW,Everton,20,1999,13,5,551,6.1,0,1,1,0,0,0,2,0,0.8,0.8,1.6,2.5,9,14,39,0,0.16,0.16,0,0.16,0.14,0.27,0.4,0.14,0.4
120,Chantelle Boye-Hlorkah,FW,Everton,23,1995,10,6,616,6.8,0,0,0,0,0,0,0,0,1,1,1.3,2.3,23,18,41,0,0,0,0,0,0.14,0.19,0.33,0.14,0.33
121,Courtney Sweetman-Kirk,FW,Liverpool,28,1990,11,7,599,6.7,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.2,5,3,31,0,0,0,0,0,0.11,0.07,0.18,0.11,0.18
122,Amy Rodgers,MF,Liverpool,19,2000,3,3,231,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,7,3,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06
123,Rhiannon Roberts,MF,Liverpool,28,1990,12,9,879,9.8,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,5,38,10,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
124,Leigh-Anne Robe,DF,Liverpool,25,1993,14,14,"1,260",14,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,10,38,11,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
125,Jemma Purfield,DF,Liverpool,22,1997,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
126,Anke Preuß,GK,Liverpool,26,1992,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Christie Murray,MF,Liverpool,29,1990,6,0,86,1,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,0,5,2,0,1.05,1.05,0,1.05,0.06,0.21,0.27,0.06,0.27
128,Kirsty Linnett,"MF,FW",Liverpool,25,1993,11,8,622,6.9,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1,5,14,32,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14
129,Melissa Lawley,"FW,MF",Liverpool,25,1994,14,14,"1,209",13.4,1,0,1,0,1,2,3,0,2.9,1.3,1,2.3,61,33,65,0.07,0,0.07,0,0,0.21,0.08,0.29,0.1,0.17
130,Frances Kitching,GK,Liverpool,21,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Rebecca Jane,DF,Liverpool,27,1992,14,14,"1,256",14,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,7,40,9,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
