Rk,Player,Pos,"Squad
▲",Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_exp,npxG_exp,xAG_exp,npxG+xAG_exp,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Manuela Zinsberger,GK,Arsenal,23,1995,12,12,"1,080",12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Leah Williamson,"DF,MF",Arsenal,22,1997,15,15,"1,290",14.3,1,2,3,1,0,0,0,0,1,1,0.9,1.9,20,100,9,0.07,0.14,0.21,0.07,0.21,0.07,0.06,0.13,0.07,0.13
3,Lia Wälti,MF,Arsenal,26,1993,10,9,794,8.8,0,1,1,0,0,0,1,0,0.2,0.2,0.2,0.4,5,51,3,0,0.11,0.11,0,0.11,0.02,0.02,0.04,0.02,0.04
4,Viktoria Schnaderbeck,DF,Arsenal,28,1991,10,10,876,9.7,0,0,0,0,0,0,1,0,0,0,0,0,10,47,2,0,0,0,0,0,0,0,0,0,0
5,Jill Roord,"MF,FW",Arsenal,22,1997,14,9,848,9.4,2,0,2,2,0,0,4,0,2.6,2.6,0.6,3.2,9,50,39,0.21,0,0.21,0.21,0.21,0.28,0.06,0.34,0.28,0.34
6,Louise Quinn,DF,Arsenal,29,1990,6,3,264,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,12,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
7,Pauline Peyraud-Magnin,GK,Arsenal,27,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Jordan Nobbs,"MF,FW",Arsenal,26,1992,14,12,"1,037",11.5,5,2,7,5,0,0,0,0,3.1,3.1,1.6,4.7,13,65,94,0.43,0.17,0.61,0.43,0.61,0.27,0.14,0.41,0.27,0.41
9,Emma Mitchell,DF,Arsenal,26,1992,2,0,34,0.4,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,2,6,8,2.65,0,2.65,2.65,2.65,1.6,0.48,2.08,1.6,2.08
10,Vivianne Miedema,FW,Arsenal,23,1996,14,14,"1,226",13.6,16,8,24,16,0,0,1,0,10.5,10.5,6.8,17.4,23,44,88,1.17,0.59,1.76,1.17,1.76,0.77,0.5,1.28,0.77,1.28
11,Beth Mead,FW,Arsenal,24,1995,14,11,976,10.8,3,3,6,3,0,0,2,0,2.9,2.9,3.6,6.4,36,38,130,0.28,0.28,0.55,0.28,0.55,0.27,0.33,0.59,0.27,0.59
12,Katie McCabe,DF,Arsenal,23,1995,13,12,"1,047",11.6,0,1,1,0,0,0,4,0,0.7,0.7,0.7,1.3,48,61,63,0,0.09,0.09,0,0.09,0.06,0.06,0.11,0.06,0.11
13,Leonie Maier,DF,Arsenal,26,1992,13,6,686,7.6,0,2,2,0,0,0,1,0,0.2,0.2,1.3,1.4,20,32,42,0,0.26,0.26,0,0.26,0.02,0.17,0.19,0.02,0.19
14,Kim Little,MF,Arsenal,29,1990,12,12,"1,055",11.7,5,2,7,4,1,1,0,0,3.3,2.5,2.7,5.2,29,73,64,0.43,0.17,0.6,0.34,0.51,0.28,0.23,0.51,0.21,0.44
15,Melisa Filis,FW,Arsenal,17,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Lisa Evans,"FW,DF",Arsenal,27,1992,15,14,"1,266",14.1,2,4,6,2,0,0,0,0,2.5,2.5,4.9,7.4,54,84,134,0.14,0.28,0.43,0.14,0.43,0.18,0.35,0.53,0.18,0.53
17,Daniëlle van de Donk,"FW,MF",Arsenal,27,1991,15,14,"1,277",14.2,5,4,9,5,0,0,2,0,5.4,5.4,3.2,8.6,32,71,115,0.35,0.28,0.63,0.35,0.63,0.38,0.22,0.61,0.38,0.61
18,Jennifer Beattie,DF,Arsenal,28,1991,10,9,822,9.1,0,0,0,0,0,0,1,0,0.6,0.6,0.4,0.9,4,63,1,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1
19,Rachel Williams,FW,Birmingham City,31,1988,10,9,812,9,0,0,0,0,0,0,1,0,1,1,0.4,1.4,11,25,36,0,0,0,0,0,0.11,0.04,0.15,0.11,0.15
20,Lucy Whipp,"MF,FW",Birmingham City,23,1995,13,11,947,10.5,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.5,7,21,18,0.1,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05
21,Claudia Walker,"FW,MF",Birmingham City,23,1996,13,10,899,10,0,0,0,0,0,0,1,0,1.2,1.2,0.3,1.5,25,13,68,0,0,0,0,0,0.12,0.03,0.15,0.12,0.15
22,Brianna Visalli,"MF,FW",Birmingham City,24,1995,9,7,624,6.9,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,17,15,33,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1
23,Lucy Staniforth,MF,Birmingham City,26,1992,10,10,900,10,1,3,4,1,0,0,1,0,1,1,1.4,2.4,10,47,38,0.1,0.3,0.4,0.1,0.4,0.1,0.14,0.24,0.1,0.24
24,Lily Simkin,DF,Birmingham City,15,2003,6,4,415,4.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,12,9,0,0,0,0,0,0,0.03,0.03,0,0.03
25,Harriet Scott,DF,Birmingham City,26,1993,11,9,793,8.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,16,4,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
26,Connie Scofield,"MF,FW",Birmingham City,20,1999,9,3,370,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,8,14,0,0,0,0,0,0.03,0,0.03,0.03,0.03
27,Emma Rose Kelly,"MF,FW",Birmingham City,22,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,4,14,0,0,0,0,0,0.08,0,0.08,0.08,0.08
28,Sarah Mayling,"DF,FW",Birmingham City,22,1997,9,8,721,8,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,17,42,30,0,0,0,0,0,0.05,0.06,0.1,0.05,0.1
29,Adrienne Jordan,DF,Birmingham City,25,1994,13,13,"1,170",13,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,24,33,23,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
30,Rebecca Holloway,DF,Birmingham City,23,1995,11,11,974,10.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,7,21,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
31,Kerys Harrop,DF,Birmingham City,28,1990,7,6,556,6.2,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,4,27,2,0.16,0,0.16,0.16,0.16,0.04,0,0.05,0.04,0.05
32,Hannah Hampton,GK,Birmingham City,18,2000,13,13,"1,170",13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Freya Gregory,FW,Birmingham City,16,2003,3,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
34,Abbi Grant,"FW,MF",Birmingham City,23,1995,13,13,"1,069",11.9,2,0,2,2,0,0,1,0,1.5,1.5,1,2.5,24,31,76,0.17,0,0.17,0.17,0.17,0.13,0.08,0.21,0.13,0.21
35,Georgia Brougham,DF,Birmingham City,23,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,6,0,0,0,0,0,0,0,0.03,0.03,0,0.03
36,Laura Blindkilde,FW,Birmingham City,15,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Chloe Arthur,MF,Birmingham City,24,1995,12,12,"1,067",11.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,11,56,9,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
38,Victoria Williams,DF,Brighton,29,1990,12,11,"1,001",11.1,0,0,0,0,0,1,0,0,1.1,0.3,0,0.3,5,27,2,0,0,0,0,0,0.1,0,0.1,0.03,0.03
