Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
41,Megan Walsh,GK,Brighton,24,1994,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,Iniabasi Umotong,FW,Brighton,25,1994,7.1,1,14,2,14.3,1.98,0.28,0.07,0.5,16.3,0,0,0,2.1,2.1,0.15,-1.1,-1.1
43,Emily Simpkins,MF,Brighton,29,1990,6.7,0,7,1,14.3,1.04,0.15,0,0,18.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6
44,Amanda Nildén,"MF,FW",Brighton,20,1998,4.5,0,2,1,50,0.45,0.22,0,0,13.2,0,0,0,0.5,0.5,0.26,-0.5,-0.5
45,Kate Natkiel,"MF,FW",Brighton,26,1992,4.3,0,9,4,44.4,2.09,0.93,0,0,26.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5
46,Matilde Lundorf,"DF,MF",Brighton,20,1999,6.6,0,7,1,14.3,1.06,0.15,0,0,19.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6
47,Maya Le Tissier,"DF,MF",Brighton,17,2002,8.8,0,1,0,0,0.11,0,0,,23.2,0,0,0,0,0,0.04,0,0
48,Léa Le Garrec,"FW,MF",Brighton,26,1993,13.1,1,33,13,39.4,2.53,0.99,0.03,0.08,27.2,2,0,0,2,2,0.06,-1,-1
49,Danique Kerkdijk,DF,Brighton,23,1996,13,1,2,2,100,0.15,0.15,0.5,0.5,6.4,0,0,0,0.5,0.5,0.26,0.5,0.5
50,Sophie Harris,GK,Brighton,24,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
51,Kayleigh Green,"FW,MF",Brighton,31,1988,14,2,18,5,27.8,1.28,0.36,0.06,0.2,17.7,0,1,1,3.4,2.6,0.15,-1.4,-1.6
52,Felicity Gibbons,DF,Brighton,25,1994,15,0,3,2,66.7,0.2,0.13,0,0,17.6,0,0,0,0.4,0.4,0.12,-0.4,-0.4
53,Megan Connolly,MF,Brighton,22,1997,6.7,1,7,3,42.9,1.05,0.45,0.14,0.33,15.7,0,0,0,1.1,1.1,0.16,-0.1,-0.1
