Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
52,Felicity Gibbons,DF,Brighton,25,1994,15,683,491,191,10,0,3,32,170,11,10,1,0,444,1,18
53,Megan Connolly,MF,Brighton,22,1997,6.7,207,201,6,4,1,0,3,0,1,1,0,0,137,0,10
54,Danielle Buet,MF,Brighton,30,1988,14.9,451,423,27,20,0,3,11,3,2,2,0,0,321,1,7
55,Ellie Brazil,"MF,FW",Brighton,20,1999,5,129,125,2,0,0,0,13,1,0,0,0,0,76,2,9
56,Kirsty Barton,DF,Brighton,27,1992,10,459,317,140,10,0,3,11,130,0,0,0,0,324,2,8
57,Megan Wynne,"FW,MF",Bristol City,26,1993,1.4,23,20,3,0,1,0,1,3,0,0,0,0,11,0,4
58,Georgia Wilson,"MF,FW",Bristol City,17,2002,4.4,68,67,1,0,1,0,1,0,0,0,0,0,41,0,2
59,Charlie Wellings,"FW,MF",Bristol City,21,1998,12.8,252,235,14,4,0,1,9,4,0,0,0,0,153,3,15
60,Meaghan Sargeant,DF,Bristol City,25,1994,11.7,397,334,62,17,0,1,2,45,0,0,0,0,282,1,6
61,Ebony Salmon,"FW,MF",Bristol City,18,2001,8.3,132,112,20,0,0,1,19,0,1,0,0,0,69,0,6
62,Katie Robinson,"FW,MF",Bristol City,16,2002,3,55,46,7,0,0,0,7,1,0,0,0,0,33,2,4
63,Kirsten Reilly,FW,Bristol City,23,1995,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2
64,Poppy Pattinson,DF,Bristol City,19,2000,5.9,233,149,84,4,0,0,5,80,0,0,0,0,143,0,3
65,Jasmine Matthews,"DF,MF",Bristol City,26,1993,13,504,491,13,10,1,2,1,3,0,0,0,0,349,0,9
66,Chloe Logarzo,MF,Bristol City,24,1994,1,20,18,2,1,0,0,0,1,0,0,0,0,13,0,1
67,Carla Humphrey,MF,Bristol City,22,1996,7.6,215,180,33,18,1,2,22,1,14,6,3,1,140,2,11
68,Elise Hughes,"FW,MF",Bristol City,18,2001,1.8,45,38,6,0,0,0,1,0,0,0,0,0,18,1,0
69,Abigail Harrison,FW,Bristol City,21,1997,3.9,66,55,11,0,0,0,3,0,0,0,0,0,49,0,4
70,Jeon Ga-eul,"MF,FW",Bristol City,30,1988,1.3,22,22,0,0,0,0,0,0,0,0,0,0,17,0,2
71,Gemma Evans,DF,Bristol City,22,1996,11.2,391,310,80,11,0,0,8,69,0,0,0,0,247,1,7
72,Loren Dykes,DF,Bristol City,31,1988,9.3,273,194,78,2,0,0,4,76,0,0,0,0,157,1,6
73,Vita van der Linden,MF,Bristol City,22,1997,0.6,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1
74,Yana Daniels,"MF,FW",Bristol City,27,1992,13,352,318,31,6,0,4,22,7,15,5,1,0,199,3,13
75,Maisy Collis,DF,Bristol City,19,2000,0.4,12,10,2,0,0,0,0,2,0,0,0,0,8,0,0
76,Olivia Chance,MF,Bristol City,25,1993,11.3,309,293,14,9,3,0,11,1,4,3,0,0,232,2,4
77,Faye Bryson,DF,Bristol City,22,1997,2.3,115,88,27,3,0,0,5,24,0,0,0,0,79,0,2
78,Frankie Brown,"MF,DF",Bristol City,31,1987,12.7,326,320,4,4,0,1,2,0,0,0,0,0,200,2,13
